311395,Feb/28/2011 19:59,hardyyeh,63C - Bulls and Cows,GNU C++,Accepted,360 ms,1500 KB,2011-02-28 19:59:00
3415092,Mar/28/2013 15:17,vjudge4,63C - Bulls and Cows,GNU C++,Accepted,343 ms,0 KB,2013-03-28 15:17:00
310423,Feb/28/2011 19:22,* Zlobober,63C - Bulls and Cows,GNU C++,Accepted,50 ms,1400 KB,2011-02-28 19:22:00
312404,Feb/28/2011 21:40,cs_hamako,63C - Bulls and Cows,GNU C++,Accepted,60 ms,1400 KB,2011-02-28 21:40:00
46304724,Nov/28/2018 12:23,Abdallah_Elshinbary,63C - Bulls and Cows,GNU C++14,Accepted,62 ms,0 KB,2018-11-28 12:23:00
60050912,Sep/05/2019 03:25,train_cse,63C - Bulls and Cows,GNU C++14,Accepted,62 ms,400 KB,2019-09-05 03:25:00
313132,Mar/01/2011 12:45,Ruslan,63C - Bulls and Cows,MS C++,Accepted,30 ms,1400 KB,2011-03-01 12:45:00
7944789,Sep/25/2014 14:43,vjudge4,63C - Bulls and Cows,GNU C++,Accepted,30 ms,0 KB,2014-09-25 14:43:00
23662176,Jan/09/2017 11:01,Batman#,63C - Bulls and Cows,GNU C++14,Accepted,62 ms,1900 KB,2017-01-09 11:01:00
28980929,Jul/30/2017 05:23,vjudge3,63C - Bulls and Cows,GNU C++,Accepted,30 ms,2100 KB,2017-07-30 05:23:00
11570577,Jun/13/2015 18:57,jfgm,63C - Bulls and Cows,GNU C++11,Accepted,154 ms,21600 KB,2015-06-13 18:57:00
12219177,Jul/25/2015 00:24,hkglly,63C - Bulls and Cows,GNU C++11,Accepted,60 ms,0 KB,2015-07-25 00:24:00
71562423,Feb/21/2020 19:16,luogu_bot3,63C - Bulls and Cows,GNU C++11,Accepted,62 ms,0 KB,2020-02-21 19:16:00
554501,Jul/22/2011 11:23,vjudge3,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-07-22 11:23:00
73209629,Mar/14/2020 14:33,LightYagami674,63C - Bulls and Cows,Kotlin,Accepted,374 ms,1300 KB,2020-03-14 14:33:00
1203323,Feb/19/2012 11:55,vjudge1,63C - Bulls and Cows,GNU C++,Accepted,50 ms,1400 KB,2012-02-19 11:55:00
361664,Mar/29/2011 18:22,mauricejoe,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-03-29 18:22:00
378102,Apr/11/2011 19:39,ebd,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-04-11 19:39:00
5396680,Dec/09/2013 15:53,CNWSYCF#,63C - Bulls and Cows,GNU C++,Accepted,30 ms,0 KB,2013-12-09 15:53:00
311164,Feb/28/2011 19:47,* evg-zhabotinsky,63C - Bulls and Cows,Delphi,Accepted,30 ms,800 KB,2011-02-28 19:47:00
