60222006,Sep/07/2019 16:57,SHIYANGHAO,332C - Students' Revenge,GNU C++11,Accepted,218 ms,6400 KB,2019-09-07 16:57:00
4155178,Jul/24/2013 21:09,yxdb,332C - Students' Revenge,GNU C++,Accepted,203 ms,3500 KB,2013-07-24 21:09:00
4199077,Jul/29/2013 15:05,Kedin,332C - Students' Revenge,GNU C++,Accepted,342 ms,3900 KB,2013-07-29 15:05:00
5030974,Nov/08/2013 20:10,SYSU_WX,332C - Students' Revenge,GNU C++,Accepted,186 ms,1300 KB,2013-11-08 20:10:00
31607356,Oct/22/2017 17:59,vjudge4,332C - Students' Revenge,GNU C++,Accepted,186 ms,5500 KB,2017-10-22 17:59:00
4155465,Jul/24/2013 21:13,* yongheng5871,332C - Students' Revenge,GNU C++,Accepted,156 ms,1600 KB,2013-07-24 21:13:00
4170784,Jul/26/2013 19:31,moka,332C - Students' Revenge,GNU C++0x,Accepted,936 ms,2400 KB,2013-07-26 19:31:00
5002149,Nov/06/2013 13:44,vjudge3,332C - Students' Revenge,GNU C++,Accepted,218 ms,3100 KB,2013-11-06 13:44:00
10763272,Apr/18/2015 06:29,bnuvjudge3,332C - Students' Revenge,GNU C++,Accepted,218 ms,3500 KB,2015-04-18 06:29:00
29103287,Aug/01/2017 17:16,skpro19,332C - Students' Revenge,GNU C++11,Accepted,1122 ms,4400 KB,2017-08-01 17:16:00
29103918,Aug/01/2017 17:38,skpro19,332C - Students' Revenge,GNU C++11,Accepted,1090 ms,4400 KB,2017-08-01 17:38:00
4163831,Jul/25/2013 16:26,abhra,332C - Students' Revenge,GNU C++,Accepted,734 ms,2100 KB,2013-07-25 16:26:00
73926193,Mar/22/2020 04:51,vjudge2,332C - Students' Revenge,MS C++ 2017,Accepted,590 ms,1700 KB,2020-03-22 04:51:00
4269950,Aug/12/2013 18:15,Ixia_,332C - Students' Revenge,GNU C++,Accepted,186 ms,2300 KB,2013-08-12 18:15:00
51935971,Mar/28/2019 15:30,Night_Raven,332C - Students' Revenge,GNU C++17,Accepted,216 ms,4700 KB,2019-03-28 15:30:00
60215600,Sep/07/2019 14:44,vjudge2,332C - Students' Revenge,GNU C++14,Accepted,372 ms,6200 KB,2019-09-07 14:44:00
4159488,Jul/25/2013 02:41,37ae912,332C - Students' Revenge,GNU C++,Accepted,187 ms,4100 KB,2013-07-25 02:41:00
4195947,Jul/28/2013 22:16,anshumang,332C - Students' Revenge,GNU C++,Accepted,560 ms,2700 KB,2013-07-28 22:16:00
4151737,Jul/24/2013 20:27,* For_the_Love,332C - Students' Revenge,GNU C++,Accepted,328 ms,3100 KB,2013-07-24 20:27:00
60245464,Sep/08/2019 05:13,vjudge3,332C - Students' Revenge,GNU C++11,Accepted,218 ms,6400 KB,2019-09-08 05:13:00
60197312,Sep/07/2019 05:43,vjudge5,332C - Students' Revenge,GNU C++11,Accepted,186 ms,2000 KB,2019-09-07 05:43:00
60350361,Sep/10/2019 17:04,vjudge3,332C - Students' Revenge,GNU C++11,Accepted,966 ms,3500 KB,2019-09-10 17:04:00
72566437,Mar/06/2020 13:41,luogu_bot4,332C - Students' Revenge,GNU C++11,Accepted,156 ms,2600 KB,2020-03-06 13:41:00
31607308,Oct/22/2017 17:57,threeh20,332C - Students' Revenge,GNU C++14,Accepted,186 ms,5400 KB,2017-10-22 17:57:00
10984412,May/03/2015 17:21,Baby_Steps,332C - Students' Revenge,GNU C++11,Accepted,186 ms,5500 KB,2015-05-03 17:21:00
10767600,Apr/18/2015 15:34,vjudge2,332C - Students' Revenge,GNU C++11,Accepted,156 ms,3000 KB,2015-04-18 15:34:00
61343595,Sep/27/2019 05:10,pajenegod,332C - Students' Revenge,PyPy 2,Accepted,1778 ms,23000 KB,2019-09-27 05:10:00
73836161,Mar/21/2020 00:36,CaiJiZXY,332C - Students' Revenge,GNU C++11,Accepted,156 ms,2600 KB,2020-03-21 00:36:00
