25255831,Mar/05/2017 16:56,cb_Adam,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,936 ms,21600 KB,2017-03-05 16:56:00
60708934,Sep/17/2019 10:04,sysugjh,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,779 ms,18800 KB,2019-09-17 10:04:00
25250211,Mar/05/2017 16:20,naiij,781A - Andryusha and Colored Balloons,GNU C++11,Accepted,187 ms,20800 KB,2017-03-05 16:20:00
25250312,Mar/05/2017 16:20,Laakeri,781A - Andryusha and Colored Balloons,GNU C++11,Accepted,390 ms,20900 KB,2017-03-05 16:20:00
25253917,Mar/05/2017 16:43,Shying,782C - Andryusha and Colored Balloons,GNU C++,Accepted,187 ms,17700 KB,2017-03-05 16:43:00
25291558,Mar/06/2017 15:07,naij,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,171 ms,20800 KB,2017-03-06 15:07:00
25309641,Mar/07/2017 10:42,WYK1823376647,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,202 ms,33300 KB,2017-03-07 10:42:00
25286454,Mar/06/2017 11:38,code_race,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,702 ms,31000 KB,2017-03-06 11:38:00
25498778,Mar/15/2017 16:02,aditya1495,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,187 ms,20800 KB,2017-03-15 16:02:00
39418170,Jun/19/2018 20:31,nipun753,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,639 ms,18900 KB,2018-06-19 20:31:00
69663439,Jan/28/2020 13:23,Ankit003,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,592 ms,20500 KB,2020-01-28 13:23:00
25249251,Mar/05/2017 16:15,fushar,781A - Andryusha and Colored Balloons,GNU C++11,Accepted,202 ms,20800 KB,2017-03-05 16:15:00
25252005,Mar/05/2017 16:30,tcchung,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,795 ms,17700 KB,2017-03-05 16:30:00
25257518,Mar/05/2017 17:10,dyf,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,186 ms,21000 KB,2017-03-05 17:10:00
35109047,Feb/10/2018 04:47,vjudge5,782C - Andryusha and Colored Balloons,GNU C++,Accepted,124 ms,19200 KB,2018-02-10 04:47:00
25278048,Mar/06/2017 06:28,kpn64,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,1138 ms,20800 KB,2017-03-06 06:28:00
63426460,Oct/26/2019 10:58,vjudge1,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,826 ms,15700 KB,2019-10-26 10:58:00
25250119,Mar/05/2017 16:19,gprano,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,218 ms,20800 KB,2017-03-05 16:19:00
25251794,Mar/05/2017 16:29,nksheokand,782C - Andryusha and Colored Balloons,GNU C++,Accepted,202 ms,20800 KB,2017-03-05 16:29:00
25253380,Mar/05/2017 16:39,YangHong,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,202 ms,17900 KB,2017-03-05 16:39:00
25249874,Mar/05/2017 16:18,Hyperbolic,781A - Andryusha and Colored Balloons,GNU C++11,Accepted,171 ms,20800 KB,2017-03-05 16:18:00
25251282,Mar/05/2017 16:26,catsworld,782C - Andryusha and Colored Balloons,GNU C++,Accepted,171 ms,17600 KB,2017-03-05 16:26:00
40583632,Jul/20/2018 19:10,vjudge5,782C - Andryusha and Colored Balloons,GNU C++,Accepted,187 ms,16400 KB,2018-07-20 19:10:00
25274270,Mar/06/2017 00:13,dnverma,782C - Andryusha and Colored Balloons,GNU C++,Accepted,873 ms,18500 KB,2017-03-06 00:13:00
25266321,Mar/05/2017 18:42,ei133333,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,780 ms,20800 KB,2017-03-05 18:42:00
25285515,Mar/06/2017 10:43,qyqyq,782C - Andryusha and Colored Balloons,GNU C++,Accepted,171 ms,20800 KB,2017-03-06 10:43:00
29418420,Aug/13/2017 03:19,omarosama96,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,218 ms,21600 KB,2017-08-13 03:19:00
40733598,Jul/25/2018 11:45,sophirothwither,780C - Andryusha and Colored Balloons,GNU C++17,Accepted,327 ms,18900 KB,2018-07-25 11:45:00
25255243,Mar/05/2017 16:52,aayush9,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,904 ms,21600 KB,2017-03-05 16:52:00
25269332,Mar/05/2017 20:23,grenade_4,782C - Andryusha and Colored Balloons,GNU C++,Accepted,889 ms,21600 KB,2017-03-05 20:23:00
27008811,May/11/2017 11:47,tronicBeast,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,186 ms,18900 KB,2017-05-11 11:47:00
30356783,Sep/15/2017 07:49,Rifat79,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,904 ms,31300 KB,2017-09-15 07:49:00
53946331,May/10/2019 09:54,veronsh73,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,561 ms,15800 KB,2019-05-10 09:54:00
25253305,Mar/05/2017 16:39,devanshg27,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,280 ms,45900 KB,2017-03-05 16:39:00
25289574,Mar/06/2017 14:31,crywhencodeT_T#,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,187 ms,20800 KB,2017-03-06 14:31:00
35199786,Feb/13/2018 16:09,idLe.,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,623 ms,20800 KB,2018-02-13 16:09:00
56699351,Jul/08/2019 11:27,DFS_lover,780C - Andryusha and Colored Balloons,GNU C++17,Accepted,186 ms,18900 KB,2019-07-08 11:27:00
25437836,Mar/12/2017 18:14,Lukom,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,888 ms,20800 KB,2017-03-12 18:14:00
29275336,Aug/08/2017 04:43,applese#,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,218 ms,17700 KB,2017-08-08 04:43:00
25288494,Mar/06/2017 13:33,acwaterbio,782C - Andryusha and Colored Balloons,GNU C++,Accepted,156 ms,20800 KB,2017-03-06 13:33:00
25292682,Mar/06/2017 15:57,ultraviolence,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,624 ms,20800 KB,2017-03-06 15:57:00
25714881,Mar/22/2017 17:54,sanyam.vikram1,782C - Andryusha and Colored Balloons,GNU C++,Accepted,171 ms,20800 KB,2017-03-22 17:54:00
36086347,Mar/09/2018 07:02,beza,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,639 ms,21000 KB,2018-03-09 07:02:00
