31159550,Oct/09/2017 08:33,darkknight896,225C - Barcode,GNU C++14,Accepted,60 ms,1000 KB,2017-10-09 08:33:00
31159557,Oct/09/2017 08:34,darkknight896,225C - Barcode,GNU C++14,Accepted,30 ms,1000 KB,2017-10-09 08:34:00
27623829,Jun/07/2017 04:55,Rateb_Seirawan,225C - Barcode,GNU C++14,Accepted,30 ms,1200 KB,2017-06-07 04:55:00
41532850,Aug/12/2018 18:35,Myrcella,225C - Barcode,GNU C++14,Accepted,436 ms,0 KB,2018-08-12 18:35:00
48110363,Jan/09/2019 12:00,luogu_bot5,225C - Barcode,GNU C++11,Accepted,780 ms,1000 KB,2019-01-09 12:00:00
10256070,Mar/13/2015 13:03,codeaway,225C - Barcode,GNU C++,Accepted,342 ms,1300 KB,2015-03-13 13:03:00
31461283,Oct/17/2017 23:42,asuraDK,225C - Barcode,GNU C++11,Accepted,60 ms,3100 KB,2017-10-17 23:42:00
37634184,Apr/26/2018 14:50,Best_Memories,225C - Barcode,GNU C++14,Accepted,436 ms,4300 KB,2018-04-26 14:50:00
66986197,Dec/15/2019 21:12,hardikpandya,225C - Barcode,GNU C++14,Accepted,310 ms,0 KB,2019-12-15 21:12:00
15874233,Feb/07/2016 14:54,stewjon,225C - Barcode,GNU C++11,Accepted,902 ms,1000 KB,2016-02-07 14:54:00
17314370,Apr/14/2016 15:47,VAVAvile,225C - Barcode,GNU C++11,Accepted,342 ms,0 KB,2016-04-14 15:47:00
41105744,Aug/02/2018 06:59,vjudge1,225C - Barcode,GNU C++17,Accepted,62 ms,0 KB,2018-08-02 06:59:00
47512740,Dec/26/2018 10:42,-Bata,225C - Barcode,GNU C++17,Accepted,312 ms,2400 KB,2018-12-26 10:42:00
23898172,Jan/17/2017 11:54,shekhawat714,225C - Barcode,GNU C++,Accepted,1028 ms,2100 KB,2017-01-17 11:54:00
57893940,Jul/28/2019 15:50,chenxiaoyan,225C - Barcode,GNU C++11,Accepted,62 ms,1000 KB,2019-07-28 15:50:00
4761199,Oct/12/2013 22:55,ebedkm,225C - Barcode,GNU C++,Accepted,496 ms,0 KB,2013-10-12 22:55:00
21337292,Oct/10/2016 15:19,fitsh,225C - Barcode,GNU C++14,Accepted,62 ms,3100 KB,2016-10-10 15:19:00
38829476,Jun/01/2018 16:33,guilhermeppl,225C - Barcode,GNU C++14,Accepted,186 ms,3300 KB,2018-06-01 16:33:00
41546294,Aug/13/2018 08:18,XianHZ,225C - Barcode,GNU C++11,Accepted,842 ms,0 KB,2018-08-13 08:18:00
41546752,Aug/13/2018 08:43,nanatoday,225C - Barcode,GNU C++11,Accepted,872 ms,0 KB,2018-08-13 08:43:00
10786611,Apr/19/2015 23:37,I_Love_Tina,225C - Barcode,GNU C++11,Accepted,312 ms,2100 KB,2015-04-19 23:37:00
11071924,May/11/2015 19:27,ntpnguyen,225C - Barcode,GNU C++,Accepted,312 ms,0 KB,2015-05-11 19:27:00
37687594,Apr/28/2018 16:48,XianHZ,225C - Barcode,GNU C++11,Accepted,902 ms,3800 KB,2018-04-28 16:48:00
