720098,Sep/23/2011 22:17,yuxingdubai,117C - Cycle,GNU C++,Accepted,530 ms,26100 KB,2011-09-23 22:17:00
37387090,Apr/17/2018 08:10,Ylyas-Orayev,117C - Cycle,GNU C++11,Accepted,934 ms,101600 KB,2018-04-17 08:10:00
6026698,Mar/16/2014 15:51,vjudge2,117C - Cycle,GNU C++,Accepted,498 ms,24700 KB,2014-03-16 15:51:00
3174805,Feb/23/2013 08:05,tests,117C - Cycle,GNU C++,Accepted,765 ms,24700 KB,2013-02-23 08:05:00
909035,Nov/28/2011 19:33,MK2,117C - Cycle,GNU C++,Accepted,630 ms,26100 KB,2011-11-28 19:33:00
4652722,Oct/04/2013 02:24,helloworld123,117C - Cycle,GNU C++,Accepted,560 ms,24700 KB,2013-10-04 02:24:00
24258909,Jan/30/2017 06:01,y_shindoh,117C - Cycle,GNU C++11,Accepted,716 ms,26600 KB,2017-01-30 06:01:00
24259073,Jan/30/2017 06:18,y_shindoh,117C - Cycle,GNU C++11,Accepted,746 ms,26600 KB,2017-01-30 06:18:00
51883363,Mar/27/2019 07:15,luogu_bot4,117C - Cycle,GNU C++11,Accepted,592 ms,24600 KB,2019-03-27 07:15:00
36421592,Mar/20/2018 01:27,mohnnad,117C - Cycle,GNU C++14,Accepted,748 ms,28100 KB,2018-03-20 01:27:00
37684353,Apr/28/2018 14:51,vjudge1,117C - Cycle,GNU C++14,Accepted,716 ms,28100 KB,2018-04-28 14:51:00
50545522,Feb/27/2019 00:00,pit4h,117C - Cycle,GNU C++17,Accepted,966 ms,100200 KB,2019-02-27 00:00:00
73566854,Mar/18/2020 15:02,wang639026,117C - Cycle,GNU C++17,Accepted,872 ms,24800 KB,2020-03-18 15:02:00
80228006,May/15/2020 16:09,gpy812,117C - Cycle,GNU C++11,Accepted,496 ms,28500 KB,2020-05-15 16:09:00
4674777,Oct/04/2013 23:48,user_123,117C - Cycle,GNU C++,Accepted,592 ms,24700 KB,2013-10-04 23:48:00
42608673,Sep/07/2018 12:33,AlirezaNa,117C - Cycle,GNU C++14,Accepted,748 ms,37100 KB,2018-09-07 12:33:00
78769312,May/02/2020 02:34,vjudge2,117C - Cycle,GNU C++17,Accepted,560 ms,24700 KB,2020-05-02 02:34:00
37387014,Apr/17/2018 08:05,Y.O.,117C - Cycle,GNU C++11,Accepted,902 ms,101600 KB,2018-04-17 08:05:00
6435233,Apr/21/2014 18:02,vjudge4,117C - Cycle,GNU C++,Accepted,654 ms,24700 KB,2014-04-21 18:02:00
11991558,Jul/10/2015 03:14,newbie94,117C - Cycle,GNU C++,Accepted,686 ms,25200 KB,2015-07-10 03:14:00
18770479,Jun/28/2016 19:28,ConorMcGregor,117C - Cycle,GNU C++,Accepted,686 ms,24800 KB,2016-06-28 19:28:00
22407693,Nov/22/2016 19:43,vjudge1,117C - Cycle,GNU C++11,Accepted,686 ms,37200 KB,2016-11-22 19:43:00
24677428,Feb/14/2017 20:39,TooWeakToCode,117C - Cycle,GNU C++11,Accepted,716 ms,26800 KB,2017-02-14 20:39:00
720409,Sep/23/2011 23:28,STAJIKER,117C - Cycle,MS C++,Accepted,2470 ms,99300 KB,2011-09-23 23:28:00
11779601,Jun/27/2015 06:45,newbie94,117C - Cycle,GNU C++,Accepted,686 ms,25200 KB,2015-06-27 06:45:00
39737128,Jun/28/2018 11:40,Ashishgup,117C - Cycle,GNU C++17,Accepted,1028 ms,24800 KB,2018-06-28 11:40:00
37686776,Apr/28/2018 16:17,vjudge5,117C - Cycle,GNU C++,Accepted,872 ms,101800 KB,2018-04-28 16:17:00
59842716,Sep/01/2019 11:03,yaksha,117C - Cycle,GNU C++17,Accepted,996 ms,24800 KB,2019-09-01 11:03:00
20308561,Aug/31/2016 20:30,white_sage,117C - Cycle,GNU C++11,Accepted,716 ms,24600 KB,2016-08-31 20:30:00
21497358,Oct/16/2016 16:33,Joker1010123,117C - Cycle,GNU C++,Accepted,780 ms,26800 KB,2016-10-16 16:33:00
24259125,Jan/30/2017 06:24,y_shindoh,117C - Cycle,GNU C++11,Accepted,684 ms,26600 KB,2017-01-30 06:24:00
12693719,Aug/25/2015 12:23,strawbreey,117C - Cycle,GNU C++11,Accepted,654 ms,24700 KB,2015-08-25 12:23:00
29841909,Aug/28/2017 12:10,Alireza-MZV,117C - Cycle,GNU C++14,Accepted,622 ms,37200 KB,2017-08-28 12:10:00
11989177,Jul/09/2015 20:58,SherifWaly,117C - Cycle,GNU C++11,Accepted,654 ms,24700 KB,2015-07-09 20:58:00
13334041,Oct/01/2015 20:50,ITDOI,117C - Cycle,GNU C++11,Accepted,654 ms,98700 KB,2015-10-01 20:50:00
37683395,Apr/28/2018 14:13,vjudge4,117C - Cycle,GNU C++,Accepted,780 ms,28300 KB,2018-04-28 14:13:00
37686798,Apr/28/2018 16:18,vjudge4,117C - Cycle,GNU C++,Accepted,780 ms,101800 KB,2018-04-28 16:18:00
78924138,May/04/2020 04:05,vjudge2,117C - Cycle,GNU C++17,Accepted,716 ms,37400 KB,2020-05-04 04:05:00
716449,Sep/23/2011 20:10,Archon.JK,117C - Cycle,GNU C++0x,Accepted,520 ms,26300 KB,2011-09-23 20:10:00
29841876,Aug/28/2017 12:08,Alireza-Mrtzv,117C - Cycle,GNU C++14,Accepted,622 ms,37200 KB,2017-08-28 12:08:00
50319939,Feb/22/2019 17:02,luogu_bot3,117C - Cycle,GNU C++11,Accepted,530 ms,24800 KB,2019-02-22 17:02:00
67667085,Dec/26/2019 21:20,SandraS,117C - Cycle,GNU C++11,Accepted,404 ms,24700 KB,2019-12-26 21:20:00
10607562,Apr/06/2015 04:53,SherifWaly,117C - Cycle,GNU C++,Accepted,654 ms,24700 KB,2015-04-06 04:53:00
37699039,Apr/29/2018 06:32,vjudge5,117C - Cycle,GNU C++,Accepted,684 ms,28500 KB,2018-04-29 06:32:00
18243282,Jun/04/2016 14:56,double301,117C - Cycle,GNU C,Accepted,652 ms,31700 KB,2016-06-04 14:56:00
24259240,Jan/30/2017 06:41,y_shindoh,117C - Cycle,GNU C++11,Accepted,716 ms,26600 KB,2017-01-30 06:41:00
795475,Oct/25/2011 20:01,vilcheuski,117C - Cycle,FPC,Accepted,670 ms,25500 KB,2011-10-25 20:01:00
1124737,Jan/29/2012 07:18,quocbao66,117C - Cycle,GNU C++,Accepted,730 ms,26100 KB,2012-01-29 07:18:00
39448907,Jun/21/2018 04:50,vjudge4,117C - Cycle,GNU C++,Accepted,654 ms,29800 KB,2018-06-21 04:50:00
37683458,Apr/28/2018 14:16,vjudge1,117C - Cycle,GNU C++,Accepted,810 ms,28100 KB,2018-04-28 14:16:00
78924125,May/04/2020 04:04,VIXII,117C - Cycle,GNU C++14,Accepted,748 ms,37300 KB,2020-05-04 04:04:00
25234619,Mar/05/2017 09:48,Taz,117C - Cycle,GNU C++11,Accepted,1714 ms,27000 KB,2017-03-05 09:48:00
61102171,Sep/23/2019 10:23,luogu_bot1,117C - Cycle,GNU C++11,Accepted,530 ms,24800 KB,2019-09-23 10:23:00
795302,Oct/25/2011 18:10,bjgo,117C - Cycle,GNU C++0x,Accepted,630 ms,26100 KB,2011-10-25 18:10:00
37683410,Apr/28/2018 14:14,vjudge3,117C - Cycle,GNU C++,Accepted,842 ms,28300 KB,2018-04-28 14:14:00
78769467,May/02/2020 02:39,vjudge4,117C - Cycle,GNU C++17,Accepted,528 ms,24700 KB,2020-05-02 02:39:00
714233,Sep/23/2011 19:25,balroginfire,117C - Cycle,GNU C++,Accepted,340 ms,26000 KB,2011-09-23 19:25:00
13488476,Oct/08/2015 09:52,Goo_,117C - Cycle,GNU C++,Accepted,686 ms,24800 KB,2015-10-08 09:52:00
37684335,Apr/28/2018 14:50,Yonda,117C - Cycle,GNU C++14,Accepted,716 ms,28100 KB,2018-04-28 14:50:00
722153,Sep/24/2011 14:14,omse1998,117C - Cycle,FPC,Accepted,1110 ms,25600 KB,2011-09-24 14:14:00
11989190,Jul/09/2015 21:00,SherifWaly,117C - Cycle,GNU C++11,Accepted,654 ms,24700 KB,2015-07-09 21:00:00
34234043,Jan/17/2018 01:04,ljupche98,117C - Cycle,GNU C++11,Accepted,624 ms,26700 KB,2018-01-17 01:04:00
61528713,Sep/30/2019 04:16,vjudge3,117C - Cycle,MS C++ 2017,Accepted,530 ms,24500 KB,2019-09-30 04:16:00
733315,Oct/01/2011 18:23,moldot,117C - Cycle,GNU C++,Accepted,610 ms,26100 KB,2011-10-01 18:23:00
2167453,Sep/14/2012 00:54,tobpro,117C - Cycle,GNU C++,Accepted,531 ms,26300 KB,2012-09-14 00:54:00
4825787,Oct/19/2013 19:22,yangff,117C - Cycle,GNU C++,Accepted,592 ms,25100 KB,2013-10-19 19:22:00
17520954,Apr/26/2016 15:02,Amir_Ghouil,117C - Cycle,GNU C++11,Accepted,780 ms,26700 KB,2016-04-26 15:02:00
47449759,Dec/24/2018 11:49,iParsa,117C - Cycle,GNU C++17,Accepted,964 ms,24800 KB,2018-12-24 11:49:00
721035,Sep/24/2011 06:12,JFantasy,117C - Cycle,GNU C++,Accepted,630 ms,26100 KB,2011-09-24 06:12:00
11415060,Jun/04/2015 17:49,What_is_life,117C - Cycle,GNU C++11,Accepted,654 ms,24700 KB,2015-06-04 17:49:00
15643373,Jan/29/2016 13:14,shubhamgoyal__,117C - Cycle,GNU C++11,Accepted,748 ms,113900 KB,2016-01-29 13:14:00
37684656,Apr/28/2018 15:01,vjudge1,117C - Cycle,GNU C++,Accepted,778 ms,101500 KB,2018-04-28 15:01:00
