9059490,Dec/09/2014 17:01,mzhq,487A - Fight the Monster,MS C++,Accepted,31 ms,0 KB,2014-12-09 17:01:00
8808770,Nov/23/2014 08:36,Moonlightshadow#,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2014-11-23 08:36:00
22889983,Dec/11/2016 20:14,atulhjp,488C - Fight the Monster,GNU C++11,Accepted,15 ms,0 KB,2016-12-11 20:14:00
22890861,Dec/11/2016 20:53,atulhjp,487A - Fight the Monster,GNU C++11,Accepted,15 ms,0 KB,2016-12-11 20:53:00
23037998,Dec/17/2016 05:03,axelabhi,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2016-12-17 05:03:00
8835494,Nov/24/2014 15:32,OOOO_,488C - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2014-11-24 15:32:00
8960086,Dec/03/2014 18:40,youhy,487A - Fight the Monster,MS C++,Accepted,30 ms,0 KB,2014-12-03 18:40:00
8792775,Nov/22/2014 00:36,metalopocalipsis,488C - Fight the Monster,Delphi,Accepted,249 ms,100 KB,2014-11-22 00:36:00
8906259,Dec/01/2014 19:06,metalopocalipsis,487A - Fight the Monster,Delphi,Accepted,249 ms,100 KB,2014-12-01 19:06:00
35800384,Mar/01/2018 05:36,IceQuarze,487A - Fight the Monster,GNU C++14,Accepted,15 ms,1900 KB,2018-03-01 05:36:00
11079831,May/12/2015 18:48,AmbarPal,487A - Fight the Monster,GNU C++11,Accepted,936 ms,0 KB,2015-05-12 18:48:00
21429958,Oct/14/2016 20:57,abhi2812,487A - Fight the Monster,GNU C++11,Accepted,217 ms,2000 KB,2016-10-14 20:57:00
69293062,Jan/22/2020 14:07,Scut82,487A - Fight the Monster,GNU C++14,Accepted,295 ms,0 KB,2020-01-22 14:07:00
8873076,Nov/27/2014 21:16,culdud,487A - Fight the Monster,GNU C++,Accepted,108 ms,0 KB,2014-11-27 21:16:00
8895279,Nov/30/2014 06:37,bekzhan29,487A - Fight the Monster,GNU C++,Accepted,436 ms,100 KB,2014-11-30 06:37:00
8786682,Nov/21/2014 21:47,matrix,487A - Fight the Monster,GNU C++,Accepted,46 ms,0 KB,2014-11-21 21:47:00
8825258,Nov/23/2014 17:45,matrix,488C - Fight the Monster,GNU C++,Accepted,46 ms,0 KB,2014-11-23 17:45:00
26454643,Apr/17/2017 15:35,vjudge4,487A - Fight the Monster,GNU C++,Accepted,15 ms,1900 KB,2017-04-17 15:35:00
27984616,Jun/23/2017 15:20,largecube233#,487A - Fight the Monster,GNU C++14,Accepted,842 ms,1900 KB,2017-06-23 15:20:00
27984676,Jun/23/2017 15:22,yasugongshang#,487A - Fight the Monster,GNU C++,Accepted,904 ms,2100 KB,2017-06-23 15:22:00
27984693,Jun/23/2017 15:23,zykzhenshuai#,487A - Fight the Monster,GNU C++11,Accepted,873 ms,2000 KB,2017-06-23 15:23:00
14423902,Nov/23/2015 12:37,naveen.learning,487A - Fight the Monster,GNU C++11,Accepted,15 ms,0 KB,2015-11-23 12:37:00
8778028,Nov/21/2014 20:30,wjh720,487A - Fight the Monster,GNU C++,Accepted,46 ms,0 KB,2014-11-21 20:30:00
16386199,Feb/27/2016 18:42,kpreeti894,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2016-02-27 18:42:00
21854434,Oct/28/2016 21:05,bluefi,488C - Fight the Monster,GNU C++11,Accepted,15 ms,0 KB,2016-10-28 21:05:00
9207934,Dec/20/2014 18:13,shamitlal_14,487A - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2014-12-20 18:13:00
11663113,Jun/19/2015 09:59,ainta#,487A - Fight the Monster,GNU C++11,Accepted,15 ms,0 KB,2015-06-19 09:59:00
8792544,Nov/22/2014 00:16,nwi,487A - Fight the Monster,Python 2,Accepted,62 ms,0 KB,2014-11-22 00:16:00
12785636,Aug/31/2015 11:11,pulkitsinghal,487A - Fight the Monster,GNU C++11,Accepted,31 ms,0 KB,2015-08-31 11:11:00
18760496,Jun/28/2016 04:50,SoiMae,487A - Fight the Monster,GNU C++,Accepted,30 ms,0 KB,2016-06-28 04:50:00
42012463,Aug/24/2018 05:33,W30,488C - Fight the Monster,GNU C++11,Accepted,31 ms,0 KB,2018-08-24 05:33:00
70492588,Feb/07/2020 12:30,_jthe,487A - Fight the Monster,GNU C++11,Accepted,31 ms,0 KB,2020-02-07 12:30:00
8903078,Dec/01/2014 11:31,wwt15#,487A - Fight the Monster,GNU C++,Accepted,109 ms,0 KB,2014-12-01 11:31:00
28823012,Jul/24/2017 14:32,Vasiljko,487A - Fight the Monster,GNU C++,Accepted,15 ms,2100 KB,2017-07-24 14:32:00
20419227,Sep/06/2016 16:00,NAIJI,488C - Fight the Monster,GNU C++11,Accepted,30 ms,0 KB,2016-09-06 16:00:00
