534003,Jul/08/2011 19:43,VinyleEm,96C - Hockey,GNU C++,Accepted,50 ms,1400 KB,2011-07-08 19:43:00
541966,Jul/11/2011 15:56,Toj_yuan1028,96C - Hockey,GNU C++,Accepted,50 ms,1300 KB,2011-07-11 15:56:00
4136261,Jul/22/2013 18:46,Timer,95A - Hockey,GNU C++,Accepted,15 ms,0 KB,2013-07-22 18:46:00
532491,Jul/08/2011 19:12,bayleef,95A - Hockey,MS C++,Accepted,30 ms,1400 KB,2011-07-08 19:12:00
17134866,Apr/02/2016 20:38,vjudge3,95A - Hockey,GNU C++,Accepted,30 ms,2200 KB,2016-04-02 20:38:00
532530,Jul/08/2011 19:12,Sereja,95A - Hockey,FPC,Accepted,30 ms,1100 KB,2011-07-08 19:12:00
536790,Jul/08/2011 21:37,Sereja,96C - Hockey,FPC,Accepted,30 ms,1100 KB,2011-07-08 21:37:00
537693,Jul/08/2011 22:43,Sereja,95A - Hockey,FPC,Accepted,30 ms,1100 KB,2011-07-08 22:43:00
7653914,Aug/31/2014 16:13,vjudge1,96C - Hockey,GNU C++,Accepted,30 ms,200 KB,2014-08-31 16:13:00
728481,Sep/28/2011 15:45,deadpadre,96C - Hockey,Python 2,Accepted,90 ms,2800 KB,2011-09-28 15:45:00
730543,Sep/29/2011 20:02,deadpadre,95A - Hockey,Python 2,Accepted,90 ms,2800 KB,2011-09-29 20:02:00
51776567,Mar/24/2019 01:31,ivan100sic,95A - Hockey,GNU C++17,Accepted,62 ms,100 KB,2019-03-24 01:31:00
537794,Jul/08/2011 23:04,bloops,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 23:04:00
538048,Jul/09/2011 00:32,LifeMaker,95A - Hockey,Java 6,Accepted,90 ms,42100 KB,2011-07-09 00:32:00
533031,Jul/08/2011 19:21,xhae,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 19:21:00
535276,Jul/08/2011 20:18,gongbaoa,96C - Hockey,GNU C++,Accepted,30 ms,1300 KB,2011-07-08 20:18:00
535330,Jul/08/2011 20:19,filipp,96C - Hockey,GNU C,Accepted,30 ms,1300 KB,2011-07-08 20:19:00
538759,Jul/09/2011 09:42,iamavalon,96C - Hockey,Java 6,Accepted,130 ms,42100 KB,2011-07-09 09:42:00
537680,Jul/08/2011 22:42,Jicote,96C - Hockey,FPC,Accepted,30 ms,1000 KB,2011-07-08 22:42:00
535464,Jul/08/2011 20:23,alf,96C - Hockey,GNU C,Accepted,30 ms,1300 KB,2011-07-08 20:23:00
15319648,Jan/12/2016 19:39,kazu,96C - Hockey,Python 2,Accepted,654 ms,0 KB,2016-01-12 19:39:00
31045517,Oct/05/2017 22:28,Proshir,95A - Hockey,GNU C++14,Accepted,30 ms,200 KB,2017-10-05 22:28:00
543049,Jul/12/2011 14:48,b_r,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-12 14:48:00
538244,Jul/09/2011 02:30,sekiye,96C - Hockey,Python 2,Accepted,60 ms,2800 KB,2011-07-09 02:30:00
534620,Jul/08/2011 19:59,kirimedia,96C - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 19:59:00
539325,Jul/09/2011 15:38,kirimedia,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-09 15:38:00
8466954,Oct/29/2014 11:46,aliasadiiii,95A - Hockey,GNU C++0x,Accepted,60 ms,200 KB,2014-10-29 11:46:00
11341402,May/29/2015 08:50,geek_geek,95A - Hockey,Python 2,Accepted,434 ms,0 KB,2015-05-29 08:50:00
15587917,Jan/26/2016 09:59,vjudge1,95A - Hockey,GNU C++,Accepted,30 ms,0 KB,2016-01-26 09:59:00
17022331,Mar/29/2016 18:52,Kero,95A - Hockey,JavaScript,Accepted,122 ms,6500 KB,2016-03-29 18:52:00
753922,Oct/10/2011 13:26,shinian,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-10-10 13:26:00
44701667,Oct/22/2018 18:03,bagpipe,95A - Hockey,GNU C++11,Accepted,62 ms,0 KB,2018-10-22 18:03:00
534339,Jul/08/2011 19:52,gaston770,95A - Hockey,GNU C++,Accepted,80 ms,1400 KB,2011-07-08 19:52:00
583756,Aug/04/2011 07:04,jianhe25,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-08-04 07:04:00
30223945,Sep/09/2017 14:16,hardik_iitr,95A - Hockey,GNU C++11,Accepted,30 ms,200 KB,2017-09-09 14:16:00
