5776921,Jan/23/2014 16:03,serglag,49C - Disposition,Python 3,Accepted,280 ms,7900 KB,2014-01-23 16:03:00
224057,Dec/17/2010 20:30,cyber.njust,49C - Disposition,GNU C++,Accepted,80 ms,1300 KB,2010-12-17 20:30:00
836345,Nov/05/2011 16:27,vjudge1,49C - Disposition,GNU C++,Accepted,60 ms,1300 KB,2011-11-05 16:27:00
4335553,Aug/25/2013 14:22,shopnobaj_raju,49C - Disposition,GNU C++,Accepted,62 ms,0 KB,2013-08-25 14:22:00
4713634,Oct/09/2013 10:42,ShockProof,49C - Disposition,GNU C,Accepted,62 ms,0 KB,2013-10-09 10:42:00
15436747,Jan/19/2016 10:55,sensei11,49C - Disposition,GNU C++11,Accepted,154 ms,0 KB,2016-01-19 10:55:00
39416399,Jun/19/2018 19:15,syed_jafrul_husen,49C - Disposition,GNU C++11,Accepted,124 ms,0 KB,2018-06-19 19:15:00
242950,Jan/09/2011 16:10,Nekomaru,49C - Disposition,GNU C++,Accepted,60 ms,1300 KB,2011-01-09 16:10:00
3968680,Jun/28/2013 00:28,A_Le_K,49C - Disposition,GNU C++0x,Accepted,31 ms,0 KB,2013-06-28 00:28:00
33349739,Dec/17/2017 13:00,Sanitator,49C - Disposition,GNU C++14,Accepted,62 ms,1900 KB,2017-12-17 13:00:00
70094880,Feb/02/2020 22:48,beethoven97,49C - Disposition,PyPy 3,Accepted,434 ms,8100 KB,2020-02-02 22:48:00
224984,Dec/18/2010 15:22,4ybakut2004,49C - Disposition,GNU C++,Accepted,60 ms,1400 KB,2010-12-18 15:22:00
1872996,Jul/07/2012 11:18,vjudge4,49C - Disposition,GNU C++,Accepted,60 ms,1400 KB,2012-07-07 11:18:00
18523259,Jun/16/2016 18:10,abdelkarim,49C - Disposition,GNU C++11,Accepted,92 ms,0 KB,2016-06-16 18:10:00
29305456,Aug/09/2017 15:22,spsmoj2,49C - Disposition,GNU C++,Accepted,62 ms,1900 KB,2017-08-09 15:22:00
54845967,May/30/2019 16:54,mhorst,49C - Disposition,Python 3,Accepted,280 ms,6300 KB,2019-05-30 16:54:00
