14797840,Dec/14/2015 09:10,rr30027,165C - Another Problem on Strings,GNU C++11,Accepted,342 ms,11700 KB,2015-12-14 09:10:00
15084925,Dec/29/2015 15:59,fafal_abnir,165C - Another Problem on Strings,GNU C++11,Accepted,342 ms,12600 KB,2015-12-29 15:59:00
15090015,Dec/29/2015 23:27,rohitranjan017,165C - Another Problem on Strings,GNU C++11,Accepted,342 ms,11700 KB,2015-12-29 23:27:00
17817844,May/09/2016 12:47,Gray_58,165C - Another Problem on Strings,FPC,Accepted,62 ms,14800 KB,2016-05-09 12:47:00
35054449,Feb/08/2018 13:38,IlyaM,165C - Another Problem on Strings,Python 3,Accepted,1964 ms,26700 KB,2018-02-08 13:38:00
50649214,Mar/01/2019 19:58,vjudge4,165C - Another Problem on Strings,GNU C++14,Accepted,312 ms,10700 KB,2019-03-01 19:58:00
74820421,Mar/30/2020 15:32,gqh,165C - Another Problem on Strings,GNU C++11,Accepted,92 ms,4200 KB,2020-03-30 15:32:00
1373565,Mar/17/2012 20:42,gskhirtladze#,165C - Another Problem on Strings,FPC,Accepted,50 ms,18000 KB,2012-03-17 20:42:00
44648592,Oct/21/2018 13:14,vjudge3,165C - Another Problem on Strings,GNU C++17,Accepted,342 ms,6800 KB,2018-10-21 13:14:00
48194178,Jan/10/2019 23:06,day-dreamer,165C - Another Problem on Strings,GNU C++11,Accepted,342 ms,7800 KB,2019-01-10 23:06:00
71430547,Feb/19/2020 13:46,luogu_bot5,165C - Another Problem on Strings,GNU C++11,Accepted,92 ms,3900 KB,2020-02-19 13:46:00
1592740,Apr/21/2012 11:46,punish,165C - Another Problem on Strings,GNU C++,Accepted,50 ms,10200 KB,2012-04-21 11:46:00
69688383,Jan/28/2020 20:47,rk296030,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,10700 KB,2020-01-28 20:47:00
7111921,Jul/16/2014 01:26,vkaadheeshwar95,165C - Another Problem on Strings,GNU C++,Accepted,186 ms,6000 KB,2014-07-16 01:26:00
27355378,May/26/2017 15:18,error404_,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,10700 KB,2017-05-26 15:18:00
29851487,Aug/28/2017 20:51,Angry_Nigger,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,18600 KB,2017-08-28 20:51:00
31531265,Oct/20/2017 14:35,yashwanthbetha,165C - Another Problem on Strings,Python 2,Accepted,1870 ms,112400 KB,2017-10-20 14:35:00
77453004,Apr/21/2020 13:07,redbone,165C - Another Problem on Strings,GNU C++17,Accepted,872 ms,41300 KB,2020-04-21 13:07:00
1650238,May/03/2012 09:23,7Midav7,165C - Another Problem on Strings,FPC,Accepted,50 ms,18000 KB,2012-05-03 09:23:00
17568491,Apr/29/2016 18:30,Kagami_Taiga,165C - Another Problem on Strings,GNU C++,Accepted,404 ms,13900 KB,2016-04-29 18:30:00
22880477,Dec/11/2016 16:23,tomhet_vandreren,165C - Another Problem on Strings,FPC,Accepted,248 ms,3900 KB,2016-12-11 16:23:00
24611759,Feb/12/2017 18:28,treash,165C - Another Problem on Strings,FPC,Accepted,60 ms,9800 KB,2017-02-12 18:28:00
34723378,Jan/31/2018 03:08,hoffen,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,83000 KB,2018-01-31 03:08:00
59697018,Aug/30/2019 12:00,njwrz,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,10700 KB,2019-08-30 12:00:00
59697799,Aug/30/2019 12:18,luogu_bot5,165C - Another Problem on Strings,GNU C++11,Accepted,342 ms,11700 KB,2019-08-30 12:18:00
27355567,May/26/2017 15:35,error404_,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,10700 KB,2017-05-26 15:35:00
11781298,Jun/27/2015 10:32,Bug,165C - Another Problem on Strings,GNU C++,Accepted,342 ms,9900 KB,2015-06-27 10:32:00
58413903,Aug/07/2019 06:26,Alcor12,165C - Another Problem on Strings,GNU C++11,Accepted,312 ms,7800 KB,2019-08-07 06:26:00
75986732,Apr/09/2020 14:57,kunal1244,165C - Another Problem on Strings,GNU C++17,Accepted,872 ms,41300 KB,2020-04-09 14:57:00
79929299,May/13/2020 02:52,luogu_bot2,165C - Another Problem on Strings,GNU C++11,Accepted,92 ms,7700 KB,2020-05-13 02:52:00
