22294342,Nov/17/2016 20:52,dbroodryk,734C - Anton and Making Potions,Python 3,Accepted,966 ms,36500 KB,2016-11-17 20:52:00
23027056,Dec/16/2016 13:44,macilmeletya,734C - Anton and Making Potions,GNU C++,Accepted,1934 ms,31300 KB,2016-12-16 13:44:00
22253684,Nov/16/2016 01:37,TISparta,734C - Anton and Making Potions,Python 3,Accepted,2495 ms,33900 KB,2016-11-16 01:37:00
22410337,Nov/22/2016 22:44,mrp1999,734C - Anton and Making Potions,GNU C++11,Accepted,2339 ms,31300 KB,2016-11-22 22:44:00
22343335,Nov/20/2016 11:48,YingCao,734C - Anton and Making Potions,GNU C++,Accepted,1918 ms,6300 KB,2016-11-20 11:48:00
22292576,Nov/17/2016 19:03,aadishj02,734C - Anton and Making Potions,GNU C++11,Accepted,483 ms,6300 KB,2016-11-17 19:03:00
39057343,Jun/09/2018 04:16,vjudge2,734C - Anton and Making Potions,GNU C++,Accepted,217 ms,6300 KB,2018-06-09 04:16:00
22274117,Nov/16/2016 20:29,mohab1211,734C - Anton and Making Potions,GNU C++11,Accepted,1981 ms,31300 KB,2016-11-16 20:29:00
22280973,Nov/17/2016 08:32,MASUDUR_RAHMAN,734C - Anton and Making Potions,GNU C++,Accepted,358 ms,6300 KB,2016-11-17 08:32:00
22279144,Nov/17/2016 04:36,cnjzxy,734C - Anton and Making Potions,GNU C++11,Accepted,171 ms,2900 KB,2016-11-17 04:36:00
22234193,Nov/15/2016 19:53,* EKGMA,734C - Anton and Making Potions,GNU C++11,Accepted,592 ms,6300 KB,2016-11-15 19:53:00
73771680,Mar/20/2020 10:50,adivannik,734C - Anton and Making Potions,PyPy 3,Accepted,1169 ms,27600 KB,2020-03-20 10:50:00
38936230,Jun/04/2018 09:35,vjudge5,734C - Anton and Making Potions,GNU C++,Accepted,218 ms,9700 KB,2018-06-04 09:35:00
26994372,May/10/2017 14:04,autumn_eel,734C - Anton and Making Potions,GNU C++14,Accepted,295 ms,6300 KB,2017-05-10 14:04:00
22490581,Nov/25/2016 17:11,GLK,734C - Anton and Making Potions,GNU C++,Accepted,218 ms,6300 KB,2016-11-25 17:11:00
53983494,May/11/2019 11:24,vjudge3,734C - Anton and Making Potions,GNU C++17,Accepted,202 ms,6200 KB,2019-05-11 11:24:00
22290553,Nov/17/2016 17:17,raghav93,734C - Anton and Making Potions,GNU C++11,Accepted,498 ms,31300 KB,2016-11-17 17:17:00
22252723,Nov/16/2016 00:20,rahulpaul118,734C - Anton and Making Potions,GNU C++14,Accepted,280 ms,6300 KB,2016-11-16 00:20:00
23347628,Dec/26/2016 22:51,jatin_jt_narula,734C - Anton and Making Potions,GNU C++14,Accepted,327 ms,33200 KB,2016-12-26 22:51:00
22256451,Nov/16/2016 06:12,rahul73,734C - Anton and Making Potions,GNU C++,Accepted,1950 ms,6300 KB,2016-11-16 06:12:00
22266889,Nov/16/2016 15:38,pr3pony,734C - Anton and Making Potions,GNU C++11,Accepted,218 ms,7100 KB,2016-11-16 15:38:00
73835239,Mar/21/2020 00:17,aaaaajack,734C - Anton and Making Potions,GNU C++14,Accepted,264 ms,9400 KB,2020-03-21 00:17:00
22291998,Nov/17/2016 18:30,josdas,734C - Anton and Making Potions,PyPy 3,Accepted,1340 ms,30300 KB,2016-11-17 18:30:00
59227504,Aug/21/2019 17:16,ayush_ar0204,734C - Anton and Making Potions,GNU C++14,Accepted,1434 ms,15700 KB,2019-08-21 17:16:00
23805308,Jan/14/2017 15:09,perillasy#,734C - Anton and Making Potions,Python 3,Accepted,872 ms,37700 KB,2017-01-14 15:09:00
22289704,Nov/17/2016 16:43,N3SL,734C - Anton and Making Potions,GNU C++11,Accepted,468 ms,6400 KB,2016-11-17 16:43:00
22234484,Nov/15/2016 19:54,flower,734C - Anton and Making Potions,GNU C++,Accepted,202 ms,3100 KB,2016-11-15 19:54:00
22237562,Nov/15/2016 20:14,* wwwxxxddd,734C - Anton and Making Potions,GNU C++,Accepted,186 ms,3100 KB,2016-11-15 20:14:00
54015908,May/12/2019 09:39,vjudge5,734C - Anton and Making Potions,GNU C++17,Accepted,280 ms,6300 KB,2019-05-12 09:39:00
71687209,Feb/23/2020 14:36,CodingKnight,734C - Anton and Making Potions,GNU C++17,Accepted,264 ms,6300 KB,2020-02-23 14:36:00
22283272,Nov/17/2016 11:23,wenbaobao,734C - Anton and Making Potions,GNU C++14,Accepted,1637 ms,6300 KB,2016-11-17 11:23:00
30532842,Sep/20/2017 05:31,ditoly,734C - Anton and Making Potions,GNU C++11,Accepted,46 ms,3000 KB,2017-09-20 05:31:00
57871969,Jul/28/2019 05:30,themechanicalcoder,734C - Anton and Making Potions,GNU C++17,Accepted,390 ms,3100 KB,2019-07-28 05:30:00
22254776,Nov/16/2016 03:29,starli,734C - Anton and Making Potions,GNU C++,Accepted,202 ms,6300 KB,2016-11-16 03:29:00
22401817,Nov/22/2016 14:29,ActiveChooN,734C - Anton and Making Potions,Python 2,Accepted,1528 ms,21400 KB,2016-11-22 14:29:00
27978813,Jun/23/2017 10:01,vjudge4,734C - Anton and Making Potions,GNU C++,Accepted,1933 ms,8300 KB,2017-06-23 10:01:00
30772330,Sep/27/2017 12:06,MR_Freeman,734C - Anton and Making Potions,GNU C++14,Accepted,436 ms,3200 KB,2017-09-27 12:06:00
30772357,Sep/27/2017 12:07,MR_Freeman,734C - Anton and Making Potions,GNU C++11,Accepted,61 ms,3000 KB,2017-09-27 12:07:00
32894240,Dec/03/2017 11:34,Sabdul,734C - Anton and Making Potions,GNU C++14,Accepted,420 ms,5000 KB,2017-12-03 11:34:00
48367180,Jan/14/2019 02:50,qwest#,734C - Anton and Making Potions,GNU C++14,Accepted,390 ms,3300 KB,2019-01-14 02:50:00
22321453,Nov/19/2016 11:36,FantasyFly,734C - Anton and Making Potions,GNU C++11,Accepted,295 ms,6300 KB,2016-11-19 11:36:00
29244032,Aug/06/2017 17:55,bean4621#,734C - Anton and Making Potions,GNU C++,Accepted,592 ms,8300 KB,2017-08-06 17:55:00
22238176,Nov/15/2016 20:18,Vosatorp,734C - Anton and Making Potions,PyPy 3,Accepted,1824 ms,29600 KB,2016-11-15 20:18:00
38909866,Jun/03/2018 08:10,vjudge3,734C - Anton and Making Potions,GNU C++,Accepted,218 ms,9700 KB,2018-06-03 08:10:00
22254394,Nov/16/2016 02:49,Anemoi#,734C - Anton and Making Potions,GNU C++11,Accepted,1949 ms,6300 KB,2016-11-16 02:49:00
22242203,Nov/15/2016 20:48,ogo,734C - Anton and Making Potions,PyPy 3,Accepted,1107 ms,26700 KB,2016-11-15 20:48:00
22252701,Nov/16/2016 00:18,GTmac,734C - Anton and Making Potions,PyPy 2,Accepted,327 ms,23500 KB,2016-11-16 00:18:00
22426732,Nov/23/2016 18:42,lukaM2001,734C - Anton and Making Potions,GNU C++,Accepted,1965 ms,6300 KB,2016-11-23 18:42:00
24988445,Feb/24/2017 19:26,ThoseBygones,734C - Anton and Making Potions,GNU C++,Accepted,1950 ms,8300 KB,2017-02-24 19:26:00
22299559,Nov/18/2016 06:58,boatt,734C - Anton and Making Potions,GNU C++14,Accepted,296 ms,6300 KB,2016-11-18 06:58:00
71687592,Feb/23/2020 14:40,CodingKnight,734C - Anton and Making Potions,GNU C++17,Accepted,264 ms,3100 KB,2020-02-23 14:40:00
22394438,Nov/22/2016 04:47,AirForce_Wade,734C - Anton and Making Potions,GNU C++,Accepted,1980 ms,6300 KB,2016-11-22 04:47:00
38936269,Jun/04/2018 09:37,lilicc822,734C - Anton and Making Potions,GNU C++14,Accepted,312 ms,9600 KB,2018-06-04 09:37:00
22266234,Nov/16/2016 15:12,Qrand,734C - Anton and Making Potions,GNU C++,Accepted,202 ms,6300 KB,2016-11-16 15:12:00
22399666,Nov/22/2016 12:13,sagar63004,734C - Anton and Making Potions,GNU C++11,Accepted,2152 ms,6200 KB,2016-11-22 12:13:00
28358505,Jul/08/2017 03:43,hellojarvis,734C - Anton and Making Potions,GNU C++11,Accepted,2090 ms,8300 KB,2017-07-08 03:43:00
43815457,Oct/05/2018 07:58,codingkshatriya,734C - Anton and Making Potions,GNU C++14,Accepted,1637 ms,9700 KB,2018-10-05 07:58:00
25894903,Mar/29/2017 15:06,vjudge4,734C - Anton and Making Potions,GNU C++,Accepted,218 ms,8100 KB,2017-03-29 15:06:00
