70487699,Feb/07/2020 10:58,FCBM71,280C - Game on Tree,GNU C++11,Accepted,92 ms,16200 KB,2020-02-07 10:58:00
3287817,Mar/11/2013 09:37,fedimser,280C - Game on Tree,GNU C++,Accepted,281 ms,9100 KB,2013-03-11 09:37:00
3291504,Mar/11/2013 21:41,Lelby,281E - Game on Tree,MS C++,Accepted,78 ms,6400 KB,2013-03-11 21:41:00
7741331,Sep/11/2014 15:56,Memphis127,280C - Game on Tree,GNU C++,Accepted,92 ms,6100 KB,2014-09-11 15:56:00
7741354,Sep/11/2014 15:59,SkyDec#,280C - Game on Tree,GNU C++,Accepted,92 ms,6100 KB,2014-09-11 15:59:00
3290308,Mar/11/2013 17:47,Jonis,281E - Game on Tree,GNU C++,Accepted,93 ms,7900 KB,2013-03-11 17:47:00
3297925,Mar/13/2013 14:22,Jonis,280C - Game on Tree,GNU C++,Accepted,93 ms,7900 KB,2013-03-13 14:22:00
3330839,Mar/17/2013 18:24,lpp_,280C - Game on Tree,GNU C++,Accepted,93 ms,7500 KB,2013-03-17 18:24:00
26301461,Apr/11/2017 17:34,Moonlit,280C - Game on Tree,GNU C++11,Accepted,746 ms,11000 KB,2017-04-11 17:34:00
26301599,Apr/11/2017 17:39,sayedgkm,280C - Game on Tree,GNU C++11,Accepted,746 ms,11000 KB,2017-04-11 17:39:00
35178936,Feb/12/2018 16:21,vjudge3,280C - Game on Tree,GNU C++11,Accepted,716 ms,11000 KB,2018-02-12 16:21:00
16282038,Feb/22/2016 21:18,sensei11,280C - Game on Tree,GNU C++11,Accepted,748 ms,7800 KB,2016-02-22 21:18:00
77654943,Apr/22/2020 16:40,Atlas17,280C - Game on Tree,GNU C++17,Accepted,528 ms,7600 KB,2020-04-22 16:40:00
7902646,Sep/22/2014 09:26,Stilwell,280C - Game on Tree,GNU C++,Accepted,92 ms,5100 KB,2014-09-22 09:26:00
61917960,Oct/05/2019 15:35,flyFeather,280C - Game on Tree,GNU C++11,Accepted,122 ms,5500 KB,2019-10-05 15:35:00
3402719,Mar/25/2013 11:49,UESTC_Nocturne,280C - Game on Tree,Python 2,Accepted,671 ms,12600 KB,2013-03-25 11:49:00
41174968,Aug/03/2018 18:44,arshiya_,280C - Game on Tree,GNU C++11,Accepted,746 ms,6400 KB,2018-08-03 18:44:00
54799518,May/29/2019 14:18,xay5421,280C - Game on Tree,GNU C++11,Accepted,92 ms,5700 KB,2019-05-29 14:18:00
3296915,Mar/13/2013 07:16,diego_v1,280C - Game on Tree,GNU C++,Accepted,93 ms,9100 KB,2013-03-13 07:16:00
3402237,Mar/25/2013 07:27,xingtanzjr,280C - Game on Tree,GNU C++,Accepted,93 ms,7500 KB,2013-03-25 07:27:00
3430353,Apr/01/2013 14:16,yutaka1999,280C - Game on Tree,GNU C++,Accepted,93 ms,9100 KB,2013-04-01 14:16:00
15223210,Jan/07/2016 12:52,ljengic,280C - Game on Tree,GNU C++,Accepted,124 ms,9000 KB,2016-01-07 12:52:00
54055389,May/13/2019 10:50,jkchen,280C - Game on Tree,GNU C++11,Accepted,124 ms,9000 KB,2019-05-13 10:50:00
58823880,Aug/14/2019 18:02,w1049344862,280C - Game on Tree,GNU C++11,Accepted,92 ms,6300 KB,2019-08-14 18:02:00
72862623,Mar/10/2020 04:42,vjudge3,280C - Game on Tree,GNU C++11,Accepted,122 ms,7800 KB,2020-03-10 04:42:00
57974820,Jul/30/2019 10:20,rareone0602,280C - Game on Tree,GNU C++14,Accepted,124 ms,9100 KB,2019-07-30 10:20:00
26230591,Apr/09/2017 08:41,ei133333#,280C - Game on Tree,GNU C++14,Accepted,590 ms,11000 KB,2017-04-09 08:41:00
39451406,Jun/21/2018 07:54,OnlyMyRailgun,280C - Game on Tree,GNU C++,Accepted,92 ms,12800 KB,2018-06-21 07:54:00
61775548,Oct/03/2019 14:37,Henry_Huang,280C - Game on Tree,GNU C++11,Accepted,248 ms,7800 KB,2019-10-03 14:37:00
69242182,Jan/21/2020 14:46,liuweih,280C - Game on Tree,GNU C++11,Accepted,122 ms,9000 KB,2020-01-21 14:46:00
15279359,Jan/10/2016 14:24,god,280C - Game on Tree,GNU C++11,Accepted,748 ms,9000 KB,2016-01-10 14:24:00
52809218,Apr/16/2019 10:25,jiangly,280C - Game on Tree,GNU C++11,Accepted,124 ms,9000 KB,2019-04-16 10:25:00
3287625,Mar/11/2013 08:50,phyxnj,280C - Game on Tree,GNU C++,Accepted,93 ms,9200 KB,2013-03-11 08:50:00
24458059,Feb/05/2017 22:20,Djok216,281E - Game on Tree,GNU C++11,Accepted,312 ms,11000 KB,2017-02-05 22:20:00
34221495,Jan/16/2018 15:29,"Mr. Banana: Deluxurous, ILoveSetsuna, applese#",280C - Game on Tree,GNU C++14,Accepted,124 ms,6700 KB,2018-01-16 15:29:00
72980539,Mar/11/2020 22:20,saza,280C - Game on Tree,GNU C++11,Accepted,92 ms,7800 KB,2020-03-11 22:20:00
3716510,May/13/2013 16:08,nju_v_o_f,281E - Game on Tree,GNU C++,Accepted,265 ms,9100 KB,2013-05-13 16:08:00
9302030,Dec/30/2014 04:23,T0RRES,280C - Game on Tree,GNU C++0x,Accepted,124 ms,7600 KB,2014-12-30 04:23:00
9302031,Dec/30/2014 04:23,T0RRES,281E - Game on Tree,GNU C++0x,Accepted,124 ms,7600 KB,2014-12-30 04:23:00
56494736,Jul/04/2019 05:04,vjudge4,280C - Game on Tree,GNU C++17,Accepted,154 ms,9500 KB,2019-07-04 05:04:00
28061608,Jun/26/2017 19:55,rajat1603,280C - Game on Tree,GNU C++11,Accepted,124 ms,9900 KB,2017-06-26 19:55:00
3296718,Mar/13/2013 04:44,akaiNeko,280C - Game on Tree,GNU C++,Accepted,109 ms,7500 KB,2013-03-13 04:44:00
9918196,Feb/18/2015 21:14,stefanzzz,280C - Game on Tree,GNU C++0x,Accepted,124 ms,7800 KB,2015-02-18 21:14:00
60203100,Sep/07/2019 09:47,Yuki726,280C - Game on Tree,GNU C++14,Accepted,498 ms,9100 KB,2019-09-07 09:47:00
27321935,May/24/2017 17:40,Meowl,280C - Game on Tree,GNU C++11,Accepted,716 ms,7800 KB,2017-05-24 17:40:00
5930985,Mar/05/2014 15:30,foreseeable,280C - Game on Tree,GNU C++,Accepted,92 ms,9500 KB,2014-03-05 15:30:00
50677114,Mar/02/2019 12:44,skyping,280C - Game on Tree,GNU C++11,Accepted,92 ms,39900 KB,2019-03-02 12:44:00
58316372,Aug/05/2019 06:08,sagarstorm,280C - Game on Tree,GNU C++14,Accepted,530 ms,8000 KB,2019-08-05 06:08:00
25574083,Mar/17/2017 16:41,cen,280C - Game on Tree,GNU C++11,Accepted,92 ms,9800 KB,2017-03-17 16:41:00
38151714,May/13/2018 06:55,luogu_bot1,280C - Game on Tree,GNU C++,Accepted,92 ms,9700 KB,2018-05-13 06:55:00
19582664,Aug/02/2016 18:51,vjudge5,280C - Game on Tree,GNU C++,Accepted,92 ms,7000 KB,2016-08-02 18:51:00
45912863,Nov/18/2018 15:27,vjudge3,280C - Game on Tree,GNU C++11,Accepted,92 ms,9400 KB,2018-11-18 15:27:00
45948054,Nov/19/2018 06:11,vjudge2,280C - Game on Tree,MS C++,Accepted,124 ms,6700 KB,2018-11-19 06:11:00
57561494,Jul/23/2019 04:01,tredcx,280C - Game on Tree,GNU C++14,Accepted,124 ms,9900 KB,2019-07-23 04:01:00
29676438,Aug/22/2017 10:27,Humayan_Kabir,280C - Game on Tree,GNU C++14,Accepted,530 ms,9100 KB,2017-08-22 10:27:00
41937712,Aug/21/2018 16:40,dasxxx,280C - Game on Tree,GNU C++,Accepted,92 ms,3900 KB,2018-08-21 16:40:00
42198483,Aug/28/2018 10:38,toxzi,280C - Game on Tree,GNU C++14,Accepted,156 ms,9100 KB,2018-08-28 10:38:00
49653245,Feb/09/2019 11:39,tbzard,280C - Game on Tree,GNU C++14,Accepted,156 ms,9100 KB,2019-02-09 11:39:00
53865785,May/08/2019 06:37,LiSA,280C - Game on Tree,GNU C++14,Accepted,156 ms,22100 KB,2019-05-08 06:37:00
71421990,Feb/19/2020 10:54,vjudge4,280C - Game on Tree,GNU C++17,Accepted,154 ms,9500 KB,2020-02-19 10:54:00
51466490,Mar/19/2019 05:06,vjudge3,280C - Game on Tree,GNU C++14,Accepted,154 ms,9500 KB,2019-03-19 05:06:00
3452242,Apr/02/2013 13:34,Furko,280C - Game on Tree,FPC,Accepted,62 ms,14100 KB,2013-04-02 13:34:00
8499308,Oct/31/2014 18:54,vjudge1,280C - Game on Tree,MS C++,Accepted,154 ms,7800 KB,2014-10-31 18:54:00
15223074,Jan/07/2016 12:39,jklepec,280C - Game on Tree,GNU C++11,Accepted,124 ms,9000 KB,2016-01-07 12:39:00
21128121,Oct/03/2016 06:44,mjhun,280C - Game on Tree,GNU C++,Accepted,156 ms,9000 KB,2016-10-03 06:44:00
66748480,Dec/13/2019 07:29,dysyn1314,280C - Game on Tree,GNU C++11,Accepted,654 ms,9400 KB,2019-12-13 07:29:00
3427460,Mar/31/2013 17:10,delta_4d,280C - Game on Tree,GNU C++,Accepted,93 ms,9100 KB,2013-03-31 17:10:00
56759818,Jul/09/2019 18:23,luogu_bot1,280C - Game on Tree,GNU C++11,Accepted,122 ms,7800 KB,2019-07-09 18:23:00
50677037,Mar/02/2019 12:42,skyping,280C - Game on Tree,GNU C++11,Accepted,92 ms,39900 KB,2019-03-02 12:42:00
19555503,Aug/01/2016 11:48,vjudge3,280C - Game on Tree,GNU C++,Accepted,92 ms,9000 KB,2016-08-01 11:48:00
51850656,Mar/26/2019 10:45,luogu_bot4,280C - Game on Tree,GNU C++11,Accepted,654 ms,7500 KB,2019-03-26 10:45:00
9420473,Jan/13/2015 02:59,Jarrar,280C - Game on Tree,GNU C++,Accepted,310 ms,6200 KB,2015-01-13 02:59:00
