63541986,Oct/27/2019 12:38,Alfeh,24B - F1 Champions,GNU C++17,Accepted,62 ms,200 KB,2019-10-27 12:38:00
9395111,Jan/10/2015 06:34,vjudge4,24B - F1 Champions,GNU C++,Accepted,30 ms,200 KB,2015-01-10 06:34:00
12532739,Aug/14/2015 18:43,nickluo,24B - F1 Champions,GNU C++,Accepted,30 ms,0 KB,2015-08-14 18:43:00
20787022,Sep/21/2016 04:44,Jin_Haonan,24B - F1 Champions,GNU C++,Accepted,30 ms,300 KB,2016-09-21 04:44:00
33455585,Dec/20/2017 15:53,Todd2017,24B - F1 Champions,GNU C++,Accepted,30 ms,2300 KB,2017-12-20 15:53:00
41265955,Aug/06/2018 10:08,yishuhan,24B - F1 Champions,GNU C++14,Accepted,92 ms,500 KB,2018-08-06 10:08:00
41215161,Aug/04/2018 15:37,C919,24B - F1 Champions,GNU C++,Accepted,62 ms,700 KB,2018-08-04 15:37:00
70425401,Feb/06/2020 12:56,zhoutianyi2007221,24B - F1 Champions,GNU C++11,Accepted,62 ms,200 KB,2020-02-06 12:56:00
101357,Jul/26/2010 17:20,thocevar,24B - F1 Champions,GNU C++,Accepted,50 ms,1400 KB,2010-07-26 17:20:00
599916,Aug/09/2011 07:40,tmt514,24B - F1 Champions,GNU C++,Accepted,30 ms,2000 KB,2011-08-09 07:40:00
57506711,Jul/22/2019 15:17,yspm,24B - F1 Champions,GNU C++11,Accepted,62 ms,200 KB,2019-07-22 15:17:00
70431722,Feb/06/2020 14:44,SHEXINYI,24B - F1 Champions,GNU C++17,Accepted,62 ms,200 KB,2020-02-06 14:44:00
70427240,Feb/06/2020 13:24,JudySHE,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2020-02-06 13:24:00
105178,Jul/27/2010 18:13,btw616,24B - F1 Champions,GNU C++,Accepted,30 ms,1400 KB,2010-07-27 18:13:00
43812861,Oct/05/2018 05:39,Eric_hooo,24B - F1 Champions,GNU C++11,Accepted,62 ms,100 KB,2018-10-05 05:39:00
33076729,Dec/10/2017 12:22,alizhou,24B - F1 Champions,GNU C++,Accepted,62 ms,2200 KB,2017-12-10 12:22:00
33329623,Dec/17/2017 08:51,vjudge2,24B - F1 Champions,GNU C++,Accepted,62 ms,2300 KB,2017-12-17 08:51:00
59481576,Aug/25/2019 19:28,rainboy,24B - F1 Champions,GNU C11,Accepted,62 ms,300 KB,2019-08-25 19:28:00
343886,Mar/19/2011 14:32,sevenkplus,24B - F1 Champions,GNU C++,Accepted,30 ms,1500 KB,2011-03-19 14:32:00
44957281,Oct/27/2018 17:52,lzq41,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-10-27 17:52:00
7982597,Sep/27/2014 13:58,abhiruchi16,24B - F1 Champions,GNU C++,Accepted,60 ms,200 KB,2014-09-27 13:58:00
44957532,Oct/27/2018 17:59,lzq41,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-10-27 17:59:00
41213726,Aug/04/2018 14:59,felmid,24B - F1 Champions,GNU C++17,Accepted,62 ms,200 KB,2018-08-04 14:59:00
56701312,Jul/08/2019 12:12,2020skyfall,24B - F1 Champions,GNU C++17,Accepted,60 ms,300 KB,2019-07-08 12:12:00
77988376,Apr/25/2020 10:25,vjudge4,24B - F1 Champions,GNU C++17,Accepted,92 ms,200 KB,2020-04-25 10:25:00
70443848,Feb/06/2020 17:41,luogu_bot5,24B - F1 Champions,GNU C++11,Accepted,62 ms,100 KB,2020-02-06 17:41:00
43813979,Oct/05/2018 06:39,Eric_hooo,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-10-05 06:39:00
45993893,Nov/20/2018 14:25,luogu_bot4,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-11-20 14:25:00
46021779,Nov/21/2018 11:36,nanatoday,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-11-21 11:36:00
77984757,Apr/25/2020 09:47,vjudge3,24B - F1 Champions,GNU C++11,Accepted,62 ms,7900 KB,2020-04-25 09:47:00
41214928,Aug/04/2018 15:30,lijk,24B - F1 Champions,GNU C++,Accepted,62 ms,0 KB,2018-08-04 15:30:00
640412,Aug/28/2011 06:33,ffx,24B - F1 Champions,Python 2,Accepted,60 ms,2800 KB,2011-08-28 06:33:00
755044,Oct/11/2011 11:44,Shik,24B - F1 Champions,GNU C++,Accepted,30 ms,1400 KB,2011-10-11 11:44:00
14926986,Dec/22/2015 18:13,vjudge5,24B - F1 Champions,GNU C++,Accepted,30 ms,0 KB,2015-12-22 18:13:00
21362404,Oct/11/2016 18:25,vjudge3,24B - F1 Champions,GNU C++,Accepted,30 ms,2300 KB,2016-10-11 18:25:00
41214084,Aug/04/2018 15:07,felmid,24B - F1 Champions,GNU C++17,Accepted,62 ms,200 KB,2018-08-04 15:07:00
46052645,Nov/22/2018 11:46,nanatoday,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-11-22 11:46:00
101701,Jul/26/2010 17:33,vinicius,24B - F1 Champions,GNU C++,Accepted,30 ms,1300 KB,2010-07-26 17:33:00
487585,Jun/14/2011 19:30,Warrior,24B - F1 Champions,MS C++,Accepted,30 ms,1400 KB,2011-06-14 19:30:00
47832357,Jan/02/2019 10:51,luogu_bot3,24B - F1 Champions,GNU C++11,Accepted,62 ms,100 KB,2019-01-02 10:51:00
77986820,Apr/25/2020 10:08,vjudge3,24B - F1 Champions,GNU C++17,Accepted,62 ms,400 KB,2020-04-25 10:08:00
77989370,Apr/25/2020 10:37,vjudge5,24B - F1 Champions,GNU C++11,Accepted,62 ms,200 KB,2020-04-25 10:37:00
33329351,Dec/17/2017 08:38,Best_Memories,24B - F1 Champions,GNU C++14,Accepted,30 ms,2300 KB,2017-12-17 08:38:00
101284,Jul/26/2010 17:16,Ra16bit,24B - F1 Champions,GNU C++,Accepted,30 ms,1300 KB,2010-07-26 17:16:00
106023,Aug/03/2010 02:19,mipt.vi002,24B - F1 Champions,Ruby,Accepted,60 ms,4000 KB,2010-08-03 02:19:00
46174292,Nov/24/2018 17:21,XianHZ,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-11-24 17:21:00
33329633,Dec/17/2017 08:52,InvisibleCyclist,24B - F1 Champions,GNU C++14,Accepted,30 ms,2300 KB,2017-12-17 08:52:00
41231814,Aug/05/2018 06:47,InvisibleCyclist,24B - F1 Champions,GNU C++17,Accepted,62 ms,500 KB,2018-08-05 06:47:00
43787468,Oct/04/2018 15:41,Eric_hooo,24B - F1 Champions,GNU C++11,Accepted,92 ms,300 KB,2018-10-04 15:41:00
41241359,Aug/05/2018 13:35,WW228,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-05 13:35:00
78000207,Apr/25/2020 11:57,vjudge2,24B - F1 Champions,Clang++17 Diagnostics,Accepted,122 ms,300 KB,2020-04-25 11:57:00
14058204,Nov/04/2015 16:30,zhuky.RLG,24B - F1 Champions,GNU C++,Accepted,30 ms,600 KB,2015-11-04 16:30:00
41388880,Aug/09/2018 10:25,felmid,24B - F1 Champions,GNU C++11,Accepted,62 ms,400 KB,2018-08-09 10:25:00
14058037,Nov/04/2015 16:17,zhuky.RLG,24B - F1 Champions,GNU C++,Accepted,30 ms,600 KB,2015-11-04 16:17:00
56689824,Jul/08/2019 05:53,vjudge4,24B - F1 Champions,GNU C++14,Accepted,62 ms,400 KB,2019-07-08 05:53:00
46000549,Nov/20/2018 17:17,vjudge1,24B - F1 Champions,GNU C++17,Accepted,62 ms,400 KB,2018-11-20 17:17:00
15605537,Jan/27/2016 08:36,AnnieCai,24B - F1 Champions,GNU C++,Accepted,30 ms,700 KB,2016-01-27 08:36:00
12298469,Aug/01/2015 06:20,ardent,24B - F1 Champions,GNU C++11,Accepted,30 ms,0 KB,2015-08-01 06:20:00
77988275,Apr/25/2020 10:24,vjudge5,24B - F1 Champions,GNU C++11,Accepted,62 ms,500 KB,2020-04-25 10:24:00
70434072,Feb/06/2020 15:24,123456789963852741,24B - F1 Champions,GNU C++11,Accepted,62 ms,200 KB,2020-02-06 15:24:00
33079723,Dec/10/2017 15:41,hjx_bravery,24B - F1 Champions,GNU C++14,Accepted,62 ms,2200 KB,2017-12-10 15:41:00
41330958,Aug/08/2018 11:42,felmid,24B - F1 Champions,GNU C++11,Accepted,62 ms,100 KB,2018-08-08 11:42:00
43813759,Oct/05/2018 06:28,Eric_hooo,24B - F1 Champions,GNU C++11,Accepted,62 ms,300 KB,2018-10-05 06:28:00
28476755,Jul/12/2017 17:22,MKopchev,24B - F1 Champions,GNU C++14,Accepted,30 ms,2400 KB,2017-07-12 17:22:00
79121914,May/06/2020 11:42,luogu_bot1,24B - F1 Champions,GNU C++17,Accepted,62 ms,400 KB,2020-05-06 11:42:00
33454838,Dec/20/2017 15:17,Todd2017,24B - F1 Champions,GNU C++,Accepted,60 ms,2400 KB,2017-12-20 15:17:00
41389635,Aug/09/2018 10:48,felmid,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-09 10:48:00
12485108,Aug/13/2015 01:54,fyuhkust,24B - F1 Champions,GNU C++,Accepted,62 ms,0 KB,2015-08-13 01:54:00
33804507,Dec/30/2017 11:35,Todd2017,24B - F1 Champions,GNU C++,Accepted,30 ms,2300 KB,2017-12-30 11:35:00
49691894,Feb/10/2019 14:43,qinding,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2019-02-10 14:43:00
56687995,Jul/08/2019 04:17,qinding,24B - F1 Champions,GNU C++17,Accepted,62 ms,200 KB,2019-07-08 04:17:00
106653,Dec/24/2010 20:08,Jesus,24B - F1 Champions,GNU C++,Accepted,50 ms,1900 KB,2010-12-24 20:08:00
45993837,Nov/20/2018 14:23,tzxydby,24B - F1 Champions,GNU C++17,Accepted,60 ms,400 KB,2018-11-20 14:23:00
