10574114,Apr/04/2015 16:40,sugar,137B - Permutation,GNU C++11,Accepted,60 ms,200 KB,2015-04-04 16:40:00
14348970,Nov/19/2015 22:16,elistark,137B - Permutation,Python 2,Accepted,124 ms,400 KB,2015-11-19 22:16:00
958256,Dec/16/2011 10:14,ray040123,137B - Permutation,Python 2,Accepted,60 ms,3100 KB,2011-12-16 10:14:00
5532496,Dec/28/2013 00:24,Nekrolm,137B - Permutation,Python 2,Accepted,780 ms,400 KB,2013-12-28 00:24:00
8596965,Nov/07/2014 01:29,merolish,137B - Permutation,Python 3,Accepted,124 ms,400 KB,2014-11-07 01:29:00
17687801,May/02/2016 13:40,DukeOfYork,137B - Permutation,Python 2,Accepted,124 ms,4900 KB,2016-05-02 13:40:00
51366065,Mar/16/2019 12:42,indianfootball,137B - Permutation,PyPy 3,Accepted,280 ms,500 KB,2019-03-16 12:42:00
54980728,Jun/02/2019 16:02,y0f01,137B - Permutation,Python 3,Accepted,218 ms,300 KB,2019-06-02 16:02:00
4407139,Sep/05/2013 03:09,pterx#,137B - Permutation,Ruby,Accepted,92 ms,400 KB,2013-09-05 03:09:00
958298,Dec/16/2011 10:14,* ftiasch,137B - Permutation,Ruby,Accepted,170 ms,5600 KB,2011-12-16 10:14:00
63545487,Oct/27/2019 13:25,hjq000,137B - Permutation,Python 3,Accepted,248 ms,600 KB,2019-10-27 13:25:00
1848319,Jul/02/2012 07:24,Universez,137B - Permutation,Python 2,Accepted,130 ms,3200 KB,2012-07-02 07:24:00
18151157,May/29/2016 23:41,oyouoo,137B - Permutation,GNU C,Accepted,30 ms,2200 KB,2016-05-29 23:41:00
21632981,Oct/21/2016 08:00,Racsoth,137B - Permutation,Python 3,Accepted,124 ms,300 KB,2016-10-21 08:00:00
993192,Dec/31/2011 19:08,jiangzhijie,137B - Permutation,Python 2,Accepted,80 ms,3100 KB,2011-12-31 19:08:00
9297474,Dec/29/2014 14:15,anilvedala,137B - Permutation,Python 2,Accepted,124 ms,400 KB,2014-12-29 14:15:00
2250522,Sep/25/2012 19:34,hs_poonia,137B - Permutation,GNU C,Accepted,31 ms,200 KB,2012-09-25 19:34:00
4267193,Aug/11/2013 23:44,av.driftking,137B - Permutation,Ruby,Accepted,966 ms,100 KB,2013-08-11 23:44:00
966179,Dec/17/2011 21:39,tereshinvs,137B - Permutation,Python 2,Accepted,60 ms,3200 KB,2011-12-17 21:39:00
5972951,Mar/10/2014 10:48,LowB,137B - Permutation,JavaScript,Accepted,92 ms,300 KB,2014-03-10 10:48:00
4371164,Aug/30/2013 19:06,sonerik,137B - Permutation,Python 3,Accepted,124 ms,300 KB,2013-08-30 19:06:00
14315523,Nov/17/2015 19:05,reldan,137B - Permutation,Scala,Accepted,592 ms,200 KB,2015-11-17 19:05:00
68675616,Jan/12/2020 21:30,shaikh_ubaid,137B - Permutation,Python 3,Accepted,248 ms,1200 KB,2020-01-12 21:30:00
39672536,Jun/26/2018 13:21,snehajain08178,137B - Permutation,Python 3,Accepted,624 ms,500 KB,2018-06-26 13:21:00
40674390,Jul/23/2018 17:29,timl,137B - Permutation,Python 3,Accepted,248 ms,300 KB,2018-07-23 17:29:00
52557257,Apr/10/2019 11:24,newstein33,137B - Permutation,Python 3,Accepted,218 ms,600 KB,2019-04-10 11:24:00
57933124,Jul/29/2019 12:28,LittleBeetle,137B - Permutation,GNU C++11,Accepted,62 ms,0 KB,2019-07-29 12:28:00
969741,Dec/20/2011 23:18,SamanSami,137B - Permutation,Python 2,Accepted,80 ms,3400 KB,2011-12-20 23:18:00
10705642,Apr/14/2015 18:32,igdor99,137B - Permutation,FPC,Accepted,30 ms,100 KB,2015-04-14 18:32:00
73946203,Mar/22/2020 12:09,MyloXylo5,137B - Permutation,GNU C++17,Accepted,92 ms,0 KB,2020-03-22 12:09:00
75272083,Apr/02/2020 20:35,vjudge3,137B - Permutation,PyPy 3,Accepted,280 ms,1900 KB,2020-04-02 20:35:00
967387,Dec/18/2011 23:41,rohit89,137B - Permutation,Ruby,Accepted,1690 ms,5600 KB,2011-12-18 23:41:00
9344988,Jan/02/2015 12:49,Kiborg-tourist,137B - Permutation,GNU C++,Accepted,30 ms,0 KB,2015-01-02 12:49:00
