37126894,Apr/09/2018 19:24,thenoobestever,134B - Pairs of Numbers,GNU C++14,Accepted,108 ms,3300 KB,2018-04-09 19:24:00
51130506,Mar/10/2019 16:29,aarr,134B - Pairs of Numbers,GNU C++14,Accepted,202 ms,0 KB,2019-03-10 16:29:00
928340,Dec/04/2011 06:35,tanxuanxi,134B - Pairs of Numbers,GNU C++,Accepted,200 ms,1400 KB,2011-12-04 06:35:00
79355058,May/08/2020 10:34,amsraman,134B - Pairs of Numbers,GNU C++11,Accepted,124 ms,3800 KB,2020-05-08 10:34:00
64591971,Nov/09/2019 18:05,Dear_with_teers,134B - Pairs of Numbers,GNU C++11,Accepted,202 ms,0 KB,2019-11-09 18:05:00
32802599,Nov/30/2017 13:47,arminjafargholi,134B - Pairs of Numbers,GNU C++14,Accepted,93 ms,2000 KB,2017-11-30 13:47:00
967507,Dec/19/2011 04:51,bey0nd,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2011-12-19 04:51:00
51141352,Mar/10/2019 22:28,Adibov,134B - Pairs of Numbers,GNU C++11,Accepted,249 ms,0 KB,2019-03-10 22:28:00
4307708,Aug/18/2013 13:52,hkglly,134B - Pairs of Numbers,GNU C++,Accepted,218 ms,0 KB,2013-08-18 13:52:00
930167,Dec/04/2011 23:34,__ivan__,134B - Pairs of Numbers,MS C++,Accepted,170 ms,1400 KB,2011-12-04 23:34:00
1234095,Feb/25/2012 16:20,tmt514,134B - Pairs of Numbers,GNU C++,Accepted,190 ms,1300 KB,2012-02-25 16:20:00
11249211,May/24/2015 12:14,vjudge3,134B - Pairs of Numbers,GNU C++,Accepted,77 ms,0 KB,2015-05-24 12:14:00
11360620,May/30/2015 23:14,augpro,134B - Pairs of Numbers,GNU C++,Accepted,93 ms,0 KB,2015-05-30 23:14:00
77644814,Apr/22/2020 15:26,sgshivamgupta14,134B - Pairs of Numbers,GNU C++14,Accepted,358 ms,31200 KB,2020-04-22 15:26:00
