66453188,Dec/07/2019 15:14,Davidshx,113B - Petr#,GNU C++11,Accepted,92 ms,47900 KB,2019-12-07 15:14:00
55748352,Jun/19/2019 14:19,Kingofzeros,113B - Petr#,GNU C++14,Accepted,1402 ms,52400 KB,2019-06-19 14:19:00
24984834,Feb/24/2017 17:20,Gasser,113B - Petr#,GNU C++11,Accepted,964 ms,100000 KB,2017-02-24 17:20:00
6817258,Jun/05/2014 10:03,ASDASDASDASD,113B - Petr#,GNU C++,Accepted,404 ms,25200 KB,2014-06-05 10:03:00
16715577,Mar/14/2016 17:16,IMAN_GH#,114D - Petr#,GNU C++11,Accepted,404 ms,31500 KB,2016-03-14 17:16:00
24984864,Feb/24/2017 17:21,Gasser,113B - Petr#,GNU C++11,Accepted,1402 ms,54200 KB,2017-02-24 17:21:00
689068,Sep/11/2011 08:00,Wizmann,114D - Petr#,MS C++,Accepted,110 ms,5200 KB,2011-09-11 08:00:00
10794838,Apr/20/2015 10:14,vjudge1,113B - Petr#,GNU C++,Accepted,372 ms,27200 KB,2015-04-20 10:14:00
1619347,Apr/24/2012 10:35,shinian,113B - Petr#,GNU C++,Accepted,250 ms,32700 KB,2012-04-24 10:35:00
1075469,Jan/18/2012 18:00,guille,113B - Petr#,GNU C++,Accepted,1920 ms,141100 KB,2012-01-18 18:00:00
