12248763,Jul/28/2015 10:19,hkglly,30B - Codeforces World Finals,GNU C++11,Accepted,60 ms,0 KB,2015-07-28 10:19:00
34540198,Jan/25/2018 11:25,vjudge5,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1800 KB,2018-01-25 11:25:00
39266306,Jun/15/2018 15:35,WangJialei,30B - Codeforces World Finals,Go,Accepted,62 ms,200 KB,2018-06-15 15:35:00
128392,Sep/24/2010 19:24,Rotsor,30B - Codeforces World Finals,Mono C#,Accepted,130 ms,5800 KB,2010-09-24 19:24:00
59315678,Aug/22/2019 19:52,nongi,30B - Codeforces World Finals,GNU C++17,Accepted,62 ms,0 KB,2019-08-22 19:52:00
8069528,Oct/03/2014 18:47,Sert,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2014-10-03 18:47:00
131196,Sep/24/2010 22:16,ice_age,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1300 KB,2010-09-24 22:16:00
1978492,Aug/05/2012 20:09,unit7,30B - Codeforces World Finals,Python 2,Accepted,110 ms,2900 KB,2012-08-05 20:09:00
610275,Aug/14/2011 08:05,liangjiaxing57,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1300 KB,2011-08-14 08:05:00
74254122,Mar/25/2020 07:12,Bigface,30B - Codeforces World Finals,MS C++ 2017,Accepted,62 ms,0 KB,2020-03-25 07:12:00
18728739,Jun/26/2016 06:05,kai_,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,0 KB,2016-06-26 06:05:00
8043744,Oct/01/2014 11:03,vjudge2,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,0 KB,2014-10-01 11:03:00
34063504,Jan/10/2018 09:55,vjudge5,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,2000 KB,2018-01-10 09:55:00
2298380,Oct/04/2012 12:39,vjudge2,30B - Codeforces World Finals,GNU C++,Accepted,31 ms,0 KB,2012-10-04 12:39:00
2298391,Oct/04/2012 12:42,vjudge3,30B - Codeforces World Finals,GNU C++,Accepted,31 ms,0 KB,2012-10-04 12:42:00
3111286,Feb/13/2013 15:14,vjudge1,30B - Codeforces World Finals,GNU C++,Accepted,15 ms,0 KB,2013-02-13 15:14:00
3111290,Feb/13/2013 15:15,vjudge2,30B - Codeforces World Finals,GNU C++,Accepted,15 ms,0 KB,2013-02-13 15:15:00
