74212993,Mar/24/2020 17:50,se7en,16B - Burglar and Matches,GNU C++17,Accepted,62 ms,0 KB,2020-03-24 17:50:00
10122689,Mar/02/2015 20:00,st-Firdavs,16B - Burglar and Matches,GNU C++,Accepted,30 ms,0 KB,2015-03-02 20:00:00
79343003,May/08/2020 07:29,mahaveer1141,16B - Burglar and Matches,Python 3,Accepted,218 ms,6800 KB,2020-05-08 07:29:00
36720891,Mar/29/2018 16:07,tech96,16B - Burglar and Matches,PyPy 3,Accepted,218 ms,20900 KB,2018-03-29 16:07:00
68668927,Jan/12/2020 19:08,Verlichte,16B - Burglar and Matches,Python 3,Accepted,248 ms,0 KB,2020-01-12 19:08:00
72999796,Mar/12/2020 09:33,b6e0,16B - Burglar and Matches,GNU C++11,Accepted,62 ms,0 KB,2020-03-12 09:33:00
63924016,Oct/31/2019 15:32,abhivick07,16B - Burglar and Matches,Python 3,Accepted,248 ms,0 KB,2019-10-31 15:32:00
64599161,Nov/09/2019 20:58,pyduper,16B - Burglar and Matches,PyPy 3,Accepted,280 ms,0 KB,2019-11-09 20:58:00
75266080,Apr/02/2020 19:36,hazemhazozomanwa,16B - Burglar and Matches,Python 3,Accepted,218 ms,300 KB,2020-04-02 19:36:00
76302029,Apr/12/2020 10:55,sayani_ghosh,16B - Burglar and Matches,GNU C++14,Accepted,62 ms,0 KB,2020-04-12 10:55:00
40516700,Jul/18/2018 16:39,vjudge5,16B - Burglar and Matches,GNU C++,Accepted,62 ms,0 KB,2018-07-18 16:39:00
1049443,Jan/16/2012 13:51,kovshi,16B - Burglar and Matches,Python 2,Accepted,60 ms,2800 KB,2012-01-16 13:51:00
33818408,Dec/30/2017 21:54,lukecsq,16B - Burglar and Matches,GNU C++11,Accepted,30 ms,2000 KB,2017-12-30 21:54:00
39527554,Jun/22/2018 23:37,Divcode,16B - Burglar and Matches,Python 3,Accepted,186 ms,100 KB,2018-06-22 23:37:00
46233970,Nov/26/2018 02:47,vjudge1,16B - Burglar and Matches,GNU C++11,Accepted,62 ms,0 KB,2018-11-26 02:47:00
59385265,Aug/24/2019 09:03,innocent_coder,16B - Burglar and Matches,GNU C++17,Accepted,62 ms,0 KB,2019-08-24 09:03:00
