9851572,Feb/14/2015 23:04,tahsynx,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2015-02-14 23:04:00
40726245,Jul/25/2018 08:05,vjudge5,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2018-07-25 08:05:00
40879386,Jul/28/2018 12:56,Nickir,483B - Friends and Presents,GNU C++17,Accepted,46 ms,0 KB,2018-07-28 12:56:00
31231288,Oct/12/2017 06:14,maratonando,483B - Friends and Presents,GNU C++11,Accepted,15 ms,0 KB,2017-10-12 06:14:00
8521465,Nov/02/2014 12:27,1250060122wx,483B - Friends and Presents,MS C++,Accepted,31 ms,0 KB,2014-11-02 12:27:00
33150506,Dec/12/2017 12:52,_Badral,483B - Friends and Presents,GNU C++11,Accepted,15 ms,2000 KB,2017-12-12 12:52:00
49183490,Jan/30/2019 07:02,Nurik.Kz,483B - Friends and Presents,GNU C++14,Accepted,30 ms,0 KB,2019-01-30 07:02:00
63516241,Oct/27/2019 03:39,liyuejian,483B - Friends and Presents,GNU C++11,Accepted,31 ms,0 KB,2019-10-27 03:39:00
8389099,Oct/24/2014 22:23,mahmouder,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-10-24 22:23:00
8390253,Oct/24/2014 22:36,WARenie,483B - Friends and Presents,FPC,Accepted,31 ms,0 KB,2014-10-24 22:36:00
8395387,Oct/25/2014 00:50,Diligas,483B - Friends and Presents,FPC,Accepted,31 ms,0 KB,2014-10-25 00:50:00
22157907,Nov/11/2016 08:02,Mjgonzales,483B - Friends and Presents,GNU C++14,Accepted,15 ms,0 KB,2016-11-11 08:02:00
23795056,Jan/14/2017 02:35,masonsbro,483B - Friends and Presents,PyPy 2,Accepted,124 ms,21500 KB,2017-01-14 02:35:00
41321905,Aug/08/2018 04:53,swqeaaa,483B - Friends and Presents,GNU C++17,Accepted,31 ms,0 KB,2018-08-08 04:53:00
49183428,Jan/30/2019 06:59,Nurik.Kz,483B - Friends and Presents,GNU C++14,Accepted,31 ms,0 KB,2019-01-30 06:59:00
50163215,Feb/19/2019 16:30,vjudge5,483B - Friends and Presents,GNU C++11,Accepted,31 ms,0 KB,2019-02-19 16:30:00
8393429,Oct/24/2014 23:32,krisits,483B - Friends and Presents,GNU C++0x,Accepted,46 ms,0 KB,2014-10-24 23:32:00
12696984,Aug/25/2015 17:42,pooyankhan,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2015-08-25 17:42:00
12696993,Aug/25/2015 17:42,pooyankhan,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2015-08-25 17:42:00
8420171,Oct/26/2014 15:35,vasekguryev94,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2014-10-26 15:35:00
8449473,Oct/28/2014 15:40,Khazhak,483B - Friends and Presents,MS C++,Accepted,31 ms,0 KB,2014-10-28 15:40:00
8496383,Oct/31/2014 14:00,Levantiy,483B - Friends and Presents,Python 3,Accepted,62 ms,0 KB,2014-10-31 14:00:00
8390300,Oct/24/2014 22:37,gardener,483B - Friends and Presents,FPC,Accepted,31 ms,0 KB,2014-10-24 22:37:00
8469734,Oct/29/2014 16:35,summer_vj,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2014-10-29 16:35:00
9854910,Feb/15/2015 08:11,qpalz,483B - Friends and Presents,GNU C++0x,Accepted,30 ms,0 KB,2015-02-15 08:11:00
63516729,Oct/27/2019 04:08,Wankupi,483B - Friends and Presents,GNU C++11,Accepted,31 ms,0 KB,2019-10-27 04:08:00
8419865,Oct/26/2014 15:05,houxin,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-10-26 15:05:00
8483171,Oct/30/2014 15:30,10110057#,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2014-10-30 15:30:00
11158960,May/19/2015 20:34,Ands,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2015-05-19 20:34:00
13946138,Oct/30/2015 06:22,alex20030190,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2015-10-30 06:22:00
41109525,Aug/02/2018 09:08,vjudge5,483B - Friends and Presents,GNU C++,Accepted,31 ms,300 KB,2018-08-02 09:08:00
44714267,Oct/22/2018 23:31,hiram1122,483B - Friends and Presents,Python 2,Accepted,171 ms,0 KB,2018-10-22 23:31:00
8390872,Oct/24/2014 22:44,Adoosth,483B - Friends and Presents,GNU C++,Accepted,46 ms,0 KB,2014-10-24 22:44:00
8449669,Oct/28/2014 15:59,ReaterYu,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2014-10-28 15:59:00
8449805,Oct/28/2014 16:15,Wells#,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2014-10-28 16:15:00
8462431,Oct/28/2014 23:17,l3o,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2014-10-28 23:17:00
26968083,May/09/2017 08:56,EL_3AQ-Why_not,483B - Friends and Presents,GNU C++14,Accepted,31 ms,0 KB,2017-05-09 08:56:00
69167132,Jan/20/2020 07:28,vjudge3,483B - Friends and Presents,MS C++,Accepted,31 ms,0 KB,2020-01-20 07:28:00
8413118,Oct/25/2014 19:30,mc_mosa,483B - Friends and Presents,Delphi,Accepted,62 ms,0 KB,2014-10-25 19:30:00
8591655,Nov/06/2014 17:21,mohitmangnani,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2014-11-06 17:21:00
11140773,May/19/2015 09:08,agnu13,483B - Friends and Presents,GNU C++,Accepted,31 ms,100 KB,2015-05-19 09:08:00
12288615,Jul/31/2015 11:12,UtopiaBeam,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2015-07-31 11:12:00
56817654,Jul/10/2019 23:20,sjovanovic,483B - Friends and Presents,GNU C++14,Accepted,31 ms,0 KB,2019-07-10 23:20:00
