64167905,Nov/03/2019 20:06,dauphu15,3B - Lorry,GNU C++11,Accepted,560 ms,1200 KB,2019-11-03 20:06:00
26072087,Apr/02/2017 10:36,Stronger2020,3B - Lorry,GNU C++11,Accepted,1216 ms,4400 KB,2017-04-02 10:36:00
44771386,Oct/24/2018 15:32,hehebudong,3B - Lorry,GNU C++14,Accepted,934 ms,2300 KB,2018-10-24 15:32:00
2714822,Dec/07/2012 14:04,sambaek,3B - Lorry,Ruby,Accepted,921 ms,5800 KB,2012-12-07 14:04:00
59598157,Aug/28/2019 06:48,Kylin_,3B - Lorry,GNU C++11,Accepted,92 ms,23300 KB,2019-08-28 06:48:00
24955321,Feb/24/2017 08:37,RetiaAdolf,3B - Lorry,Python 2,Accepted,1060 ms,20500 KB,2017-02-24 08:37:00
79034434,May/05/2020 10:49,victor0198,3B - Lorry,Python 3,Accepted,1278 ms,15900 KB,2020-05-05 10:49:00
12609,Mar/07/2010 15:42,pompon,3B - Lorry,GNU C++,Accepted,110 ms,3200 KB,2010-03-07 15:42:00
20531526,Sep/11/2016 15:46,Steven_Chen,3B - Lorry,GNU C++,Accepted,124 ms,2000 KB,2016-09-11 15:46:00
64195320,Nov/04/2019 12:26,luogu_bot4,3B - Lorry,GNU C++11,Accepted,124 ms,2200 KB,2019-11-04 12:26:00
21607943,Oct/20/2016 06:41,biltharesatyendra,3B - Lorry,GNU C++,Accepted,122 ms,4900 KB,2016-10-20 06:41:00
42489973,Sep/05/2018 14:31,_Dispwnl,3B - Lorry,GNU C++11,Accepted,124 ms,2400 KB,2018-09-05 14:31:00
75652117,Apr/06/2020 14:47,Boaba,3B - Lorry,GNU C++17,Accepted,404 ms,2100 KB,2020-04-06 14:47:00
57070796,Jul/15/2019 05:27,KH18,3B - Lorry,GNU C++11,Accepted,92 ms,2000 KB,2019-07-15 05:27:00
12159056,Jul/22/2015 09:23,bluemmb,3B - Lorry,GNU C++11,Accepted,654 ms,2100 KB,2015-07-22 09:23:00
52306887,Apr/04/2019 15:39,nowayout,3B - Lorry,GNU C++11,Accepted,186 ms,2400 KB,2019-04-04 15:39:00
42713408,Sep/09/2018 20:34,immortalCO,3B - Lorry,GNU C++17,Accepted,156 ms,2100 KB,2018-09-09 20:34:00
15246,Apr/01/2010 11:36,Notforgetbutnew,3B - Lorry,MS C++,Accepted,90 ms,2900 KB,2010-04-01 11:36:00
4081243,Jul/16/2013 17:55,Henko,3B - Lorry,GNU C++,Accepted,234 ms,1600 KB,2013-07-16 17:55:00
284277,Feb/13/2011 22:47,Aleksey,3B - Lorry,Python 2,Accepted,770 ms,14200 KB,2011-02-13 22:47:00
1441933,Mar/30/2012 03:33,HulkHoggan,3B - Lorry,MS C++,Accepted,330 ms,4100 KB,2012-03-30 03:33:00
12317,Mar/07/2010 15:24,cjf00000,3B - Lorry,MS C++,Accepted,110 ms,2400 KB,2010-03-07 15:24:00
58052393,Jul/31/2019 06:12,luogu_bot3,3B - Lorry,GNU C++11,Accepted,280 ms,2400 KB,2019-07-31 06:12:00
2686078,Dec/02/2012 14:33,serega.belarus,3B - Lorry,GNU C++,Accepted,125 ms,1500 KB,2012-12-02 14:33:00
33469337,Dec/21/2017 06:14,shaochengxi,3B - Lorry,GNU C++14,Accepted,122 ms,4600 KB,2017-12-21 06:14:00
58052399,Jul/31/2019 06:12,njwrz,3B - Lorry,GNU C++14,Accepted,154 ms,2400 KB,2019-07-31 06:12:00
33082727,Dec/10/2017 20:20,zhouhebin,3B - Lorry,GNU C++,Accepted,124 ms,4000 KB,2017-12-10 20:20:00
2672399,Nov/28/2012 15:23,vjudge4,3B - Lorry,GNU C++,Accepted,359 ms,1700 KB,2012-11-28 15:23:00
52464687,Apr/07/2019 18:00,h_z_y,3B - Lorry,GNU C++11,Accepted,280 ms,1200 KB,2019-04-07 18:00:00
52479121,Apr/08/2019 06:23,yyhslfw,3B - Lorry,GNU C++11,Accepted,280 ms,1200 KB,2019-04-08 06:23:00
6455648,Apr/23/2014 20:33,gskhirtladze,3B - Lorry,GNU C++,Accepted,216 ms,3100 KB,2014-04-23 20:33:00
62354423,Oct/11/2019 13:29,too_young_too_top1,3B - Lorry,GNU C++14,Accepted,92 ms,5400 KB,2019-10-11 13:29:00
66208106,Dec/03/2019 07:53,nabid_anzum,3B - Lorry,GNU C++14,Accepted,154 ms,2400 KB,2019-12-03 07:53:00
3426809,Mar/31/2013 14:40,jwjzy1020,3B - Lorry,GNU C++,Accepted,78 ms,2100 KB,2013-03-31 14:40:00
7342181,Aug/04/2014 10:21,vjudge3,3B - Lorry,GNU C++,Accepted,186 ms,27400 KB,2014-08-04 10:21:00
66536247,Dec/09/2019 12:43,willav_v,3B - Lorry,Python 2,Accepted,1278 ms,9300 KB,2019-12-09 12:43:00
68162304,Jan/04/2020 14:25,UR5ANO,3B - Lorry,Python 3,Accepted,1184 ms,13400 KB,2020-01-04 14:25:00
265542,Jan/26/2011 16:13,bobchennan,3B - Lorry,GNU C++,Accepted,130 ms,3400 KB,2011-01-26 16:13:00
6734994,May/29/2014 18:04,papaga3,3B - Lorry,GNU C++,Accepted,216 ms,12300 KB,2014-05-29 18:04:00
55732102,Jun/19/2019 01:37,Elkattanman,3B - Lorry,GNU C++14,Accepted,124 ms,1000 KB,2019-06-19 01:37:00
13311,Mar/07/2010 16:23,zhangmengnan92,3B - Lorry,GNU C++,Accepted,110 ms,2800 KB,2010-03-07 16:23:00
69503621,Jan/25/2020 10:35,no-orange,3B - Lorry,GNU C++11,Accepted,124 ms,2800 KB,2020-01-25 10:35:00
4914093,Oct/27/2013 19:49,ArchMage_,3B - Lorry,GNU C++,Accepted,93 ms,1700 KB,2013-10-27 19:49:00
1909143,Jul/18/2012 14:58,haas,3B - Lorry,GNU C++,Accepted,220 ms,3300 KB,2012-07-18 14:58:00
875949,Nov/17/2011 17:56,quietude,3B - Lorry,GNU C++,Accepted,130 ms,2500 KB,2011-11-17 17:56:00
42721762,Sep/10/2018 05:30,NoBrains,3B - Lorry,GNU C++11,Accepted,312 ms,2100 KB,2018-09-10 05:30:00
7018373,Jul/06/2014 03:40,fan_hd,3B - Lorry,GNU C++,Accepted,218 ms,1600 KB,2014-07-06 03:40:00
