35587516,Feb/23/2018 06:29,shiyanrui,17B - Hierarchy,GNU C++17,Accepted,62 ms,33600 KB,2018-02-23 06:29:00
76447,Jun/10/2010 20:06,formula23,17B - Hierarchy,MS C++,Accepted,60 ms,1400 KB,2010-06-10 20:06:00
2455691,Oct/28/2012 15:30,airon#,17B - Hierarchy,Delphi,Accepted,31 ms,100 KB,2012-10-28 15:30:00
1095440,Jan/19/2012 23:38,Saken,17B - Hierarchy,FPC,Accepted,50 ms,5000 KB,2012-01-19 23:38:00
55713968,Jun/18/2019 14:45,vjudge1,17B - Hierarchy,GNU C++11,Accepted,124 ms,0 KB,2019-06-18 14:45:00
70712709,Feb/10/2020 10:31,luogu_bot4,17B - Hierarchy,GNU C++11,Accepted,92 ms,0 KB,2020-02-10 10:31:00
15450176,Jan/20/2016 11:14,ACstar,17B - Hierarchy,GNU C++,Accepted,122 ms,0 KB,2016-01-20 11:14:00
22650754,Dec/02/2016 05:39,avenger07,17B - Hierarchy,GNU C++11,Accepted,30 ms,0 KB,2016-12-02 05:39:00
78162,Jun/11/2010 00:01,nokia,17B - Hierarchy,GNU C++,Accepted,90 ms,1300 KB,2010-06-11 00:01:00
18974621,Jul/08/2016 21:54,Badalyan_Shavarsh,17B - Hierarchy,GNU C++11,Accepted,124 ms,0 KB,2016-07-08 21:54:00
71596126,Feb/22/2020 10:57,luogu_bot4,17B - Hierarchy,GNU C++11,Accepted,124 ms,0 KB,2020-02-22 10:57:00
75202,Jun/10/2010 19:11,cafelier,17B - Hierarchy,GNU C++,Accepted,90 ms,1400 KB,2010-06-10 19:11:00
76239185,Apr/11/2020 09:43,vjudge2,17B - Hierarchy,GNU C++11,Accepted,124 ms,3200 KB,2020-04-11 09:43:00
14654875,Dec/05/2015 00:04,vjudge5,17B - Hierarchy,GNU C++,Accepted,124 ms,0 KB,2015-12-05 00:04:00
76242333,Apr/11/2020 10:24,vjudge3,17B - Hierarchy,Clang++17 Diagnostics,Accepted,92 ms,300 KB,2020-04-11 10:24:00
79343,Aug/21/2010 23:22,guille,17B - Hierarchy,GNU C++,Accepted,80 ms,1300 KB,2010-08-21 23:22:00
7678458,Sep/04/2014 06:37,ShingRay,17B - Hierarchy,Ocaml,Accepted,62 ms,200 KB,2014-09-04 06:37:00
16675973,Mar/12/2016 17:50,Iregular,17B - Hierarchy,GNU C++,Accepted,122 ms,0 KB,2016-03-12 17:50:00
78985,Jun/16/2010 12:06,ardiankp,17B - Hierarchy,GNU C++,Accepted,30 ms,1300 KB,2010-06-16 12:06:00
20979469,Sep/29/2016 00:29,SalmaSamy,17B - Hierarchy,GNU C++11,Accepted,60 ms,0 KB,2016-09-29 00:29:00
7052947,Jul/09/2014 15:59,vjudge5,17B - Hierarchy,GNU C++,Accepted,62 ms,0 KB,2014-07-09 15:59:00
65699552,Nov/25/2019 13:05,RealFreddy,17B - Hierarchy,GNU C++11,Accepted,124 ms,7800 KB,2019-11-25 13:05:00
73597065,Mar/18/2020 20:57,Tuitkf,17B - Hierarchy,GNU C++11,Accepted,124 ms,100 KB,2020-03-18 20:57:00
76728527,Apr/14/2020 21:32,Erkhemkhuu,17B - Hierarchy,GNU C++17,Accepted,92 ms,300 KB,2020-04-14 21:32:00
