36407766,Mar/19/2018 13:35,GreymaneSilverfang,235B - Let's Play Osu!,GNU C++14,Accepted,248 ms,4000 KB,2018-03-19 13:35:00
3480432,Apr/06/2013 19:48,haxxpop,235B - Let's Play Osu!,GNU C++,Accepted,93 ms,800 KB,2013-04-06 19:48:00
61965546,Oct/06/2019 11:43,luogu_bot5,235B - Let's Play Osu!,GNU C++11,Accepted,998 ms,2400 KB,2019-10-06 11:43:00
6194168,Mar/31/2014 05:05,ShiinaMashiro,235B - Let's Play Osu!,GNU C++,Accepted,154 ms,0 KB,2014-03-31 05:05:00
17375902,Apr/18/2016 15:38,akaru,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,2000 KB,2016-04-18 15:38:00
57350655,Jul/20/2019 06:16,luogu_bot5,235B - Let's Play Osu!,GNU C++11,Accepted,1028 ms,9400 KB,2019-07-20 06:16:00
69720228,Jan/29/2020 13:23,Wankupi,235B - Let's Play Osu!,GNU C++11,Accepted,122 ms,0 KB,2020-01-29 13:23:00
9291830,Dec/28/2014 17:13,ljz,236D - Let's Play Osu!,FPC,Accepted,62 ms,0 KB,2014-12-28 17:13:00
10819504,Apr/22/2015 09:58,AnonymousBunny,235B - Let's Play Osu!,GNU C++,Accepted,1214 ms,2800 KB,2015-04-22 09:58:00
51680196,Mar/22/2019 15:20,skyping,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-03-22 15:20:00
3726943,May/16/2013 16:02,lyrics,235B - Let's Play Osu!,Python 2,Accepted,140 ms,5900 KB,2013-05-16 16:02:00
51618896,Mar/21/2019 16:32,skyzheng,235B - Let's Play Osu!,GNU C++11,Accepted,92 ms,1600 KB,2019-03-21 16:32:00
65939945,Nov/29/2019 08:32,LZDQ,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,2200 KB,2019-11-29 08:32:00
3652603,Apr/30/2013 05:40,ljcc,235B - Let's Play Osu!,FPC,Accepted,46 ms,1000 KB,2013-04-30 05:40:00
55416768,Jun/11/2019 06:09,xielinhan,235B - Let's Play Osu!,GNU C++11,Accepted,122 ms,3200 KB,2019-06-11 06:09:00
65939854,Nov/29/2019 08:29,lzoi.win,235B - Let's Play Osu!,GNU C++11,Accepted,122 ms,2200 KB,2019-11-29 08:29:00
65939937,Nov/29/2019 08:32,LZDQ,235B - Let's Play Osu!,GNU C++11,Accepted,122 ms,2200 KB,2019-11-29 08:32:00
6172513,Mar/29/2014 13:10,hkglly,235B - Let's Play Osu!,GNU C++,Accepted,122 ms,0 KB,2014-03-29 13:10:00
38554201,May/23/2018 10:25,haimeo1201,235B - Let's Play Osu!,GNU C++14,Accepted,1154 ms,1700 KB,2018-05-23 10:25:00
2440755,Oct/27/2012 06:11,zxh809444285,235B - Let's Play Osu!,FPC,Accepted,46 ms,2300 KB,2012-10-27 06:11:00
2403998,Oct/21/2012 17:29,ray040123,236D - Let's Play Osu!,Python 2,Accepted,250 ms,5900 KB,2012-10-21 17:29:00
15400061,Jan/16/2016 11:15,zyf940104357,235B - Let's Play Osu!,GNU C++11,Accepted,122 ms,0 KB,2016-01-16 11:15:00
15400077,Jan/16/2016 11:17,zyf940104357,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2016-01-16 11:17:00
61748428,Oct/03/2019 04:55,LEMH,235B - Let's Play Osu!,GNU C++11,Accepted,122 ms,1600 KB,2019-10-03 04:55:00
63921564,Oct/31/2019 14:52,vjudge4,235B - Let's Play Osu!,GNU C++14,Accepted,124 ms,0 KB,2019-10-31 14:52:00
37652578,Apr/27/2018 09:33,ql_wpc,235B - Let's Play Osu!,GNU C++,Accepted,124 ms,6400 KB,2018-04-27 09:33:00
49818009,Feb/12/2019 10:08,qq1744181792,235B - Let's Play Osu!,GNU C++11,Accepted,92 ms,1600 KB,2019-02-12 10:08:00
