48658083,Jan/21/2019 07:20,digcboy,173B - Chamber of Secrets,GNU C++11,Accepted,92 ms,13700 KB,2019-01-21 07:20:00
10237620,Mar/11/2015 16:44,ITDOI,173B - Chamber of Secrets,GNU C++0x,Accepted,904 ms,9500 KB,2015-03-11 16:44:00
34707172,Jan/30/2018 14:52,carott,173B - Chamber of Secrets,GNU C++14,Accepted,92 ms,12400 KB,2018-01-30 14:52:00
40723491,Jul/25/2018 06:00,zeyuan_he,173B - Chamber of Secrets,GNU C++11,Accepted,374 ms,29300 KB,2018-07-25 06:00:00
44279740,Oct/14/2018 06:06,luogu_bot3,173B - Chamber of Secrets,GNU C++11,Accepted,342 ms,29300 KB,2018-10-14 06:06:00
29772613,Aug/25/2017 10:49,carott,173B - Chamber of Secrets,GNU C++11,Accepted,62 ms,10300 KB,2017-08-25 10:49:00
40732021,Jul/25/2018 11:03,lnj,173B - Chamber of Secrets,GNU C++,Accepted,374 ms,13800 KB,2018-07-25 11:03:00
41971164,Aug/22/2018 18:10,PeterSong,173B - Chamber of Secrets,GNU C++14,Accepted,310 ms,29100 KB,2018-08-22 18:10:00
57351184,Jul/20/2019 06:39,fonmagnus,173B - Chamber of Secrets,GNU C++17,Accepted,466 ms,9700 KB,2019-07-20 06:39:00
40724228,Jul/25/2018 06:38,InvisibleCyclist,173B - Chamber of Secrets,GNU C++11,Accepted,904 ms,29000 KB,2018-07-25 06:38:00
32858703,Dec/02/2017 16:08,hjx_bravery,173B - Chamber of Secrets,GNU C++14,Accepted,436 ms,30800 KB,2017-12-02 16:08:00
40721783,Jul/25/2018 04:48,vjudge1,173B - Chamber of Secrets,GNU C++17,Accepted,92 ms,10400 KB,2018-07-25 04:48:00
71135642,Feb/15/2020 16:26,sweetcookie,173B - Chamber of Secrets,GNU C++17,Accepted,436 ms,10700 KB,2020-02-15 16:26:00
1809908,Jun/19/2012 11:42,nealzane,173B - Chamber of Secrets,GNU C++,Accepted,50 ms,5400 KB,2012-06-19 11:42:00
72986431,Mar/12/2020 00:52,vjudge3,173B - Chamber of Secrets,GNU C++11,Accepted,780 ms,9600 KB,2020-03-12 00:52:00
72964505,Mar/11/2020 18:06,vjudge2,173B - Chamber of Secrets,GNU C++17,Accepted,404 ms,103500 KB,2020-03-11 18:06:00
2783291,Dec/17/2012 00:00,dpfbop,173B - Chamber of Secrets,GNU C++,Accepted,531 ms,9400 KB,2012-12-17 00:00:00
