476618,Jun/06/2011 17:13,gustav,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-06-06 17:13:00
392377,Apr/15/2011 20:50,CtrlAlt,74B - Train,MS C++,Accepted,30 ms,1300 KB,2011-04-15 20:50:00
390583,Apr/15/2011 19:38,liangjiaxing57,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 19:38:00
4233408,Aug/05/2013 16:59,vjudge5,74B - Train,GNU C++,Accepted,30 ms,0 KB,2013-08-05 16:59:00
394093,Apr/16/2011 15:16,jaamaa,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-16 15:16:00
394959,Apr/17/2011 17:47,AntonDubovik,74B - Train,Python 2,Accepted,140 ms,2800 KB,2011-04-17 17:47:00
1786648,Jun/12/2012 05:19,denismr,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-06-12 05:19:00
19471270,Jul/29/2016 06:11,nlgxh8,74B - Train,GNU C++,Accepted,30 ms,0 KB,2016-07-29 06:11:00
6025585,Mar/16/2014 12:51,vjudge5,74B - Train,GNU C++,Accepted,30 ms,0 KB,2014-03-16 12:51:00
390551,Apr/15/2011 19:37,Archon.JK,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-04-15 19:37:00
24088209,Jan/24/2017 11:58,_ShadowSong,74B - Train,GNU C++,Accepted,30 ms,1900 KB,2017-01-24 11:58:00
391898,Apr/15/2011 20:28,piyush.neo,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 20:28:00
6025369,Mar/16/2014 12:30,vjudge2,74B - Train,GNU C++,Accepted,30 ms,0 KB,2014-03-16 12:30:00
6621994,May/15/2014 19:32,vjudge1,74B - Train,GNU C++,Accepted,62 ms,0 KB,2014-05-15 19:32:00
654682,Sep/01/2011 16:20,sdibt4,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-09-01 16:20:00
390144,Apr/15/2011 19:25,WXYZ,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 19:25:00
390156,Apr/15/2011 19:25,SAMueL,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-04-15 19:25:00
445334,May/11/2011 23:55,DimaPhil,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-05-11 23:55:00
654754,Sep/01/2011 17:17,sdibt1,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-09-01 17:17:00
