1131924,Feb/02/2012 09:40,Hyoga,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-02-02 09:40:00
1095923,Jan/20/2012 10:39,anorange0409,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-20 10:39:00
75493287,Apr/04/2020 17:20,vjudge3,144B - Meeting,GNU C++11,Accepted,62 ms,0 KB,2020-04-04 17:20:00
3723512,May/15/2013 16:44,TJUT-Y-shamy,144B - Meeting,GNU C++,Accepted,46 ms,0 KB,2013-05-15 16:44:00
1078215,Jan/18/2012 19:45,wclee2265,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-18 19:45:00
18173406,May/31/2016 21:36,ddstructr#,144B - Meeting,GNU C++11,Accepted,92 ms,2200 KB,2016-05-31 21:36:00
18173485,May/31/2016 21:43,ddstructr#,144B - Meeting,GNU C++,Accepted,122 ms,2100 KB,2016-05-31 21:43:00
61985108,Oct/06/2019 16:16,Nour-Berkdar,144B - Meeting,GNU C++14,Accepted,62 ms,0 KB,2019-10-06 16:16:00
75455833,Apr/04/2020 08:32,vjudge5,144B - Meeting,GNU C++17,Accepted,92 ms,0 KB,2020-04-04 08:32:00
2051357,Aug/27/2012 09:19,sdibt4,144B - Meeting,GNU C++,Accepted,50 ms,1500 KB,2012-08-27 09:19:00
78300818,Apr/27/2020 17:30,c0d3r_G4ur4v,144B - Meeting,GNU C++17,Accepted,122 ms,2400 KB,2020-04-27 17:30:00
75563188,Apr/05/2020 14:34,vjudge2,144B - Meeting,Clang++17 Diagnostics,Accepted,622 ms,0 KB,2020-04-05 14:34:00
2051372,Aug/27/2012 09:31,sdibt3,144B - Meeting,GNU C++,Accepted,50 ms,1500 KB,2012-08-27 09:31:00
38339626,May/17/2018 09:17,Nodir_Bobiev,144B - Meeting,GNU C++11,Accepted,62 ms,300 KB,2018-05-17 09:17:00
42490946,Sep/05/2018 15:03,vjudge5,144B - Meeting,GNU C++11,Accepted,62 ms,300 KB,2018-09-05 15:03:00
18173348,May/31/2016 21:32,ddstructr#,144B - Meeting,GNU C++11,Accepted,312 ms,2200 KB,2016-05-31 21:32:00
75459136,Apr/04/2020 09:26,vjudge2,144B - Meeting,GNU C++11,Accepted,92 ms,0 KB,2020-04-04 09:26:00
1080316,Jan/18/2012 20:28,klerigado,144B - Meeting,GNU C,Accepted,60 ms,1400 KB,2012-01-18 20:28:00
1078298,Jan/18/2012 19:47,romzes,144B - Meeting,FPC,Accepted,130 ms,1200 KB,2012-01-18 19:47:00
1668054,May/07/2012 19:20,scorpion,144B - Meeting,FPC,Accepted,130 ms,1300 KB,2012-05-07 19:20:00
42123311,Aug/26/2018 16:38,Mk_Python_v1,144B - Meeting,Python 3,Accepted,498 ms,0 KB,2018-08-26 16:38:00
1079808,Jan/18/2012 20:17,sarthak,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-18 20:17:00
1181985,Feb/15/2012 14:41,rankalee,144B - Meeting,GNU C++0x,Accepted,30 ms,1500 KB,2012-02-15 14:41:00
12845259,Sep/04/2015 23:20,NaDaAshraf,144B - Meeting,GNU C++11,Accepted,92 ms,100 KB,2015-09-04 23:20:00
67211121,Dec/19/2019 17:04,beethoven97,144B - Meeting,PyPy 3,Accepted,436 ms,3800 KB,2019-12-19 17:04:00
75457229,Apr/04/2020 08:56,vjudge3,144B - Meeting,GNU C++11,Accepted,62 ms,100 KB,2020-04-04 08:56:00
25200652,Mar/04/2017 07:49,unused#,144B - Meeting,GNU C++14,Accepted,62 ms,2300 KB,2017-03-04 07:49:00
26717455,Apr/28/2017 13:58,vjudge4,144B - Meeting,GNU C++14,Accepted,30 ms,1900 KB,2017-04-28 13:58:00
59820048,Aug/31/2019 19:58,Saaber,144B - Meeting,GNU C++14,Accepted,62 ms,0 KB,2019-08-31 19:58:00
1077952,Jan/18/2012 19:41,nav_krh,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-18 19:41:00
11370371,May/31/2015 21:34,vanyak999,144B - Meeting,FPC,Accepted,122 ms,200 KB,2015-05-31 21:34:00
78253834,Apr/27/2020 07:34,lili_,144B - Meeting,GNU C++11,Accepted,62 ms,1200 KB,2020-04-27 07:34:00
1079621,Jan/18/2012 20:12,* aa2985759,144B - Meeting,MS C++,Accepted,50 ms,1400 KB,2012-01-18 20:12:00
60819820,Sep/19/2019 02:00,TheShahin,144B - Meeting,GNU C++11,Accepted,62 ms,0 KB,2019-09-19 02:00:00
