25036156,Feb/26/2017 11:30,Cretu_Olivian,779B - Weird Rounding,GNU C++,Accepted,15 ms,1900 KB,2017-02-26 11:30:00
25039440,Feb/26/2017 11:46,peetttiiii,779B - Weird Rounding,Python 2,Accepted,46 ms,4500 KB,2017-02-26 11:46:00
25052311,Feb/26/2017 14:46,vinky,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-26 14:46:00
40511667,Jul/18/2018 14:23,vjudge1,779B - Weird Rounding,GNU C++11,Accepted,31 ms,0 KB,2018-07-18 14:23:00
52661923,Apr/13/2019 03:33,saku7#,779B - Weird Rounding,Python 3,Accepted,124 ms,0 KB,2019-04-13 03:33:00
76481673,Apr/13/2020 14:21,vyom_goel,779B - Weird Rounding,PyPy 3,Accepted,171 ms,0 KB,2020-04-13 14:21:00
25040056,Feb/26/2017 11:50,Menci,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-26 11:50:00
26529477,Apr/21/2017 05:57,john.johnson,779B - Weird Rounding,Python 3,Accepted,62 ms,5400 KB,2017-04-21 05:57:00
31499248,Oct/19/2017 09:36,wewakeprasad,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-10-19 09:36:00
49948794,Feb/15/2019 16:12,Pety,779B - Weird Rounding,GNU C++14,Accepted,31 ms,200 KB,2019-02-15 16:12:00
55829026,Jun/20/2019 15:16,paramk,779B - Weird Rounding,PyPy 3,Accepted,140 ms,0 KB,2019-06-20 15:16:00
25144244,Mar/02/2017 12:59,welcome,779B - Weird Rounding,Python 2,Accepted,61 ms,4500 KB,2017-03-02 12:59:00
44951815,Oct/27/2018 15:28,vjudge3,779B - Weird Rounding,Python 3,Accepted,124 ms,0 KB,2018-10-27 15:28:00
25033018,Feb/26/2017 11:16,fluffyowl,779B - Weird Rounding,Python 2,Accepted,62 ms,4500 KB,2017-02-26 11:16:00
25034874,Feb/26/2017 11:24,suraj_ch77,779B - Weird Rounding,Python 2,Accepted,62 ms,4500 KB,2017-02-26 11:24:00
25036390,Feb/26/2017 11:31,fdf,779B - Weird Rounding,GNU C++,Accepted,15 ms,2000 KB,2017-02-26 11:31:00
25040037,Feb/26/2017 11:50,AntonD,779B - Weird Rounding,GNU C++11,Accepted,15 ms,2000 KB,2017-02-26 11:50:00
25058760,Feb/26/2017 18:33,phnxfaiz,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-02-26 18:33:00
48189839,Jan/10/2019 20:12,shadow04#,779B - Weird Rounding,Python 3,Accepted,109 ms,0 KB,2019-01-10 20:12:00
25341613,Mar/08/2017 16:02,cacachandrika#,779B - Weird Rounding,GNU C++11,Accepted,15 ms,2100 KB,2017-03-08 16:02:00
30383363,Sep/16/2017 15:46,swapnilsmn#,779B - Weird Rounding,Python 3,Accepted,62 ms,0 KB,2017-09-16 15:46:00
31102441,Oct/07/2017 09:44,Hahahahahahahhahaha,779B - Weird Rounding,Python 2,Accepted,61 ms,0 KB,2017-10-07 09:44:00
25071215,Feb/27/2017 10:46,maitony,779B - Weird Rounding,Python 2,Accepted,61 ms,4500 KB,2017-02-27 10:46:00
25164797,Mar/03/2017 10:52,dihimono,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-03-03 10:52:00
25808140,Mar/26/2017 02:34,liangliangcheng123,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-03-26 02:34:00
29689187,Aug/22/2017 20:04,Nodir_Bobiev,779B - Weird Rounding,Python 3,Accepted,62 ms,0 KB,2017-08-22 20:04:00
34948099,Feb/05/2018 18:25,IMDN,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2018-02-05 18:25:00
60033698,Sep/04/2019 19:07,shall_not_pass,779B - Weird Rounding,Python 3,Accepted,124 ms,0 KB,2019-09-04 19:07:00
25415942,Mar/11/2017 21:55,yashkothari42,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-03-11 21:55:00
25460981,Mar/13/2017 22:33,Malomalomalomalo,779B - Weird Rounding,GNU C++11,Accepted,30 ms,1800 KB,2017-03-13 22:33:00
25382592,Mar/10/2017 18:04,aviroop123,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-03-10 18:04:00
40350362,Jul/14/2018 19:55,vjudge5,779B - Weird Rounding,GNU C++,Accepted,31 ms,0 KB,2018-07-14 19:55:00
47756848,Dec/30/2018 19:16,vjudge2,779B - Weird Rounding,MS C++,Accepted,31 ms,0 KB,2018-12-30 19:16:00
25036248,Feb/26/2017 11:30,adi28galaxyak,779B - Weird Rounding,Python 2,Accepted,61 ms,4500 KB,2017-02-26 11:30:00
25036633,Feb/26/2017 11:32,zygzagZ,779B - Weird Rounding,GNU C++11,Accepted,15 ms,2000 KB,2017-02-26 11:32:00
25061630,Feb/26/2017 20:58,rnkorneeva,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-26 20:58:00
33897360,Jan/04/2018 09:52,Akr5515,779B - Weird Rounding,GNU C++,Accepted,15 ms,2000 KB,2018-01-04 09:52:00
33999009,Jan/08/2018 10:55,MenOfPassion,779B - Weird Rounding,GNU C++,Accepted,15 ms,1800 KB,2018-01-08 10:55:00
25033829,Feb/26/2017 11:20,Black_Fregat,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-26 11:20:00
25049720,Feb/26/2017 13:54,Vadim_Kondratov,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-02-26 13:54:00
34410267,Jan/21/2018 13:47,xing20tong,779B - Weird Rounding,GNU C++14,Accepted,31 ms,1900 KB,2018-01-21 13:47:00
47756737,Dec/30/2018 19:15,vjudge3,779B - Weird Rounding,MS C++,Accepted,31 ms,0 KB,2018-12-30 19:15:00
47952957,Jan/05/2019 06:23,vjudge1,779B - Weird Rounding,MS C++,Accepted,31 ms,0 KB,2019-01-05 06:23:00
25041857,Feb/26/2017 12:02,chessdroid,779B - Weird Rounding,Python 2,Accepted,61 ms,4500 KB,2017-02-26 12:02:00
25052304,Feb/26/2017 14:46,Nodare,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-02-26 14:46:00
25056714,Feb/26/2017 17:01,libra9z,779B - Weird Rounding,GNU C++11,Accepted,15 ms,2000 KB,2017-02-26 17:01:00
25142738,Mar/02/2017 11:36,jocker26#,779B - Weird Rounding,FPC,Accepted,15 ms,1600 KB,2017-03-02 11:36:00
25171503,Mar/03/2017 16:21,flygrounder,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-03 16:21:00
26686005,Apr/26/2017 19:02,Yeader,779B - Weird Rounding,GNU C++14,Accepted,15 ms,2000 KB,2017-04-26 19:02:00
25037953,Feb/26/2017 11:38,master-yoda,779B - Weird Rounding,GNU C++,Accepted,15 ms,2000 KB,2017-02-26 11:38:00
25557157,Mar/16/2017 21:00,Ma5kedGuy,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-16 21:00:00
