55128554,Jun/05/2019 17:04,luogu_bot2,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-06-05 17:04:00
26591166,Apr/22/2017 23:11,_iconer_,777B - Game of Credit Cards,GNU C++11,Accepted,30 ms,2000 KB,2017-04-22 23:11:00
29267033,Aug/07/2017 17:31,MathAndMusic,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2017-08-07 17:31:00
25352806,Mar/09/2017 06:32,sampson.wong123#,777B - Game of Credit Cards,Python 2,Accepted,62 ms,4500 KB,2017-03-09 06:32:00
31946125,Nov/01/2017 13:36,farukkastamonuda,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,100 KB,2017-11-01 13:36:00
34048097,Jan/09/2018 15:23,codinghunter,777B - Game of Credit Cards,GNU C++,Accepted,15 ms,2000 KB,2018-01-09 15:23:00
34920359,Feb/04/2018 13:44,Pranshu_codes,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2000 KB,2018-02-04 13:44:00
24979538,Feb/24/2017 15:26,fredialee,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2000 KB,2017-02-24 15:26:00
24987086,Feb/24/2017 18:37,rayhan50001,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2017-02-24 18:37:00
25082164,Feb/27/2017 19:02,hardworkingtush#,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2000 KB,2017-02-27 19:02:00
25087180,Feb/27/2017 22:45,ILaP,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2000 KB,2017-02-27 22:45:00
36621060,Mar/25/2018 18:34,dollymathur70,777B - Game of Credit Cards,GNU C++11,Accepted,30 ms,3400 KB,2018-03-25 18:34:00
24972585,Feb/24/2017 14:19,Soda,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2000 KB,2017-02-24 14:19:00
48499132,Jan/17/2019 17:14,vjudge5,777B - Game of Credit Cards,MS C++,Accepted,31 ms,0 KB,2019-01-17 17:14:00
