68427706,Jan/09/2020 07:56,Devil#,967D - Resource Distribution,GNU C++14,Accepted,155 ms,5500 KB,2020-01-09 07:56:00
37721938,Apr/29/2018 17:48,dsyhy,966B - Resource Distribution,GNU C++11,Accepted,155 ms,9300 KB,2018-04-29 17:48:00
38956840,Jun/05/2018 03:50,naveen.learning,966B - Resource Distribution,GNU C++11,Accepted,140 ms,9500 KB,2018-06-05 03:50:00
42995964,Sep/17/2018 15:04,Anson529,966B - Resource Distribution,GNU C++11,Accepted,93 ms,2400 KB,2018-09-17 15:04:00
37724883,Apr/29/2018 18:16,pas.andrei,967D - Resource Distribution,GNU C++14,Accepted,452 ms,5600 KB,2018-04-29 18:16:00
37734526,Apr/30/2018 00:44,veryverydarkgray,967D - Resource Distribution,GNU C++14,Accepted,156 ms,5600 KB,2018-04-30 00:44:00
37721161,Apr/29/2018 17:41,longhuenchan,966B - Resource Distribution,GNU C++11,Accepted,342 ms,5800 KB,2018-04-29 17:41:00
37714161,Apr/29/2018 16:49,KeyID,966B - Resource Distribution,GNU C++14,Accepted,156 ms,13400 KB,2018-04-29 16:49:00
37719872,Apr/29/2018 17:31,kvk1920,966B - Resource Distribution,GNU C++14,Accepted,452 ms,9200 KB,2018-04-29 17:31:00
37796527,May/01/2018 14:20,EVintage,966B - Resource Distribution,GNU C++11,Accepted,140 ms,8000 KB,2018-05-01 14:20:00
37796793,May/01/2018 14:30,DraZxlNDdt,966B - Resource Distribution,GNU C++11,Accepted,140 ms,8000 KB,2018-05-01 14:30:00
37786383,May/01/2018 06:05,Surenbayar,967D - Resource Distribution,GNU C++11,Accepted,342 ms,5800 KB,2018-05-01 06:05:00
67267581,Dec/20/2019 09:49,kyuna,967D - Resource Distribution,GNU C++14,Accepted,390 ms,6100 KB,2019-12-20 09:49:00
37719048,Apr/29/2018 17:24,abc473848880,966B - Resource Distribution,GNU C++14,Accepted,156 ms,8000 KB,2018-04-29 17:24:00
37720445,Apr/29/2018 17:35,yzyyylx,967D - Resource Distribution,GNU C++14,Accepted,187 ms,12700 KB,2018-04-29 17:35:00
37720461,Apr/29/2018 17:35,yclrz,967D - Resource Distribution,GNU C++11,Accepted,140 ms,12800 KB,2018-04-29 17:35:00
37717501,Apr/29/2018 17:12,flashmt,966B - Resource Distribution,GNU C++14,Accepted,155 ms,11200 KB,2018-04-29 17:12:00
41433161,Aug/10/2018 16:37,rabbitcxk,967D - Resource Distribution,GNU C++17,Accepted,156 ms,9400 KB,2018-08-10 16:37:00
49505765,Feb/05/2019 20:25,r57shell#,967D - Resource Distribution,MS C++,Accepted,140 ms,4600 KB,2019-02-05 20:25:00
56998942,Jul/14/2019 05:00,vjudge3,966B - Resource Distribution,GNU C++11,Accepted,124 ms,4700 KB,2019-07-14 05:00:00
37715428,Apr/29/2018 16:57,TmEnd,966B - Resource Distribution,GNU C++11,Accepted,155 ms,5800 KB,2018-04-29 16:57:00
37717606,Apr/29/2018 17:13,Tommyr7,966B - Resource Distribution,GNU C++11,Accepted,140 ms,7000 KB,2018-04-29 17:13:00
37925861,May/06/2018 13:20,hongye123456,967D - Resource Distribution,GNU C++14,Accepted,171 ms,5600 KB,2018-05-06 13:20:00
37712056,Apr/29/2018 16:38,cai_lw,966B - Resource Distribution,GNU C++17,Accepted,155 ms,9100 KB,2018-04-29 16:38:00
37720501,Apr/29/2018 17:36,fedimser,966B - Resource Distribution,GNU C++14,Accepted,140 ms,11200 KB,2018-04-29 17:36:00
37726388,Apr/29/2018 18:30,ls4154,967D - Resource Distribution,GNU C++11,Accepted,155 ms,7900 KB,2018-04-29 18:30:00
37734473,Apr/30/2018 00:39,RobeZH,967D - Resource Distribution,GNU C++14,Accepted,155 ms,8700 KB,2018-04-30 00:39:00
37725029,Apr/29/2018 18:17,pb0207,966B - Resource Distribution,GNU C++14,Accepted,156 ms,34600 KB,2018-04-29 18:17:00
69827860,Jan/30/2020 12:38,Scut82,966B - Resource Distribution,GNU C++14,Accepted,170 ms,4700 KB,2020-01-30 12:38:00
37717947,Apr/29/2018 17:15,Feeey,966B - Resource Distribution,GNU C++11,Accepted,156 ms,5800 KB,2018-04-29 17:15:00
37740697,Apr/30/2018 08:52,Aagii1,967D - Resource Distribution,GNU C++14,Accepted,155 ms,5600 KB,2018-04-30 08:52:00
37791193,May/01/2018 10:18,waynetuinfor,967D - Resource Distribution,GNU C++14,Accepted,140 ms,5600 KB,2018-05-01 10:18:00
37714456,Apr/29/2018 16:51,_h_,966B - Resource Distribution,GNU C++17,Accepted,140 ms,5600 KB,2018-04-29 16:51:00
44460160,Oct/17/2018 23:00,yujinwunz#,966B - Resource Distribution,GNU C++17,Accepted,140 ms,2600 KB,2018-10-17 23:00:00
40069164,Jul/07/2018 22:37,paablo_escobar,967D - Resource Distribution,GNU C++17,Accepted,499 ms,4700 KB,2018-07-07 22:37:00
37732082,Apr/29/2018 21:55,Ali_Pi,966B - Resource Distribution,GNU C++14,Accepted,483 ms,15000 KB,2018-04-29 21:55:00
37715057,Apr/29/2018 16:55,1021839,966B - Resource Distribution,GNU C++11,Accepted,187 ms,8100 KB,2018-04-29 16:55:00
37980686,May/07/2018 00:38,samuraiexx#,967D - Resource Distribution,GNU C++17,Accepted,499 ms,14200 KB,2018-05-07 00:38:00
38588787,May/24/2018 17:01,guille#,966B - Resource Distribution,GNU C++,Accepted,343 ms,11600 KB,2018-05-24 17:01:00
39801090,Jun/30/2018 17:56,XuYipei,966B - Resource Distribution,GNU C++,Accepted,109 ms,4700 KB,2018-06-30 17:56:00
57992541,Jul/30/2019 16:48,mmmod_lqs,966B - Resource Distribution,GNU C++11,Accepted,124 ms,2400 KB,2019-07-30 16:48:00
37714015,Apr/29/2018 16:48,593119681,966B - Resource Distribution,GNU C++14,Accepted,156 ms,5600 KB,2018-04-29 16:48:00
39881885,Jul/03/2018 05:18,bert30702,967D - Resource Distribution,GNU C++17,Accepted,436 ms,2400 KB,2018-07-03 05:18:00
37720443,Apr/29/2018 17:35,lxambulance,966B - Resource Distribution,GNU C++14,Accepted,186 ms,8000 KB,2018-04-29 17:35:00
37723460,Apr/29/2018 18:02,ray_bb,967D - Resource Distribution,GNU C++,Accepted,156 ms,7000 KB,2018-04-29 18:02:00
39690254,Jun/27/2018 06:46,Master_Qiu,967D - Resource Distribution,GNU C++,Accepted,140 ms,4500 KB,2018-06-27 06:46:00
41411659,Aug/09/2018 23:52,rodz#,967D - Resource Distribution,GNU C++11,Accepted,155 ms,14400 KB,2018-08-09 23:52:00
37721553,Apr/29/2018 17:44,kdedovich,967D - Resource Distribution,GNU C++14,Accepted,170 ms,11700 KB,2018-04-29 17:44:00
37721284,Apr/29/2018 17:42,tlwpdus,966B - Resource Distribution,GNU C++11,Accepted,218 ms,7000 KB,2018-04-29 17:42:00
59883320,Sep/02/2019 09:27,Nickir,925B - Resource Distribution,GNU C++17,Accepted,171 ms,4700 KB,2019-09-02 09:27:00
37742998,Apr/30/2018 10:54,Enzyme125,967D - Resource Distribution,GNU C++,Accepted,124 ms,5600 KB,2018-04-30 10:54:00
37725971,Apr/29/2018 18:26,EntityIT,967D - Resource Distribution,GNU C++14,Accepted,171 ms,8000 KB,2018-04-29 18:26:00
77174393,Apr/18/2020 14:18,iit_ya_ism,925B - Resource Distribution,GNU C++17,Accepted,170 ms,4700 KB,2020-04-18 14:18:00
37728961,Apr/29/2018 19:19,komendart,925B - Resource Distribution,GNU C++14,Accepted,187 ms,14900 KB,2018-04-29 19:19:00
37839533,May/02/2018 15:19,zhongzero#,967D - Resource Distribution,GNU C++14,Accepted,171 ms,9200 KB,2018-05-02 15:19:00
38023629,May/08/2018 17:42,here,966B - Resource Distribution,GNU C++17,Accepted,171 ms,5600 KB,2018-05-08 17:42:00
41733798,Aug/18/2018 04:02,alonefight#,966B - Resource Distribution,GNU C++11,Accepted,171 ms,3500 KB,2018-08-18 04:02:00
