28625082,Jul/17/2017 06:28,vjudge1,614D - Skills,GNU C++,Accepted,124 ms,4400 KB,2017-07-17 06:28:00
15371070,Jan/14/2016 21:23,meowoo,614D - Skills,GNU C++11,Accepted,78 ms,2700 KB,2016-01-14 21:23:00
15891723,Feb/08/2016 10:02,instantkill,614D - Skills,GNU C++11,Accepted,295 ms,4400 KB,2016-02-08 10:02:00
15984402,Feb/13/2016 12:03,aman9,613B - Skills,GNU C++11,Accepted,78 ms,3100 KB,2016-02-13 12:03:00
17713979,May/05/2016 05:52,suchir,613B - Skills,GNU C++11,Accepted,187 ms,5100 KB,2016-05-05 05:52:00
22185877,Nov/13/2016 04:13,returnzoo,613B - Skills,GNU C++11,Accepted,202 ms,7100 KB,2016-11-13 04:13:00
25543599,Mar/16/2017 12:27,vjudge2,613B - Skills,GNU C++14,Accepted,265 ms,4200 KB,2017-03-16 12:27:00
15361870,Jan/14/2016 20:32,microtony,613B - Skills,GNU C++11,Accepted,93 ms,3100 KB,2016-01-14 20:32:00
15391469,Jan/15/2016 18:35,Erona,613B - Skills,GNU C++11,Accepted,77 ms,2200 KB,2016-01-15 18:35:00
28624434,Jul/17/2017 05:53,vjudge5,614D - Skills,GNU C++,Accepted,93 ms,4400 KB,2017-07-17 05:53:00
48798183,Jan/23/2019 16:25,vjudge4,614D - Skills,GNU C++11,Accepted,171 ms,3100 KB,2019-01-23 16:25:00
15450112,Jan/20/2016 11:08,lancer,613B - Skills,GNU C++11,Accepted,483 ms,3200 KB,2016-01-20 11:08:00
67144006,Dec/18/2019 11:02,Birgaripmatci,613B - Skills,GNU C++14,Accepted,93 ms,6300 KB,2019-12-18 11:02:00
31855614,Oct/29/2017 07:30,Neymars,614D - Skills,GNU C++,Accepted,311 ms,3700 KB,2017-10-29 07:30:00
19179987,Jul/17/2016 00:13,Grzmot,613B - Skills,GNU C++11,Accepted,78 ms,2700 KB,2016-07-17 00:13:00
44282291,Oct/14/2018 08:37,square1001#,613B - Skills,GNU C++17,Accepted,327 ms,2400 KB,2018-10-14 08:37:00
15411836,Jan/17/2016 10:49,ice_cookie,613B - Skills,GNU C++,Accepted,93 ms,2200 KB,2016-01-17 10:49:00
72222423,Mar/02/2020 04:18,vjudge5,613B - Skills,MS C++,Accepted,78 ms,3100 KB,2020-03-02 04:18:00
18094586,May/26/2016 01:29,Shayan#,614D - Skills,GNU C++11,Accepted,327 ms,5300 KB,2016-05-26 01:29:00
77958616,Apr/25/2020 00:24,mjhun,613B - Skills,GNU C++14,Accepted,186 ms,3100 KB,2020-04-25 00:24:00
15450066,Jan/20/2016 11:04,lancer,613B - Skills,GNU C++11,Accepted,312 ms,3200 KB,2016-01-20 11:04:00
15772524,Feb/03/2016 18:49,BUPT_birdstorm,613B - Skills,GNU C++11,Accepted,78 ms,2700 KB,2016-02-03 18:49:00
37139810,Apr/10/2018 12:04,edisonhello,614D - Skills,GNU C++11,Accepted,342 ms,5800 KB,2018-04-10 12:04:00
40779891,Jul/26/2018 16:12,des1997,614D - Skills,GNU C++17,Accepted,109 ms,3100 KB,2018-07-26 16:12:00
15398748,Jan/16/2016 09:40,bsdropd,613B - Skills,GNU C++,Accepted,546 ms,15700 KB,2016-01-16 09:40:00
40778458,Jul/26/2018 15:31,WatchClannad,613B - Skills,GNU C++17,Accepted,93 ms,3100 KB,2018-07-26 15:31:00
40778481,Jul/26/2018 15:31,Ashishgup,613B - Skills,GNU C++17,Accepted,93 ms,3100 KB,2018-07-26 15:31:00
40778489,Jul/26/2018 15:31,Ashishgup,614D - Skills,GNU C++17,Accepted,93 ms,3100 KB,2018-07-26 15:31:00
70336208,Feb/05/2020 10:17,vjudge5,614D - Skills,GNU C++14,Accepted,218 ms,3900 KB,2020-02-05 10:17:00
15400408,Jan/16/2016 11:41,_dne,613B - Skills,GNU C++,Accepted,140 ms,2000 KB,2016-01-16 11:41:00
15400426,Jan/16/2016 11:42,_dne,613B - Skills,GNU C++,Accepted,140 ms,2000 KB,2016-01-16 11:42:00
28624426,Jul/17/2017 05:52,langsike,614D - Skills,GNU C++,Accepted,93 ms,4400 KB,2017-07-17 05:52:00
15366491,Jan/14/2016 20:56,C_SUNSHINE,613B - Skills,GNU C++,Accepted,78 ms,1600 KB,2016-01-14 20:56:00
15838496,Feb/06/2016 10:51,dhh1995#,613B - Skills,GNU C++11,Accepted,62 ms,1300 KB,2016-02-06 10:51:00
36232989,Mar/12/2018 21:55,Mikaeel#,613B - Skills,GNU C++11,Accepted,327 ms,6100 KB,2018-03-12 21:55:00
15926143,Feb/10/2016 11:17,vjudge1,614D - Skills,GNU C++,Accepted,93 ms,2900 KB,2016-02-10 11:17:00
70341489,Feb/05/2020 11:32,vjudge2,614D - Skills,GNU C++14,Accepted,249 ms,39100 KB,2020-02-05 11:32:00
48329296,Jan/13/2019 16:32,vjudge1,614D - Skills,MS C++,Accepted,124 ms,2000 KB,2019-01-13 16:32:00
15405580,Jan/16/2016 18:24,FightGrovyle,614D - Skills,GNU C++,Accepted,171 ms,3100 KB,2016-01-16 18:24:00
28625308,Jul/17/2017 06:42,vjudge2,614D - Skills,GNU C++,Accepted,124 ms,4400 KB,2017-07-17 06:42:00
15400530,Jan/16/2016 11:49,Batman,614D - Skills,GNU C++11,Accepted,327 ms,6300 KB,2016-01-16 11:49:00
48372597,Jan/14/2019 08:34,1704011005,614D - Skills,GNU C++14,Accepted,187 ms,3100 KB,2019-01-14 08:34:00
15410360,Jan/17/2016 06:22,jimola,613B - Skills,GNU C++11,Accepted,343 ms,3900 KB,2016-01-17 06:22:00
16069003,Feb/17/2016 13:29,Skeas#,613B - Skills,GNU C++11,Accepted,140 ms,2200 KB,2016-02-17 13:29:00
28625327,Jul/17/2017 06:44,vjudge5,614D - Skills,GNU C++,Accepted,124 ms,4400 KB,2017-07-17 06:44:00
28741650,Jul/21/2017 09:31,vjudge1,614D - Skills,GNU C++14,Accepted,389 ms,4200 KB,2017-07-21 09:31:00
51325968,Mar/15/2019 12:43,Sherek,613B - Skills,GNU C++11,Accepted,156 ms,3900 KB,2019-03-15 12:43:00
15457392,Jan/20/2016 20:50,Kuzey,613B - Skills,GNU C++11,Accepted,280 ms,5200 KB,2016-01-20 20:50:00
17986681,May/19/2016 09:13,vjtest,613B - Skills,GNU C++,Accepted,108 ms,5100 KB,2016-05-19 09:13:00
61844471,Oct/04/2019 13:53,vjudge5,613B - Skills,GNU C++11,Accepted,155 ms,2400 KB,2019-10-04 13:53:00
15369092,Jan/14/2016 21:11,GentleSmile,613B - Skills,GNU C++,Accepted,187 ms,2700 KB,2016-01-14 21:11:00
28741935,Jul/21/2017 09:43,vjudge3,614D - Skills,GNU C++14,Accepted,217 ms,4200 KB,2017-07-21 09:43:00
49127087,Jan/29/2019 03:35,vjudge5,614D - Skills,GNU C++11,Accepted,78 ms,2000 KB,2019-01-29 03:35:00
