54164203,May/15/2019 10:57,XTY2223#,767B - The Queue,GNU C++11,Accepted,46 ms,600 KB,2019-05-15 10:57:00
24779179,Feb/18/2017 16:12,Bless.924,767B - The Queue,GNU C++11,Accepted,280 ms,2100 KB,2017-02-18 16:12:00
65574013,Nov/23/2019 11:47,crossing0ver,767B - The Queue,GNU C++17,Accepted,218 ms,0 KB,2019-11-23 11:47:00
24806827,Feb/19/2017 19:55,xinan,767B - The Queue,GNU C++11,Accepted,108 ms,2000 KB,2017-02-19 19:55:00
24820105,Feb/20/2017 13:53,okuzn,767B - The Queue,GNU C++14,Accepted,249 ms,2700 KB,2017-02-20 13:53:00
24901287,Feb/22/2017 22:45,Bruteforceman,767B - The Queue,GNU C++11,Accepted,78 ms,2100 KB,2017-02-22 22:45:00
25116393,Mar/01/2017 09:48,1470519347,767B - The Queue,GNU C++14,Accepted,46 ms,3000 KB,2017-03-01 09:48:00
37506749,Apr/21/2018 10:36,Nihilism,767B - The Queue,GNU C++,Accepted,46 ms,4500 KB,2018-04-21 10:36:00
32308740,Nov/14/2017 13:41,BBuf,767B - The Queue,GNU C++14,Accepted,46 ms,0 KB,2017-11-14 13:41:00
36431915,Mar/20/2018 15:06,55wuwu,767B - The Queue,GNU C++,Accepted,280 ms,3400 KB,2018-03-20 15:06:00
24778485,Feb/18/2017 15:49,1UMR1,767B - The Queue,GNU C++11,Accepted,389 ms,2100 KB,2017-02-18 15:49:00
54828589,May/30/2019 10:48,Void_Malzahar,767B - The Queue,GNU C++11,Accepted,46 ms,600 KB,2019-05-30 10:48:00
25278305,Mar/06/2017 06:55,iamfirst,767B - The Queue,GNU C++11,Accepted,280 ms,2100 KB,2017-03-06 06:55:00
24885779,Feb/22/2017 09:05,ltf0501,767B - The Queue,GNU C++11,Accepted,46 ms,2100 KB,2017-02-22 09:05:00
24774886,Feb/18/2017 14:33,zygzagZ,767B - The Queue,GNU C++11,Accepted,358 ms,2100 KB,2017-02-18 14:33:00
24781642,Feb/18/2017 17:40,hiddenhopes,767B - The Queue,GNU C++,Accepted,280 ms,2800 KB,2017-02-18 17:40:00
27743536,Jun/12/2017 21:51,Copernicium,767B - The Queue,GNU C++14,Accepted,265 ms,6800 KB,2017-06-12 21:51:00
24795082,Feb/19/2017 08:42,18864803131mqy,767B - The Queue,GNU C++14,Accepted,265 ms,2700 KB,2017-02-19 08:42:00
24814177,Feb/20/2017 05:53,_ShadowSong,767B - The Queue,GNU C++,Accepted,61 ms,1900 KB,2017-02-20 05:53:00
25768133,Mar/24/2017 12:40,Bioloid,767B - The Queue,GNU C++14,Accepted,249 ms,2700 KB,2017-03-24 12:40:00
26187084,Apr/07/2017 11:18,lvdehuaiying,767B - The Queue,GNU C++,Accepted,327 ms,2000 KB,2017-04-07 11:18:00
26492852,Apr/19/2017 13:12,mat50013,767B - The Queue,GNU C++14,Accepted,234 ms,1900 KB,2017-04-19 13:12:00
68981826,Jan/17/2020 14:02,vjudge4,767B - The Queue,GNU C++11,Accepted,264 ms,0 KB,2020-01-17 14:02:00
25432091,Mar/12/2017 13:55,da.2396,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-03-12 13:55:00
25663352,Mar/20/2017 13:35,vjudge2,767B - The Queue,GNU C++11,Accepted,46 ms,2800 KB,2017-03-20 13:35:00
24789666,Feb/18/2017 23:38,bula,767B - The Queue,GNU C++11,Accepted,296 ms,2000 KB,2017-02-18 23:38:00
25648180,Mar/19/2017 17:14,vjudge5,767B - The Queue,GNU C++,Accepted,280 ms,2000 KB,2017-03-19 17:14:00
25665372,Mar/20/2017 15:28,Lili_ka,767B - The Queue,GNU C++11,Accepted,280 ms,2000 KB,2017-03-20 15:28:00
26070038,Apr/02/2017 08:49,Waj,767B - The Queue,GNU C++14,Accepted,46 ms,2700 KB,2017-04-02 08:49:00
26070187,Apr/02/2017 08:55,Waj,767B - The Queue,GNU C++11,Accepted,46 ms,2800 KB,2017-04-02 08:55:00
40159372,Jul/10/2018 09:10,LGXXGL,767B - The Queue,GNU C++,Accepted,31 ms,300 KB,2018-07-10 09:10:00
24801417,Feb/19/2017 15:08,2016211267,767B - The Queue,GNU C++14,Accepted,312 ms,1900 KB,2017-02-19 15:08:00
24792119,Feb/19/2017 03:45,ditoly,767B - The Queue,GNU C++11,Accepted,31 ms,2600 KB,2017-02-19 03:45:00
36239708,Mar/13/2018 08:48,tyzc,767B - The Queue,GNU C++,Accepted,280 ms,2800 KB,2018-03-13 08:48:00
36239698,Mar/13/2018 08:47,tyzc,767B - The Queue,GNU C++,Accepted,280 ms,2800 KB,2018-03-13 08:47:00
36412247,Mar/19/2018 16:50,yangshuang,767B - The Queue,GNU C++14,Accepted,249 ms,3300 KB,2018-03-19 16:50:00
24890631,Feb/22/2017 13:59,yjh,767B - The Queue,Python 2,Accepted,390 ms,12600 KB,2017-02-22 13:59:00
25278223,Mar/06/2017 06:46,iamfirst,767B - The Queue,GNU C++11,Accepted,280 ms,2000 KB,2017-03-06 06:46:00
25873253,Mar/28/2017 15:29,tiberiu55,767B - The Queue,GNU C++11,Accepted,295 ms,2200 KB,2017-03-28 15:29:00
75215180,Apr/02/2020 11:06,irishabhkhatri,767B - The Queue,GNU C++14,Accepted,234 ms,15700 KB,2020-04-02 11:06:00
30256742,Sep/11/2017 02:05,Hildegrin,767B - The Queue,Python 2,Accepted,280 ms,8100 KB,2017-09-11 02:05:00
24782219,Feb/18/2017 18:03,KillerBeer,767B - The Queue,GNU C++,Accepted,280 ms,2800 KB,2017-02-18 18:03:00
35182488,Feb/12/2018 18:35,vjudge1,767B - The Queue,GNU C++,Accepted,31 ms,2600 KB,2018-02-12 18:35:00
40824136,Jul/27/2018 05:02,maratonando2,767B - The Queue,GNU C++11,Accepted,46 ms,0 KB,2018-07-27 05:02:00
24778287,Feb/18/2017 15:44,sdfzyhx,767B - The Queue,GNU C++,Accepted,46 ms,2600 KB,2017-02-18 15:44:00
24793142,Feb/19/2017 05:38,Stalin.,767B - The Queue,GNU C++,Accepted,46 ms,2600 KB,2017-02-19 05:38:00
24793990,Feb/19/2017 07:03,ykNO.1,767B - The Queue,GNU C++14,Accepted,46 ms,1900 KB,2017-02-19 07:03:00
24804580,Feb/19/2017 17:48,saisumit,767B - The Queue,GNU C++,Accepted,46 ms,2600 KB,2017-02-19 17:48:00
40823705,Jul/27/2018 04:46,returnfico,767B - The Queue,GNU C++14,Accepted,61 ms,0 KB,2018-07-27 04:46:00
42706359,Sep/09/2018 16:27,petiteteaparty,767B - The Queue,PyPy 3,Accepted,311 ms,17800 KB,2018-09-09 16:27:00
