37027841,Apr/06/2018 20:30,mihai.zsisku,961A - Tetris,Python 3,Accepted,109 ms,7300 KB,2018-04-06 20:30:00
37129850,Apr/09/2018 21:56,__no_name__,961A - Tetris,Python 3,Accepted,78 ms,6900 KB,2018-04-09 21:56:00
37130195,Apr/09/2018 22:15,michael98liu,961A - Tetris,Python 3,Accepted,78 ms,6900 KB,2018-04-09 22:15:00
37235336,Apr/12/2018 00:52,fezjo,961A - Tetris,Python 3,Accepted,109 ms,6900 KB,2018-04-12 00:52:00
36952139,Apr/04/2018 17:08,madn,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:08:00
36953215,Apr/04/2018 17:11,lifefeeder,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:11:00
37025718,Apr/06/2018 19:03,and800#,961A - Tetris,Python 3,Accepted,78 ms,6900 KB,2018-04-06 19:03:00
70216275,Feb/04/2020 12:47,vippee,961A - Tetris,PyPy 3,Accepted,187 ms,0 KB,2020-02-04 12:47:00
36952168,Apr/04/2018 17:08,krasav4ik,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:08:00
36953114,Apr/04/2018 17:10,pavankatta,961A - Tetris,PyPy 2,Accepted,93 ms,22400 KB,2018-04-04 17:10:00
37020953,Apr/06/2018 15:39,KAin0,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-06 15:39:00
37684740,Apr/28/2018 15:04,pavlekn#,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-28 15:04:00
36953287,Apr/04/2018 17:11,mexalik2,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:11:00
36953549,Apr/04/2018 17:12,vinuthegr8,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:12:00
37435672,Apr/18/2018 15:25,z_karaulashvili,961A - Tetris,Python 3,Accepted,78 ms,7200 KB,2018-04-18 15:25:00
38440951,May/19/2018 22:11,kalesaur,961A - Tetris,Python 3,Accepted,93 ms,0 KB,2018-05-19 22:11:00
39878165,Jul/02/2018 23:28,hugjz,961A - Tetris,Python 3,Accepted,280 ms,0 KB,2018-07-02 23:28:00
38546549,May/23/2018 00:02,prjasti,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2018-05-23 00:02:00
52291823,Apr/04/2019 05:38,hrmanning,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2019-04-04 05:38:00
36953252,Apr/04/2018 17:11,programer27,961A - Tetris,Python 3,Accepted,109 ms,6900 KB,2018-04-04 17:11:00
36966748,Apr/04/2018 18:11,jatinder,961A - Tetris,Python 2,Accepted,124 ms,5900 KB,2018-04-04 18:11:00
36975688,Apr/04/2018 19:17,airad,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 19:17:00
36952482,Apr/04/2018 17:09,_Alex_,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:09:00
36955073,Apr/04/2018 17:16,Ram17,961A - Tetris,Python 3,Accepted,108 ms,6900 KB,2018-04-04 17:16:00
45417605,Nov/07/2018 18:12,Driver_57,961A - Tetris,Python 3,Accepted,124 ms,0 KB,2018-11-07 18:12:00
45453909,Nov/08/2018 20:45,hrustim25#,961A - Tetris,PyPy 3,Accepted,187 ms,0 KB,2018-11-08 20:45:00
36952395,Apr/04/2018 17:08,banad07,961A - Tetris,PyPy 3,Accepted,109 ms,20900 KB,2018-04-04 17:08:00
36981226,Apr/04/2018 23:06,drisskhalil15,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 23:06:00
36985785,Apr/05/2018 05:36,EatYourBones,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-05 05:36:00
65034874,Nov/15/2019 14:16,chiragsoni812,961A - Tetris,Python 3,Accepted,108 ms,0 KB,2019-11-15 14:16:00
70902933,Feb/12/2020 19:44,abhishen,961A - Tetris,PyPy 3,Accepted,202 ms,0 KB,2020-02-12 19:44:00
37100910,Apr/08/2018 16:55,blitzkreig47,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-08 16:55:00
37239798,Apr/12/2018 08:31,Devil.,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-12 08:31:00
37394518,Apr/17/2018 15:08,steckel,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-17 15:08:00
36952107,Apr/04/2018 17:08,algmyr,961A - Tetris,Python 3,Accepted,124 ms,7000 KB,2018-04-04 17:08:00
37013517,Apr/06/2018 08:58,mahfuz.lu,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-06 08:58:00
37105569,Apr/08/2018 20:10,codemania,961A - Tetris,Haskell,Accepted,15 ms,43900 KB,2018-04-08 20:10:00
76050841,Apr/10/2020 06:01,Tholes,961A - Tetris,Python 3,Accepted,109 ms,300 KB,2020-04-10 06:01:00
37089270,Apr/08/2018 09:37,franckmy,961A - Tetris,Python 2,Accepted,109 ms,5900 KB,2018-04-08 09:37:00
37162438,Apr/10/2018 18:29,justpwned,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-10 18:29:00
44984149,Oct/28/2018 13:00,vjudge2,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2018-10-28 13:00:00
71500453,Feb/20/2020 17:39,mitslll,961A - Tetris,Python 3,Accepted,109 ms,300 KB,2020-02-20 17:39:00
36959006,Apr/04/2018 17:31,minhphuoc1998,961A - Tetris,Python 2,Accepted,109 ms,5900 KB,2018-04-04 17:31:00
