18170032,May/31/2016 17:23,ashish3805,675D - Дерево,GNU C++11,Accepted,170 ms,8300 KB,2016-05-31 17:23:00
28819751,Jul/24/2017 11:52,HoangM2020#,675D - Дерево,GNU C++,Accepted,109 ms,8300 KB,2017-07-24 11:52:00
17994122,May/19/2016 19:13,rtheman,675D - Дерево,GNU C++11,Accepted,124 ms,8900 KB,2016-05-19 19:13:00
18270652,Jun/06/2016 15:57,govind53,675D - Дерево,GNU C++11,Accepted,561 ms,6000 KB,2016-06-06 15:57:00
23804034,Jan/14/2017 13:53,risu,675D - Дерево,GNU C++11,Accepted,124 ms,8300 KB,2017-01-14 13:53:00
17956937,May/16/2016 23:51,pedolove420,675D - Дерево,GNU C++11,Accepted,124 ms,5300 KB,2016-05-16 23:51:00
18350866,Jun/10/2016 05:10,i_m_the_1,675D - Дерево,GNU C++,Accepted,124 ms,9300 KB,2016-06-10 05:10:00
48668483,Jan/21/2019 12:20,vjudge1,675D - Дерево,GNU C++17,Accepted,529 ms,3600 KB,2019-01-21 12:20:00
26243029,Apr/09/2017 21:36,abdullah009,675D - Дерево,GNU C++14,Accepted,109 ms,8300 KB,2017-04-09 21:36:00
48163879,Jan/10/2019 00:42,OpAlex,675D - Дерево,GNU C++17,Accepted,592 ms,6700 KB,2019-01-10 00:42:00
17983058,May/18/2016 19:58,Andfive,675D - Дерево,Python 3,Accepted,1294 ms,21000 KB,2016-05-18 19:58:00
17996980,May/19/2016 23:13,zhrmoe,675D - Дерево,GNU C++11,Accepted,124 ms,8500 KB,2016-05-19 23:13:00
35222659,Feb/14/2018 07:49,TEAs,675D - Дерево,GNU C++14,Accepted,482 ms,8300 KB,2018-02-14 07:49:00
17978555,May/18/2016 14:23,abhi04code,675D - Дерево,GNU C++11,Accepted,701 ms,5200 KB,2016-05-18 14:23:00
18833463,Jul/01/2016 05:46,VAVAvile,675D - Дерево,GNU C++11,Accepted,93 ms,3100 KB,2016-07-01 05:46:00
18152308,May/30/2016 05:00,Neumann,675D - Дерево,GNU C++11,Accepted,93 ms,6000 KB,2016-05-30 05:00:00
26957765,May/08/2017 16:34,Dalgerok,675D - Дерево,GNU C++14,Accepted,545 ms,6400 KB,2017-05-08 16:34:00
18355932,Jun/10/2016 12:54,Gamerrishad,675D - Дерево,GNU C++11,Accepted,109 ms,8300 KB,2016-06-10 12:54:00
49105394,Jan/28/2019 15:55,coloredrabbit,675D - Дерево,GNU C++17,Accepted,93 ms,4300 KB,2019-01-28 15:55:00
17955453,May/16/2016 22:18,Bekmyrat.A,675D - Дерево,GNU C++11,Accepted,140 ms,10500 KB,2016-05-16 22:18:00
17979716,May/18/2016 15:40,deepak504,675D - Дерево,GNU C++,Accepted,717 ms,9300 KB,2016-05-18 15:40:00
17994743,May/19/2016 19:52,OpenTheDoor,675D - Дерево,GNU C++11,Accepted,124 ms,8300 KB,2016-05-19 19:52:00
17973796,May/18/2016 04:07,jkxing,675D - Дерево,GNU C++11,Accepted,732 ms,8900 KB,2016-05-18 04:07:00
18006773,May/20/2016 18:08,bruteforcecoder#,675D - Дерево,GNU C++11,Accepted,592 ms,8500 KB,2016-05-20 18:08:00
18265486,Jun/06/2016 08:21,raunakkmr,675D - Дерево,GNU C++11,Accepted,358 ms,8800 KB,2016-06-06 08:21:00
18544864,Jun/17/2016 17:31,Pranky,675D - Дерево,GNU C++11,Accepted,187 ms,6300 KB,2016-06-17 17:31:00
17991623,May/19/2016 16:20,sasuke_uchiha,675D - Дерево,GNU C++11,Accepted,904 ms,9300 KB,2016-05-19 16:20:00
68432731,Jan/09/2020 10:37,AbradolfLincler,675D - Дерево,GNU C++14,Accepted,140 ms,6500 KB,2020-01-09 10:37:00
17970488,May/17/2016 19:54,KhalidRamadan,675D - Дерево,GNU C++11,Accepted,389 ms,9300 KB,2016-05-17 19:54:00
26161444,Apr/06/2017 06:01,onehrxn,675D - Дерево,GNU C++,Accepted,140 ms,8400 KB,2017-04-06 06:01:00
18015636,May/21/2016 11:39,sreya_iiith,675D - Дерево,GNU C++11,Accepted,623 ms,8700 KB,2016-05-21 11:39:00
37499872,Apr/21/2018 02:59,Rezwan.Arefin01,675D - Дерево,GNU C++11,Accepted,171 ms,10400 KB,2018-04-21 02:59:00
17949872,May/16/2016 20:55,knsn,675D - Дерево,GNU C++,Accepted,686 ms,8500 KB,2016-05-16 20:55:00
18002059,May/20/2016 11:58,vjudge2,675D - Дерево,GNU C++,Accepted,686 ms,8500 KB,2016-05-20 11:58:00
18652362,Jun/22/2016 22:59,perec1970,675D - Дерево,GNU C++11,Accepted,670 ms,6300 KB,2016-06-22 22:59:00
17944510,May/16/2016 20:16,H0ngJun77,675D - Дерево,GNU C++11,Accepted,124 ms,8700 KB,2016-05-16 20:16:00
17947033,May/16/2016 20:33,Caproner,675D - Дерево,GNU C++,Accepted,124 ms,11400 KB,2016-05-16 20:33:00
39515126,Jun/22/2018 14:38,Harry_bh,675D - Дерево,GNU C++,Accepted,140 ms,9500 KB,2018-06-22 14:38:00
17951798,May/16/2016 21:12,PolyProgrammist,675D - Дерево,MS C++,Accepted,483 ms,5300 KB,2016-05-16 21:12:00
17972727,May/17/2016 23:34,checkMate09,675D - Дерево,GNU C++11,Accepted,405 ms,8900 KB,2016-05-17 23:34:00
18119078,May/27/2016 16:38,reginaPhalange,675D - Дерево,GNU C++,Accepted,624 ms,8500 KB,2016-05-27 16:38:00
19882849,Aug/15/2016 11:00,ODT,675D - Дерево,GNU C++,Accepted,577 ms,8300 KB,2016-08-15 11:00:00
21618805,Oct/20/2016 16:27,Flowersea,675D - Дерево,GNU C++14,Accepted,639 ms,6500 KB,2016-10-20 16:27:00
46373866,Nov/29/2018 20:24,marian013,675D - Дерево,GNU C++17,Accepted,592 ms,6500 KB,2018-11-29 20:24:00
17968660,May/17/2016 17:36,anyann#,675D - Дерево,GNU C++11,Accepted,139 ms,8300 KB,2016-05-17 17:36:00
17972401,May/17/2016 22:50,little_mod,675D - Дерево,GNU C++11,Accepted,561 ms,8300 KB,2016-05-17 22:50:00
27661554,Jun/08/2017 05:21,vjudge3,675D - Дерево,GNU C++,Accepted,124 ms,6300 KB,2017-06-08 05:21:00
17963694,May/17/2016 12:15,Garan-no-dou,675D - Дерево,GNU C++11,Accepted,499 ms,8800 KB,2016-05-17 12:15:00
18041930,May/23/2016 13:19,luckystars,675D - Дерево,GNU C++11,Accepted,655 ms,5200 KB,2016-05-23 13:19:00
18112529,May/27/2016 07:34,fanzhang,675D - Дерево,GNU C++11,Accepted,140 ms,8500 KB,2016-05-27 07:34:00
18070771,May/25/2016 15:07,LocknKey,675D - Дерево,GNU C++11,Accepted,670 ms,8500 KB,2016-05-25 15:07:00
17965447,May/17/2016 14:14,guille#,675D - Дерево,GNU C++,Accepted,436 ms,5300 KB,2016-05-17 14:14:00
17949359,May/16/2016 20:51,buggy.code,675D - Дерево,GNU C++11,Accepted,592 ms,6200 KB,2016-05-16 20:51:00
49547474,Feb/07/2019 04:13,U_U,675D - Дерево,GNU C++14,Accepted,124 ms,6400 KB,2019-02-07 04:13:00
17957386,May/17/2016 00:37,pekempey,675D - Дерево,GNU C++11,Accepted,187 ms,11600 KB,2016-05-17 00:37:00
36665489,Mar/27/2018 14:13,vjudge1,675D - Дерево,GNU C++,Accepted,109 ms,9700 KB,2018-03-27 14:13:00
17957539,May/17/2016 00:57,justinz2018,675D - Дерево,GNU C++11,Accepted,670 ms,8400 KB,2016-05-17 00:57:00
17964559,May/17/2016 13:14,aeremin,675D - Дерево,GNU C++11,Accepted,685 ms,5300 KB,2016-05-17 13:14:00
19679200,Aug/07/2016 06:01,CoderMr,675D - Дерево,GNU C++11,Accepted,109 ms,8300 KB,2016-08-07 06:01:00
17962433,May/17/2016 10:50,kona#,675D - Дерево,GNU C++,Accepted,140 ms,8400 KB,2016-05-17 10:50:00
19145232,Jul/15/2016 09:50,bnuvjudge3,675D - Дерево,GNU C++,Accepted,171 ms,6300 KB,2016-07-15 09:50:00
17955502,May/16/2016 22:20,pikapikachu,675D - Дерево,GNU C++11,Accepted,93 ms,5300 KB,2016-05-16 22:20:00
17962597,May/17/2016 11:01,Mr_black,675D - Дерево,GNU C++11,Accepted,93 ms,5300 KB,2016-05-17 11:01:00
17987203,May/19/2016 10:09,nishnik#,675D - Дерево,GNU C++11,Accepted,389 ms,8500 KB,2016-05-19 10:09:00
18011792,May/21/2016 02:53,JoseAcv2,675D - Дерево,GNU C++,Accepted,140 ms,8900 KB,2016-05-21 02:53:00
19163736,Jul/16/2016 04:46,bnuvjudge,675D - Дерево,GNU C++,Accepted,639 ms,6300 KB,2016-07-16 04:46:00
17992221,May/19/2016 17:01,mostafa_bayuomi,675D - Дерево,GNU C++11,Accepted,639 ms,8500 KB,2016-05-19 17:01:00
17997673,May/20/2016 00:48,pacu,675D - Дерево,GNU C++11,Accepted,732 ms,8500 KB,2016-05-20 00:48:00
