28792104,Jul/23/2017 08:20,vjudge4,755D - PolandBall and Polygon,MS C++,Accepted,343 ms,1900 KB,2017-07-23 08:20:00
23903124,Jan/17/2017 16:41,Vacantxin_newbie,755D - PolandBall and Polygon,GNU C++14,Accepted,374 ms,1900 KB,2017-01-17 16:41:00
23858834,Jan/15/2017 21:03,Motarack,755D - PolandBall and Polygon,GNU C++14,Accepted,342 ms,1900 KB,2017-01-15 21:03:00
23874095,Jan/16/2017 08:47,longhuenchan,755D - PolandBall and Polygon,GNU C++11,Accepted,670 ms,2000 KB,2017-01-16 08:47:00
23878474,Jan/16/2017 12:34,zzy65513034,755D - PolandBall and Polygon,GNU C++14,Accepted,420 ms,1900 KB,2017-01-16 12:34:00
45191201,Nov/02/2018 05:24,Franklin_wyt,755D - PolandBall and Polygon,GNU C++11,Accepted,311 ms,0 KB,2018-11-02 05:24:00
23866422,Jan/15/2017 22:43,nky_007,755D - PolandBall and Polygon,GNU C++14,Accepted,358 ms,1900 KB,2017-01-15 22:43:00
23870166,Jan/16/2017 02:44,Paul-Andre,755D - PolandBall and Polygon,GNU C++,Accepted,795 ms,2000 KB,2017-01-16 02:44:00
30274457,Sep/12/2017 00:09,EmanuelNrx,755D - PolandBall and Polygon,GNU C++11,Accepted,670 ms,0 KB,2017-09-12 00:09:00
54996159,Jun/03/2019 02:59,AK.,755D - PolandBall and Polygon,GNU C++17,Accepted,296 ms,0 KB,2019-06-03 02:59:00
24150872,Jan/26/2017 17:43,sushant101,755D - PolandBall and Polygon,GNU C++,Accepted,2714 ms,2000 KB,2017-01-26 17:43:00
23930683,Jan/18/2017 23:05,akmrqt,755D - PolandBall and Polygon,GNU C++,Accepted,733 ms,2000 KB,2017-01-18 23:05:00
23868425,Jan/15/2017 23:42,Amoo_Hashem_Mehraban,755D - PolandBall and Polygon,GNU C++14,Accepted,342 ms,1900 KB,2017-01-15 23:42:00
31176931,Oct/09/2017 23:12,Aviously,755D - PolandBall and Polygon,GNU C++14,Accepted,342 ms,0 KB,2017-10-09 23:12:00
32436695,Nov/18/2017 20:14,KMAASZRAA,755D - PolandBall and Polygon,GNU C++,Accepted,343 ms,2000 KB,2017-11-18 20:14:00
23855760,Jan/15/2017 20:42,IMAN_GH,755D - PolandBall and Polygon,GNU C++11,Accepted,374 ms,2000 KB,2017-01-15 20:42:00
23901804,Jan/17/2017 15:33,Hasan,755D - PolandBall and Polygon,GNU C++11,Accepted,686 ms,2000 KB,2017-01-17 15:33:00
49661465,Feb/09/2019 15:36,EMEJ,755D - PolandBall and Polygon,GNU C++17,Accepted,327 ms,200 KB,2019-02-09 15:36:00
23924497,Jan/18/2017 17:30,William2058,755D - PolandBall and Polygon,GNU C++,Accepted,560 ms,1900 KB,2017-01-18 17:30:00
55868577,Jun/21/2019 16:28,Miichael,755D - PolandBall and Polygon,GNU C++17,Accepted,326 ms,0 KB,2019-06-21 16:28:00
23866591,Jan/15/2017 22:45,DigiM,755D - PolandBall and Polygon,GNU C++14,Accepted,373 ms,1800 KB,2017-01-15 22:45:00
32873767,Dec/02/2017 18:46,alirezabgi,755D - PolandBall and Polygon,GNU C++11,Accepted,826 ms,2000 KB,2017-12-02 18:46:00
23873372,Jan/16/2017 07:58,Grunt,755D - PolandBall and Polygon,GNU C++14,Accepted,405 ms,1900 KB,2017-01-16 07:58:00
24013050,Jan/21/2017 17:12,naksh9619_,755D - PolandBall and Polygon,GNU C++14,Accepted,389 ms,2700 KB,2017-01-21 17:12:00
23898487,Jan/17/2017 12:10,Song4,755D - PolandBall and Polygon,GNU C++,Accepted,498 ms,2000 KB,2017-01-17 12:10:00
24010558,Jan/21/2017 15:07,hrt1010,755D - PolandBall and Polygon,GNU C++,Accepted,686 ms,2000 KB,2017-01-21 15:07:00
