43456360,Sep/26/2018 18:12,luogu_bot1,875D - High Cry,GNU C++11,Accepted,202 ms,56800 KB,2018-09-26 18:12:00
72039899,Feb/28/2020 16:49,mlby#,875D - High Cry,GNU C++17,Accepted,140 ms,51700 KB,2020-02-28 16:49:00
31397469,Oct/16/2017 14:36,SkyDec,875D - High Cry,GNU C++,Accepted,93 ms,6200 KB,2017-10-16 14:36:00
31434943,Oct/17/2017 03:10,cghAndy,876F - High Cry,GNU C++14,Accepted,46 ms,7400 KB,2017-10-17 03:10:00
40248646,Jul/13/2018 07:02,vjudge3,875D - High Cry,GNU C++,Accepted,109 ms,3200 KB,2018-07-13 07:02:00
31402181,Oct/16/2017 14:58,neither,875D - High Cry,GNU C++,Accepted,46 ms,5200 KB,2017-10-16 14:58:00
31725778,Oct/26/2017 03:32,T.V_N,875D - High Cry,GNU C++11,Accepted,499 ms,25400 KB,2017-10-26 03:32:00
31490672,Oct/18/2017 21:31,Jostic11,876F - High Cry,GNU C++14,Accepted,420 ms,10000 KB,2017-10-18 21:31:00
77571772,Apr/21/2020 19:56,squarepants,875D - High Cry,GNU C++17,Accepted,171 ms,9000 KB,2020-04-21 19:56:00
31399417,Oct/16/2017 14:44,Skytemple,875D - High Cry,GNU C++,Accepted,264 ms,55300 KB,2017-10-16 14:44:00
33070927,Dec/10/2017 03:56,Mohinem,876F - High Cry,GNU C++14,Accepted,62 ms,9700 KB,2017-12-10 03:56:00
31410098,Oct/16/2017 15:50,ugly2333,875D - High Cry,GNU C++14,Accepted,218 ms,10800 KB,2017-10-16 15:50:00
31417662,Oct/16/2017 19:05,LittleFairyMY,876F - High Cry,GNU C++11,Accepted,234 ms,10700 KB,2017-10-16 19:05:00
31404553,Oct/16/2017 15:12,gisp_zjz,875D - High Cry,GNU C++11,Accepted,62 ms,26500 KB,2017-10-16 15:12:00
31485024,Oct/18/2017 18:16,Jostic11,876F - High Cry,GNU C++14,Accepted,405 ms,10000 KB,2017-10-18 18:16:00
64101581,Nov/02/2019 18:38,code_cola,875D - High Cry,GNU C++11,Accepted,187 ms,8700 KB,2019-11-02 18:38:00
31435113,Oct/17/2017 03:23,AtlantisLove,876F - High Cry,GNU C++11,Accepted,108 ms,11500 KB,2017-10-17 03:23:00
31791751,Oct/27/2017 13:38,DoomzGay#,875D - High Cry,GNU C++14,Accepted,62 ms,3600 KB,2017-10-27 13:38:00
44387722,Oct/16/2018 09:47,sckalrter,875D - High Cry,GNU C++11,Accepted,265 ms,111200 KB,2018-10-16 09:47:00
31434854,Oct/17/2017 03:00,ditoly,875D - High Cry,GNU C++14,Accepted,171 ms,72300 KB,2017-10-17 03:00:00
31910320,Oct/31/2017 07:25,nkang4,876F - High Cry,GNU C++14,Accepted,186 ms,8000 KB,2017-10-31 07:25:00
32004099,Nov/03/2017 13:23,J.Lili,875D - High Cry,GNU C++11,Accepted,234 ms,9400 KB,2017-11-03 13:23:00
31416509,Oct/16/2017 18:31,nguyenkhoi1996,876F - High Cry,GNU C++,Accepted,171 ms,10700 KB,2017-10-16 18:31:00
31418932,Oct/16/2017 19:43,whfym,875D - High Cry,GNU C++,Accepted,265 ms,60600 KB,2017-10-16 19:43:00
31471867,Oct/18/2017 10:22,lukomskiy,875D - High Cry,GNU C++14,Accepted,62 ms,4200 KB,2017-10-18 10:22:00
64633507,Nov/10/2019 13:54,iefnah06,875D - High Cry,GNU C++14,Accepted,280 ms,8900 KB,2019-11-10 13:54:00
31441421,Oct/17/2017 10:11,l_ilya,875D - High Cry,GNU C++,Accepted,249 ms,11500 KB,2017-10-17 10:11:00
31436415,Oct/17/2017 05:06,RiKang#,875D - High Cry,GNU C++11,Accepted,46 ms,3600 KB,2017-10-17 05:06:00
