38576274,May/24/2018 07:07,ArGuTe,190D - Non-Secret Cypher,GNU C++11,Accepted,1060 ms,14600 KB,2018-05-24 07:07:00
1697930,May/17/2012 10:54,t.gogniashvili,190D - Non-Secret Cypher,GNU C++,Accepted,700 ms,20200 KB,2012-05-17 10:54:00
42130648,Aug/26/2018 21:18,Bhishmapitamah,190D - Non-Secret Cypher,GNU C++14,Accepted,902 ms,19000 KB,2018-08-26 21:18:00
10934430,Apr/30/2015 04:30,SherifWaly,190D - Non-Secret Cypher,GNU C++,Accepted,778 ms,16600 KB,2015-04-30 04:30:00
10934433,Apr/30/2015 04:31,SherifWaly,190D - Non-Secret Cypher,GNU C++,Accepted,684 ms,16600 KB,2015-04-30 04:31:00
10934438,Apr/30/2015 04:32,SherifWaly,190D - Non-Secret Cypher,GNU C++,Accepted,716 ms,16600 KB,2015-04-30 04:32:00
31632468,Oct/23/2017 17:32,Seif,190D - Non-Secret Cypher,GNU C++14,Accepted,872 ms,16200 KB,2017-10-23 17:32:00
26800214,May/02/2017 13:38,pkien,190D - Non-Secret Cypher,GNU C++11,Accepted,904 ms,16200 KB,2017-05-02 13:38:00
21438702,Oct/15/2016 08:46,smu201111192,190D - Non-Secret Cypher,GNU C++11,Accepted,1092 ms,16200 KB,2016-10-15 08:46:00
33990233,Jan/07/2018 22:59,Bassel,190D - Non-Secret Cypher,GNU C++14,Accepted,654 ms,27200 KB,2018-01-07 22:59:00
1705046,May/20/2012 07:51,Samsara,190D - Non-Secret Cypher,GNU C++,Accepted,590 ms,15500 KB,2012-05-20 07:51:00
27700965,Jun/10/2017 09:30,Robbens,190D - Non-Secret Cypher,GNU C++14,Accepted,904 ms,15900 KB,2017-06-10 09:30:00
70744240,Feb/10/2020 19:53,alexradu04,190D - Non-Secret Cypher,GNU C++17,Accepted,902 ms,19000 KB,2020-02-10 19:53:00
22170602,Nov/12/2016 02:43,Olivier,190D - Non-Secret Cypher,GNU C++14,Accepted,934 ms,14300 KB,2016-11-12 02:43:00
74723775,Mar/29/2020 14:23,miss_robot,190D - Non-Secret Cypher,GNU C++14,Accepted,780 ms,14300 KB,2020-03-29 14:23:00
53967818,May/10/2019 21:35,vjudge2,190D - Non-Secret Cypher,GNU C++17,Accepted,964 ms,25300 KB,2019-05-10 21:35:00
1694846,May/16/2012 20:11,* ChuckLin2014,190D - Non-Secret Cypher,GNU C++,Accepted,580 ms,15500 KB,2012-05-16 20:11:00
63732926,Oct/29/2019 17:32,vjudge3,190D - Non-Secret Cypher,GNU C++11,Accepted,686 ms,14200 KB,2019-10-29 17:32:00
24541709,Feb/09/2017 08:33,y_shindoh,190D - Non-Secret Cypher,GNU C++11,Accepted,778 ms,16200 KB,2017-02-09 08:33:00
59696502,Aug/30/2019 11:49,coloredrabbit,190D - Non-Secret Cypher,GNU C++17,Accepted,716 ms,14300 KB,2019-08-30 11:49:00
1699745,May/17/2012 20:23,rayafjyblue,190D - Non-Secret Cypher,GNU C++,Accepted,670 ms,15500 KB,2012-05-17 20:23:00
6002667,Mar/12/2014 15:42,synapse,190D - Non-Secret Cypher,GNU C++,Accepted,592 ms,14300 KB,2014-03-12 15:42:00
49694407,Feb/10/2019 16:01,fosaken,190D - Non-Secret Cypher,GNU C++17,Accepted,622 ms,14500 KB,2019-02-10 16:01:00
49695388,Feb/10/2019 16:30,fosaken,190D - Non-Secret Cypher,GNU C++17,Accepted,622 ms,14600 KB,2019-02-10 16:30:00
