5074634,Nov/12/2013 11:09,ayin,359D - Pair of Numbers,GNU C++,Accepted,234 ms,4800 KB,2013-11-12 11:09:00
25295145,Mar/06/2017 17:38,vjudge2,359D - Pair of Numbers,GNU C++,Accepted,124 ms,4200 KB,2017-03-06 17:38:00
4972791,Nov/02/2013 21:28,EMINAYAR,359D - Pair of Numbers,GNU C++,Accepted,187 ms,21900 KB,2013-11-02 21:28:00
19397032,Jul/25/2016 09:57,vjudge3,359D - Pair of Numbers,GNU C++11,Accepted,124 ms,2400 KB,2016-07-25 09:57:00
4969555,Nov/02/2013 15:54,james54,359D - Pair of Numbers,GNU C++,Accepted,312 ms,5600 KB,2013-11-02 15:54:00
32380834,Nov/17/2017 17:13,Kalam,359D - Pair of Numbers,GNU C++11,Accepted,296 ms,2400 KB,2017-11-17 17:13:00
13600840,Oct/14/2015 04:59,vietthangcvp,359D - Pair of Numbers,GNU C++,Accepted,124 ms,4800 KB,2015-10-14 04:59:00
7819002,Sep/17/2014 18:38,liyang21,359D - Pair of Numbers,GNU C++,Accepted,109 ms,4700 KB,2014-09-17 18:38:00
19396928,Jul/25/2016 09:53,AKachieveman,359D - Pair of Numbers,GNU C++11,Accepted,124 ms,2400 KB,2016-07-25 09:53:00
32795322,Nov/30/2017 07:48,rapel,359D - Pair of Numbers,GNU C++14,Accepted,498 ms,6100 KB,2017-11-30 07:48:00
5501667,Dec/24/2013 14:59,dreams,359D - Pair of Numbers,MS C++,Accepted,124 ms,2200 KB,2013-12-24 14:59:00
54719171,May/27/2019 18:20,China_1,359D - Pair of Numbers,GNU C++11,Accepted,124 ms,2400 KB,2019-05-27 18:20:00
4969958,Nov/02/2013 16:35,burakbugrul,359D - Pair of Numbers,GNU C++,Accepted,124 ms,3800 KB,2013-11-02 16:35:00
5033402,Nov/09/2013 07:32,SYSU_WX,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2400 KB,2013-11-09 07:32:00
4969595,Nov/02/2013 15:58,laekov_,359D - Pair of Numbers,GNU C++,Accepted,124 ms,3500 KB,2013-11-02 15:58:00
12691751,Aug/25/2015 08:27,NotHere,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2400 KB,2015-08-25 08:27:00
4976626,Nov/03/2013 11:14,yaoyan,359D - Pair of Numbers,GNU C++,Accepted,234 ms,11800 KB,2013-11-03 11:14:00
5021037,Nov/07/2013 12:13,zmf,359D - Pair of Numbers,GNU C++,Accepted,109 ms,4700 KB,2013-11-07 12:13:00
