27042103,May/11/2017 23:55,sp_502,799D - Field expansion,GNU C++14,Accepted,31 ms,900 KB,2017-05-11 23:55:00
39881175,Jul/03/2018 04:25,beza,799D - Field expansion,GNU C++11,Accepted,124 ms,1000 KB,2018-07-03 04:25:00
71565857,Feb/21/2020 20:16,WildWesam,799D - Field expansion,GNU C++14,Accepted,46 ms,16100 KB,2020-02-21 20:16:00
27046928,May/12/2017 07:58,bharathg,799D - Field expansion,GNU C++14,Accepted,31 ms,1700 KB,2017-05-12 07:58:00
27183258,May/17/2017 19:06,Nijigasaki_MaedaKaori,799D - Field expansion,GNU C++,Accepted,46 ms,14300 KB,2017-05-17 19:06:00
27163523,May/16/2017 18:10,zoomswk,799D - Field expansion,GNU C++14,Accepted,31 ms,600 KB,2017-05-16 18:10:00
27530978,Jun/02/2017 22:54,dusht0814,799D - Field expansion,GNU C++11,Accepted,46 ms,39900 KB,2017-06-02 22:54:00
27053240,May/12/2017 14:52,lujiaju,799D - Field expansion,GNU C++,Accepted,62 ms,2000 KB,2017-05-12 14:52:00
27333358,May/25/2017 12:52,yudhik,799D - Field expansion,GNU C++14,Accepted,46 ms,29000 KB,2017-05-25 12:52:00
27060148,May/12/2017 21:08,a62625536,799D - Field expansion,GNU C++14,Accepted,31 ms,400 KB,2017-05-12 21:08:00
27070934,May/13/2017 10:53,WileE.Coyote,799D - Field expansion,GNU C++11,Accepted,31 ms,1000 KB,2017-05-13 10:53:00
27041081,May/11/2017 22:57,Glebodin,799D - Field expansion,GNU C++14,Accepted,217 ms,191000 KB,2017-05-11 22:57:00
