484729,Jun/10/2011 12:29,gustav,22D - Segments,GNU C++,Accepted,30 ms,1300 KB,2011-06-10 12:29:00
12579825,Aug/17/2015 22:04,vjudge5,22D - Segments,GNU C++,Accepted,31 ms,0 KB,2015-08-17 22:04:00
93950,Jun/29/2010 19:21,a20012251,22D - Segments,GNU C++,Accepted,30 ms,1300 KB,2010-06-29 19:21:00
18131446,May/28/2016 15:19,Mhammad1,22D - Segments,GNU C++11,Accepted,15 ms,2200 KB,2016-05-28 15:19:00
23545292,Jan/05/2017 02:19,Shayan,22D - Segments,GNU C++11,Accepted,15 ms,2100 KB,2017-01-05 02:19:00
33839924,Jan/01/2018 02:22,GiannisAntetokounmpo#,22D - Segments,GNU C++14,Accepted,15 ms,2600 KB,2018-01-01 02:22:00
56777450,Jul/10/2019 06:39,ElDestructor,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-07-10 06:39:00
95005,Jun/29/2010 20:35,* ballon,22D - Segments,MS C++,Accepted,30 ms,1400 KB,2010-06-29 20:35:00
30969415,Oct/03/2017 17:02,DianaMicloiu,22D - Segments,GNU C++,Accepted,15 ms,300 KB,2017-10-03 17:02:00
12706550,Aug/26/2015 13:52,maxkvant#,22D - Segments,GNU C++11,Accepted,30 ms,0 KB,2015-08-26 13:52:00
819297,Oct/30/2011 15:22,vjudge5,22D - Segments,GNU C++,Accepted,50 ms,1400 KB,2011-10-30 15:22:00
826156,Nov/03/2011 13:42,vjudge2,22D - Segments,GNU C++,Accepted,30 ms,1400 KB,2011-11-03 13:42:00
74376608,Mar/26/2020 13:46,luogu_bot2,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2020-03-26 13:46:00
96119,Jul/03/2010 04:58,choice,22D - Segments,GNU C++,Accepted,30 ms,1600 KB,2010-07-03 04:58:00
96343,Jul/08/2010 19:17,pes,22D - Segments,MS C++,Accepted,30 ms,1300 KB,2010-07-08 19:17:00
25572289,Mar/17/2017 15:37,arnabsamanta,22D - Segments,GNU C++14,Accepted,15 ms,2100 KB,2017-03-17 15:37:00
94131,Jun/29/2010 19:34,I_L_P,22D - Segments,GNU C++,Accepted,50 ms,1400 KB,2010-06-29 19:34:00
3600937,Apr/22/2013 17:22,"TTT: Aiyuyan, yanxin187, YRDJ#",22D - Segments,MS C++,Accepted,15 ms,0 KB,2013-04-22 17:22:00
93834,Jun/29/2010 19:13,* chEEtah,22D - Segments,MS C++,Accepted,30 ms,1300 KB,2010-06-29 19:13:00
33890928,Jan/03/2018 21:19,aayush13,22D - Segments,GNU C++,Accepted,15 ms,2000 KB,2018-01-03 21:19:00
66562475,Dec/09/2019 22:38,nimom,22D - Segments,GNU C++14,Accepted,31 ms,200 KB,2019-12-09 22:38:00
50622999,Mar/01/2019 06:36,wngdh,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-03-01 06:36:00
276885,Feb/07/2011 19:34,Zhuravlyov.A,22D - Segments,GNU C++,Accepted,30 ms,1300 KB,2011-02-07 19:34:00
1947097,Jul/28/2012 15:14,sspa#,22D - Segments,GNU C++,Accepted,30 ms,2600 KB,2012-07-28 15:14:00
20966182,Sep/28/2016 14:48,nobystander#,22D - Segments,GNU C++11,Accepted,15 ms,0 KB,2016-09-28 14:48:00
61268207,Sep/25/2019 16:20,lzq41,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-09-25 16:20:00
11924741,Jul/04/2015 19:14,Favorite#,22D - Segments,GNU C++,Accepted,31 ms,0 KB,2015-07-04 19:14:00
26514730,Apr/20/2017 14:48,Nathan1,22D - Segments,GNU C++11,Accepted,15 ms,2100 KB,2017-04-20 14:48:00
588626,Aug/07/2011 03:05,juarez.paulino,22D - Segments,GNU C++,Accepted,30 ms,1400 KB,2011-08-07 03:05:00
25412348,Mar/11/2017 19:41,hpfdf#,22D - Segments,GNU C++11,Accepted,15 ms,2000 KB,2017-03-11 19:41:00
48161123,Jan/09/2019 22:39,abhirock753,22D - Segments,GNU C++11,Accepted,31 ms,1200 KB,2019-01-09 22:39:00
1633173,Apr/28/2012 10:22,TankEngineer,22D - Segments,GNU C++,Accepted,30 ms,1400 KB,2012-04-28 10:22:00
