16279445,Feb/22/2016 18:28,vjudge3,601B - Lipshitz Sequence,GNU C++,Accepted,62 ms,1000 KB,2016-02-22 18:28:00
18071433,May/25/2016 15:48,vjtest,601B - Lipshitz Sequence,GNU C++,Accepted,62 ms,3600 KB,2016-05-25 15:48:00
30361503,Sep/15/2017 14:22,vjudge5,602D - Lipshitz Sequence,GNU C++,Accepted,140 ms,3000 KB,2017-09-15 14:22:00
18953462,Jul/07/2016 17:36,namai,602D - Lipshitz Sequence,GNU C++11,Accepted,124 ms,500 KB,2016-07-07 17:36:00
14880436,Dec/19/2015 18:23,CCCat,601B - Lipshitz Sequence,GNU C++11,Accepted,109 ms,2400 KB,2015-12-19 18:23:00
50876317,Mar/06/2019 09:26,tripPple_A,602D - Lipshitz Sequence,GNU C++11,Accepted,124 ms,1300 KB,2019-03-06 09:26:00
72990448,Mar/12/2020 03:41,saza,601B - Lipshitz Sequence,GNU C++11,Accepted,78 ms,1600 KB,2020-03-12 03:41:00
14454551,Nov/24/2015 21:08,KrK,601B - Lipshitz Sequence,GNU C++,Accepted,46 ms,1400 KB,2015-11-24 21:08:00
14463487,Nov/25/2015 09:11,ryo_issy,602D - Lipshitz Sequence,GNU C++,Accepted,234 ms,3400 KB,2015-11-25 09:11:00
15391884,Jan/15/2016 19:03,AmirAz,601B - Lipshitz Sequence,GNU C++,Accepted,78 ms,2000 KB,2016-01-15 19:03:00
15436616,Jan/19/2016 10:40,isdkfj,601B - Lipshitz Sequence,GNU C++11,Accepted,109 ms,2000 KB,2016-01-19 10:40:00
23386113,Dec/28/2016 23:03,Ali.Pi,601B - Lipshitz Sequence,GNU C++14,Accepted,77 ms,3400 KB,2016-12-28 23:03:00
54502520,May/23/2019 02:52,WOSHIGEPACHONG2,602D - Lipshitz Sequence,GNU C++11,Accepted,124 ms,1300 KB,2019-05-23 02:52:00
14511540,Nov/27/2015 16:06,D_L,601B - Lipshitz Sequence,GNU C++,Accepted,93 ms,1600 KB,2015-11-27 16:06:00
14452245,Nov/24/2015 20:44,tiorted,602D - Lipshitz Sequence,GNU C++,Accepted,155 ms,2200 KB,2015-11-24 20:44:00
14451314,Nov/24/2015 20:35,Alex_2oo8,601B - Lipshitz Sequence,GNU C++11,Accepted,62 ms,2400 KB,2015-11-24 20:35:00
72877187,Mar/10/2020 10:59,lxrtxdy,602D - Lipshitz Sequence,GNU C++11,Accepted,46 ms,1400 KB,2020-03-10 10:59:00
