29282939,Aug/08/2017 13:21,vjudge3,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,2100 KB,2017-08-08 13:21:00
48108783,Jan/09/2019 10:46,hk_cnyali,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-01-09 10:46:00
29477712,Aug/15/2017 12:24,dotorya#,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-15 12:24:00
29279593,Aug/08/2017 10:09,paulzrm,838D - Airplane Arrangements,GNU C++14,Accepted,31 ms,1900 KB,2017-08-08 10:09:00
29262617,Aug/07/2017 13:48,paul.zrm,838D - Airplane Arrangements,GNU C++11,Accepted,30 ms,2100 KB,2017-08-07 13:48:00
62310060,Oct/10/2019 16:41,_twilight,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-10-10 16:41:00
40378729,Jul/15/2018 15:40,Emma194,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2018-07-15 15:40:00
57637415,Jul/24/2019 14:20,hjsjhn,838D - Airplane Arrangements,GNU C++14,Accepted,31 ms,0 KB,2019-07-24 14:20:00
29308915,Aug/09/2017 18:22,ivan100sic#,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-09 18:22:00
60832807,Sep/19/2019 10:41,Zory,838D - Airplane Arrangements,GNU C++17,Accepted,31 ms,0 KB,2019-09-19 10:41:00
54279220,May/17/2019 15:36,Night,838D - Airplane Arrangements,GNU C++17,Accepted,31 ms,0 KB,2019-05-17 15:36:00
29276045,Aug/08/2017 05:32,gerardd,838D - Airplane Arrangements,GNU C++11,Accepted,15 ms,2100 KB,2017-08-08 05:32:00
29321288,Aug/10/2017 11:21,Yurik,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,2100 KB,2017-08-10 11:21:00
29295491,Aug/09/2017 04:11,dai,838D - Airplane Arrangements,GNU C++14,Accepted,186 ms,9700 KB,2017-08-09 04:11:00
61387325,Sep/27/2019 22:39,akash19jain,838D - Airplane Arrangements,GNU C11,Accepted,31 ms,0 KB,2019-09-27 22:39:00
29256945,Aug/07/2017 10:21,kondranin,838D - Airplane Arrangements,GNU C++14,Accepted,31 ms,1900 KB,2017-08-07 10:21:00
