35407219,Feb/17/2018 14:18,haojiandan,939D - Love Rescue,GNU C++,Accepted,15 ms,2600 KB,2018-02-17 14:18:00
46101880,Nov/23/2018 09:31,singlashubham957,939D - Love Rescue,GNU C++11,Accepted,46 ms,400 KB,2018-11-23 09:31:00
35398621,Feb/17/2018 13:37,* nhho,939D - Love Rescue,GNU C++,Accepted,15 ms,2200 KB,2018-02-17 13:37:00
35402433,Feb/17/2018 13:54,Max.D.,939D - Love Rescue,GNU C++14,Accepted,15 ms,2000 KB,2018-02-17 13:54:00
36430310,Mar/20/2018 13:54,vjudge2,939D - Love Rescue,GNU C++17,Accepted,30 ms,3600 KB,2018-03-20 13:54:00
45355381,Nov/06/2018 11:04,luogu_bot5,939D - Love Rescue,GNU C++11,Accepted,31 ms,200 KB,2018-11-06 11:04:00
35522812,Feb/20/2018 16:43,Rafaaaaaaaaaaaam,939D - Love Rescue,GNU C++14,Accepted,15 ms,2000 KB,2018-02-20 16:43:00
35401830,Feb/17/2018 13:51,Fulisike,939D - Love Rescue,GNU C++,Accepted,46 ms,2400 KB,2018-02-17 13:51:00
35411391,Feb/17/2018 14:42,alan8585,939D - Love Rescue,GNU C++14,Accepted,15 ms,2100 KB,2018-02-17 14:42:00
35401334,Feb/17/2018 13:49,* Ferric_Ion,939D - Love Rescue,GNU C++14,Accepted,30 ms,2000 KB,2018-02-17 13:49:00
35406128,Feb/17/2018 14:12,CHNJZ,939D - Love Rescue,GNU C++11,Accepted,15 ms,2000 KB,2018-02-17 14:12:00
35527753,Feb/20/2018 19:43,da929,939D - Love Rescue,GNU C++14,Accepted,46 ms,2200 KB,2018-02-20 19:43:00
35408073,Feb/17/2018 14:23,bleacher,939D - Love Rescue,GNU C++11,Accepted,15 ms,2900 KB,2018-02-17 14:23:00
46579152,Dec/04/2018 13:26,yang23,939D - Love Rescue,GNU C++11,Accepted,31 ms,200 KB,2018-12-04 13:26:00
66215724,Dec/03/2019 11:49,aaa_bbb_ccc#,939D - Love Rescue,PyPy 2,Accepted,139 ms,800 KB,2019-12-03 11:49:00
35814568,Mar/01/2018 18:06,lxdlam,939D - Love Rescue,GNU C++17,Accepted,30 ms,2000 KB,2018-03-01 18:06:00
35441445,Feb/18/2018 12:21,Momentum,939D - Love Rescue,GNU C++14,Accepted,15 ms,2000 KB,2018-02-18 12:21:00
38825082,Jun/01/2018 13:39,vjudge5,939D - Love Rescue,GNU C++,Accepted,31 ms,3800 KB,2018-06-01 13:39:00
35541455,Feb/21/2018 11:21,Cain,939D - Love Rescue,GNU C++,Accepted,46 ms,2700 KB,2018-02-21 11:21:00
56823551,Jul/11/2019 05:32,wyy2004,939D - Love Rescue,GNU C++11,Accepted,31 ms,400 KB,2019-07-11 05:32:00
54270357,May/17/2019 11:29,hsfzLZH1#,939D - Love Rescue,GNU C++11,Accepted,31 ms,400 KB,2019-05-17 11:29:00
54279090,May/17/2019 15:32,hsfzLZH1,939D - Love Rescue,GNU C++11,Accepted,31 ms,400 KB,2019-05-17 15:32:00
35407874,Feb/17/2018 14:22,zyt1253679098,939D - Love Rescue,GNU C++,Accepted,46 ms,2400 KB,2018-02-17 14:22:00
35453572,Feb/18/2018 20:58,_sinus,939D - Love Rescue,GNU C++,Accepted,46 ms,2200 KB,2018-02-18 20:58:00
44076748,Oct/10/2018 16:19,hatuank97lhp,939D - Love Rescue,GNU C++14,Accepted,31 ms,500 KB,2018-10-10 16:19:00
