58118195,Aug/01/2019 12:38,vjudge5,721D - Maxim and Array,GNU C++17,Accepted,249 ms,9600 KB,2019-08-01 12:38:00
21048474,Sep/30/2016 21:57,pr3pony,721D - Maxim and Array,GNU C++11,Accepted,187 ms,7900 KB,2016-09-30 21:57:00
21265349,Oct/07/2016 22:15,navidda,721D - Maxim and Array,GNU C++11,Accepted,904 ms,11500 KB,2016-10-07 22:15:00
66169001,Dec/02/2019 12:17,jdbermeol,721D - Maxim and Array,PyPy 3,Accepted,1434 ms,41100 KB,2019-12-02 12:17:00
21127922,Oct/03/2016 06:24,Arkcy,721D - Maxim and Array,GNU C++11,Accepted,202 ms,9300 KB,2016-10-03 06:24:00
21368360,Oct/11/2016 22:29,mrTux,721D - Maxim and Array,GNU C++11,Accepted,452 ms,11400 KB,2016-10-11 22:29:00
68879253,Jan/15/2020 21:06,arpitjp,721D - Maxim and Array,GNU C++17,Accepted,530 ms,9600 KB,2020-01-15 21:06:00
57728615,Jul/25/2019 10:56,vjudge4,721D - Maxim and Array,GNU C++17,Accepted,514 ms,9300 KB,2019-07-25 10:56:00
21070524,Oct/01/2016 16:48,Heisenberg302,721D - Maxim and Array,GNU C++11,Accepted,795 ms,9500 KB,2016-10-01 16:48:00
44004311,Oct/08/2018 18:09,nishant0208,721D - Maxim and Array,GNU C++17,Accepted,280 ms,9600 KB,2018-10-08 18:09:00
21185185,Oct/04/2016 14:28,Cherries,721D - Maxim and Array,GNU C++11,Accepted,249 ms,9400 KB,2016-10-04 14:28:00
21041075,Sep/30/2016 18:58,LateSum,721D - Maxim and Array,GNU C++11,Accepted,249 ms,8500 KB,2016-09-30 18:58:00
22118730,Nov/08/2016 21:27,kyonrevens,721D - Maxim and Array,GNU C++14,Accepted,202 ms,7800 KB,2016-11-08 21:27:00
42707295,Sep/09/2018 16:56,GuessYCB,721D - Maxim and Array,GNU C++11,Accepted,249 ms,7700 KB,2018-09-09 16:56:00
22220848,Nov/15/2016 14:11,KousakaHonoka,721D - Maxim and Array,GNU C++,Accepted,218 ms,2900 KB,2016-11-15 14:11:00
40595842,Jul/21/2018 08:27,AlecSandra,721D - Maxim and Array,GNU C++14,Accepted,592 ms,9600 KB,2018-07-21 08:27:00
21046537,Sep/30/2016 20:54,mariand,721D - Maxim and Array,GNU C++11,Accepted,904 ms,7700 KB,2016-09-30 20:54:00
21550798,Oct/17/2016 22:59,kvk1920,721D - Maxim and Array,GNU C++14,Accepted,342 ms,11500 KB,2016-10-17 22:59:00
55222107,Jun/06/2019 23:24,AK.,721D - Maxim and Array,GNU C++17,Accepted,280 ms,9600 KB,2019-06-06 23:24:00
41918270,Aug/21/2018 04:25,vjudge5,721D - Maxim and Array,GNU C++,Accepted,358 ms,9300 KB,2018-08-21 04:25:00
44486322,Oct/18/2018 15:36,Pigbrain#,721D - Maxim and Array,GNU C++11,Accepted,186 ms,7700 KB,2018-10-18 15:36:00
44486324,Oct/18/2018 15:36,Pigbrain#,721D - Maxim and Array,GNU C++11,Accepted,218 ms,7700 KB,2018-10-18 15:36:00
44486479,Oct/18/2018 15:42,Pigbrain,721D - Maxim and Array,GNU C++11,Accepted,186 ms,7700 KB,2018-10-18 15:42:00
21234013,Oct/06/2016 15:23,isergey.am,721D - Maxim and Array,GNU C++14,Accepted,327 ms,11100 KB,2016-10-06 15:23:00
21053446,Oct/01/2016 03:59,beet,721D - Maxim and Array,GNU C++11,Accepted,842 ms,7700 KB,2016-10-01 03:59:00
21180731,Oct/04/2016 10:07,zkGaia,721D - Maxim and Array,GNU C++11,Accepted,233 ms,3100 KB,2016-10-04 10:07:00
24752694,Feb/18/2017 09:54,vjudge3,721D - Maxim and Array,GNU C++14,Accepted,187 ms,11300 KB,2017-02-18 09:54:00
21053462,Oct/01/2016 04:00,Steven_Chen,721D - Maxim and Array,GNU C++,Accepted,234 ms,9300 KB,2016-10-01 04:00:00
21090711,Oct/01/2016 18:54,ds_95,721D - Maxim and Array,GNU C++11,Accepted,702 ms,4600 KB,2016-10-01 18:54:00
21066200,Oct/01/2016 13:42,lilala,721D - Maxim and Array,MS C++,Accepted,171 ms,7400 KB,2016-10-01 13:42:00
21068610,Oct/01/2016 15:25,OgisoSetsuna_,721D - Maxim and Array,GNU C++11,Accepted,810 ms,7700 KB,2016-10-01 15:25:00
21734629,Oct/24/2016 09:51,wangkaile#,721D - Maxim and Array,GNU C++,Accepted,701 ms,7700 KB,2016-10-24 09:51:00
21066584,Oct/01/2016 13:59,bluefi,721D - Maxim and Array,GNU C++11,Accepted,265 ms,7700 KB,2016-10-01 13:59:00
49684061,Feb/10/2019 08:44,vjudge1,721D - Maxim and Array,GNU C++14,Accepted,530 ms,9600 KB,2019-02-10 08:44:00
68022104,Jan/01/2020 03:46,phuleethanh,721D - Maxim and Array,GNU C++17,Accepted,202 ms,7800 KB,2020-01-01 03:46:00
21034127,Sep/30/2016 18:18,codebie,721D - Maxim and Array,GNU C++14,Accepted,280 ms,7700 KB,2016-09-30 18:18:00
56049161,Jun/25/2019 21:07,rianradeck,721D - Maxim and Array,GNU C++17,Accepted,608 ms,11200 KB,2019-06-25 21:07:00
22125430,Nov/09/2016 10:36,kyonrevens,721D - Maxim and Array,GNU C++14,Accepted,202 ms,7700 KB,2016-11-09 10:36:00
22125436,Nov/09/2016 10:36,kyonrevens,721D - Maxim and Array,GNU C++14,Accepted,202 ms,7800 KB,2016-11-09 10:36:00
21028774,Sep/30/2016 17:51,fbarl,721D - Maxim and Array,GNU C++11,Accepted,826 ms,9500 KB,2016-09-30 17:51:00
42796358,Sep/12/2018 14:56,Oxygen.,721D - Maxim and Array,GNU C++14,Accepted,608 ms,8100 KB,2018-09-12 14:56:00
66013834,Nov/30/2019 07:18,NocturneBflat,721D - Maxim and Array,Python 3,Accepted,1138 ms,43800 KB,2019-11-30 07:18:00
27283672,May/22/2017 15:17,buctacm2,721D - Maxim and Array,GNU C++,Accepted,187 ms,3100 KB,2017-05-22 15:17:00
22711615,Dec/05/2016 15:48,ccw630,721D - Maxim and Array,GNU C++11,Accepted,685 ms,7700 KB,2016-12-05 15:48:00
21070420,Oct/01/2016 16:43,escepta,721D - Maxim and Array,GNU C++14,Accepted,233 ms,7700 KB,2016-10-01 16:43:00
24752658,Feb/18/2017 09:53,Waj,721D - Maxim and Array,GNU C++14,Accepted,217 ms,11300 KB,2017-02-18 09:53:00
22521456,Nov/27/2016 09:53,vjudge4,721D - Maxim and Array,GNU C++,Accepted,405 ms,9300 KB,2016-11-27 09:53:00
21036710,Sep/30/2016 18:33,besher,721D - Maxim and Array,GNU C++11,Accepted,264 ms,9400 KB,2016-09-30 18:33:00
57729984,Jul/25/2019 11:19,vjudge5,721D - Maxim and Array,GNU C++17,Accepted,499 ms,7800 KB,2019-07-25 11:19:00
21038997,Sep/30/2016 18:46,rick_c137,721D - Maxim and Array,GNU C++11,Accepted,327 ms,12600 KB,2016-09-30 18:46:00
21054050,Oct/01/2016 04:58,liutun_ouc,721D - Maxim and Array,GNU C++,Accepted,327 ms,11000 KB,2016-10-01 04:58:00
21265303,Oct/07/2016 22:13,navidda,721D - Maxim and Array,GNU C++11,Accepted,1123 ms,11500 KB,2016-10-07 22:13:00
21257428,Oct/07/2016 15:27,Rezwan.Arefin01,721D - Maxim and Array,GNU C++11,Accepted,451 ms,9700 KB,2016-10-07 15:27:00
21119126,Oct/02/2016 18:49,Drako_2K,721D - Maxim and Array,GNU C++,Accepted,374 ms,7700 KB,2016-10-02 18:49:00
21035579,Sep/30/2016 18:26,gonglinyuan,721D - Maxim and Array,GNU C++,Accepted,202 ms,2400 KB,2016-09-30 18:26:00
26966179,May/09/2017 04:38,vjudge3,721D - Maxim and Array,GNU C++,Accepted,186 ms,3100 KB,2017-05-09 04:38:00
21041466,Sep/30/2016 19:00,flower,721D - Maxim and Array,GNU C++,Accepted,234 ms,14100 KB,2016-09-30 19:00:00
38410659,May/18/2018 23:39,KLPP,721D - Maxim and Array,GNU C++,Accepted,701 ms,7700 KB,2018-05-18 23:39:00
57735731,Jul/25/2019 12:53,vjudge1,721D - Maxim and Array,GNU C++11,Accepted,156 ms,7700 KB,2019-07-25 12:53:00
21054776,Oct/01/2016 05:52,st_nec,721D - Maxim and Array,GNU C++11,Accepted,171 ms,9100 KB,2016-10-01 05:52:00
21224200,Oct/06/2016 04:47,flyingmouse,721D - Maxim and Array,GNU C++11,Accepted,420 ms,9400 KB,2016-10-06 04:47:00
21322390,Oct/09/2016 19:11,Silver_,721D - Maxim and Array,GNU C++14,Accepted,218 ms,9600 KB,2016-10-09 19:11:00
21402646,Oct/13/2016 15:19,little_procyon,721D - Maxim and Array,GNU C++11,Accepted,935 ms,11500 KB,2016-10-13 15:19:00
21039596,Sep/30/2016 18:50,ditoly,721D - Maxim and Array,GNU C++11,Accepted,249 ms,7600 KB,2016-09-30 18:50:00
73208898,Mar/14/2020 14:22,vjudge3,721D - Maxim and Array,MS C++,Accepted,327 ms,7400 KB,2020-03-14 14:22:00
21062015,Oct/01/2016 11:59,TooNewbie#,721D - Maxim and Array,GNU C++14,Accepted,187 ms,7700 KB,2016-10-01 11:59:00
57726671,Jul/25/2019 10:22,vjudge5,721D - Maxim and Array,GNU C++14,Accepted,187 ms,7800 KB,2019-07-25 10:22:00
21120717,Oct/02/2016 19:57,abigcat,721D - Maxim and Array,GNU C++11,Accepted,202 ms,10800 KB,2016-10-02 19:57:00
21046918,Sep/30/2016 21:05,pekempey,721D - Maxim and Array,GNU C++11,Accepted,187 ms,7700 KB,2016-09-30 21:05:00
22571659,Nov/28/2016 14:10,imxian,721D - Maxim and Array,GNU C++11,Accepted,156 ms,7700 KB,2016-11-28 14:10:00
21055960,Oct/01/2016 07:16,fp152731,721D - Maxim and Array,GNU C++,Accepted,218 ms,7600 KB,2016-10-01 07:16:00
21067867,Oct/01/2016 14:53,infinity_edge,721D - Maxim and Array,GNU C++14,Accepted,187 ms,7700 KB,2016-10-01 14:53:00
21054358,Oct/01/2016 05:21,UtopiaBeam,721D - Maxim and Array,GNU C++,Accepted,202 ms,7600 KB,2016-10-01 05:21:00
