45441707,Nov/08/2018 14:29,voldemort001,416D - Population Size,GNU C++11,Accepted,405 ms,1600 KB,2018-11-08 14:29:00
6343917,Apr/13/2014 14:30,Yoshiap,416D - Population Size,GNU C++,Accepted,187 ms,0 KB,2014-04-13 14:30:00
45395211,Nov/07/2018 06:33,AnnieCai,416D - Population Size,GNU C++14,Accepted,77 ms,1800 KB,2018-11-07 06:33:00
45441738,Nov/08/2018 14:30,DerekFeng,416D - Population Size,GNU C++17,Accepted,358 ms,1800 KB,2018-11-08 14:30:00
49285821,Jan/31/2019 20:43,realcomplex,416D - Population Size,GNU C++14,Accepted,77 ms,5100 KB,2019-01-31 20:43:00
31052164,Oct/06/2017 06:43,DownDown,416D - Population Size,GNU C++11,Accepted,46 ms,800 KB,2017-10-06 06:43:00
45898294,Nov/18/2018 04:37,luogu_bot2,416D - Population Size,GNU C++11,Accepted,61 ms,800 KB,2018-11-18 04:37:00
17968982,May/17/2016 17:59,studentisme1,416D - Population Size,GNU C++11,Accepted,436 ms,2200 KB,2016-05-17 17:59:00
12487583,Aug/13/2015 09:06,Sumealoon,416D - Population Size,GNU C++,Accepted,62 ms,1600 KB,2015-08-13 09:06:00
37511579,Apr/21/2018 13:53,liyifeng,416D - Population Size,GNU C++,Accepted,468 ms,5300 KB,2018-04-21 13:53:00
16689089,Mar/13/2016 12:28,abcdeedcba,416D - Population Size,GNU C++11,Accepted,62 ms,1400 KB,2016-03-13 12:28:00
