40473230,Jul/17/2018 13:34,vjudge4,912D - Fishes,GNU C++14,Accepted,78 ms,12900 KB,2018-07-17 13:34:00
33938047,Jan/05/2018 18:30,BinZhao,912D - Fishes,GNU C++11,Accepted,295 ms,34500 KB,2018-01-05 18:30:00
33968878,Jan/06/2018 20:25,OMRailgun,912D - Fishes,GNU C++14,Accepted,140 ms,18200 KB,2018-01-06 20:25:00
34292204,Jan/19/2018 08:10,litmxs,912D - Fishes,GNU C++14,Accepted,171 ms,13500 KB,2018-01-19 08:10:00
54986985,Jun/02/2019 19:15,vjudge2,912D - Fishes,GNU C++11,Accepted,124 ms,12500 KB,2019-06-02 19:15:00
34003871,Jan/08/2018 15:56,broutcha,912D - Fishes,GNU C++14,Accepted,171 ms,15000 KB,2018-01-08 15:56:00
46293662,Nov/28/2018 01:28,SuchDog,912D - Fishes,GNU C++14,Accepted,187 ms,8000 KB,2018-11-28 01:28:00
59901928,Sep/02/2019 16:58,haiwenhan.IterType,912D - Fishes,GNU C++11,Accepted,124 ms,10400 KB,2019-09-02 16:58:00
33955220,Jan/06/2018 07:32,cjcjcjcj,912D - Fishes,GNU C++14,Accepted,140 ms,20700 KB,2018-01-06 07:32:00
34112075,Jan/12/2018 20:51,wu6shen#,912D - Fishes,GNU C++14,Accepted,77 ms,9800 KB,2018-01-12 20:51:00
34818080,Feb/01/2018 22:07,GYLin,912D - Fishes,GNU C++14,Accepted,124 ms,14400 KB,2018-02-01 22:07:00
43669524,Oct/02/2018 06:21,luogu_bot2,912D - Fishes,GNU C++11,Accepted,124 ms,17100 KB,2018-10-02 06:21:00
68632306,Jan/12/2020 06:41,eason2012,912D - Fishes,GNU C++11,Accepted,124 ms,13600 KB,2020-01-12 06:41:00
33953973,Jan/06/2018 05:24,Samsara_Karma#,912D - Fishes,GNU C++14,Accepted,139 ms,20700 KB,2018-01-06 05:24:00
33989710,Jan/07/2018 22:19,fanzil,912D - Fishes,GNU C++11,Accepted,78 ms,11500 KB,2018-01-07 22:19:00
33937493,Jan/05/2018 18:26,Expectation,912D - Fishes,GNU C++11,Accepted,46 ms,8200 KB,2018-01-05 18:26:00
33996193,Jan/08/2018 06:00,Jon.Snow,912D - Fishes,GNU C++14,Accepted,124 ms,17900 KB,2018-01-08 06:00:00
34002966,Jan/08/2018 15:09,Logsha,912D - Fishes,GNU C++11,Accepted,31 ms,6600 KB,2018-01-08 15:09:00
36070093,Mar/08/2018 15:14,anxcf,912D - Fishes,GNU C++11,Accepted,46 ms,8200 KB,2018-03-08 15:14:00
33944625,Jan/05/2018 19:29,shad0w_walker,912D - Fishes,GNU C++14,Accepted,108 ms,20500 KB,2018-01-05 19:29:00
34164143,Jan/14/2018 04:05,tinca_matei,912D - Fishes,GNU C++14,Accepted,77 ms,17600 KB,2018-01-14 04:05:00
69074398,Jan/19/2020 04:49,pedrohlf,912D - Fishes,GNU C++17,Accepted,109 ms,15100 KB,2020-01-19 04:49:00
33953881,Jan/06/2018 05:15,BrunoTissei,912D - Fishes,GNU C++14,Accepted,156 ms,12400 KB,2018-01-06 05:15:00
34256176,Jan/17/2018 18:47,Advancingxq,912D - Fishes,GNU C++14,Accepted,124 ms,14500 KB,2018-01-17 18:47:00
34164192,Jan/14/2018 04:11,tinca_matei,912D - Fishes,GNU C++14,Accepted,78 ms,17600 KB,2018-01-14 04:11:00
60207739,Sep/07/2019 11:51,ChthollyTree,912D - Fishes,GNU C++11,Accepted,93 ms,49900 KB,2019-09-07 11:51:00
34048315,Jan/09/2018 15:33,Coffee_F,912D - Fishes,GNU C++,Accepted,124 ms,14500 KB,2018-01-09 15:33:00
33944394,Jan/05/2018 19:27,paroothisumit95,912D - Fishes,GNU C++11,Accepted,218 ms,16600 KB,2018-01-05 19:27:00
33988868,Jan/07/2018 21:21,byene,912D - Fishes,GNU C++11,Accepted,46 ms,8200 KB,2018-01-07 21:21:00
33961692,Jan/06/2018 14:35,PlayfulPanda,912D - Fishes,GNU C++11,Accepted,171 ms,25500 KB,2018-01-06 14:35:00
64717393,Nov/12/2019 02:41,sakib_muhit,912D - Fishes,GNU C++11,Accepted,218 ms,35300 KB,2019-11-12 02:41:00
33942009,Jan/05/2018 19:03,honfful_dreams,912D - Fishes,GNU C++,Accepted,46 ms,76100 KB,2018-01-05 19:03:00
34005062,Jan/08/2018 16:59,mos_safaei,912D - Fishes,GNU C++14,Accepted,139 ms,20600 KB,2018-01-08 16:59:00
37153050,Apr/10/2018 17:52,YazanRi,912D - Fishes,GNU C++17,Accepted,46 ms,12500 KB,2018-04-10 17:52:00
36065877,Mar/08/2018 12:25,vjudge2,912D - Fishes,GNU C++,Accepted,124 ms,14500 KB,2018-03-08 12:25:00
43455866,Sep/26/2018 18:00,nikolapesic2802,912D - Fishes,GNU C++11,Accepted,62 ms,3900 KB,2018-09-26 18:00:00
40470575,Jul/17/2018 12:14,wzz-huchi,912D - Fishes,GNU C++14,Accepted,77 ms,12800 KB,2018-07-17 12:14:00
36259615,Mar/13/2018 22:28,Trytrihjyuki#,912D - Fishes,GNU C++14,Accepted,31 ms,7300 KB,2018-03-13 22:28:00
38869161,Jun/02/2018 03:37,bojverdict2,912D - Fishes,GNU C++14,Accepted,62 ms,4900 KB,2018-06-02 03:37:00
35336767,Feb/16/2018 15:26,DFS,912D - Fishes,GNU C++14,Accepted,93 ms,16700 KB,2018-02-16 15:26:00
34452146,Jan/22/2018 18:20,Idonthavenametouse,912D - Fishes,GNU C++11,Accepted,140 ms,18000 KB,2018-01-22 18:20:00
36086569,Mar/09/2018 07:23,Scenic_area,912D - Fishes,GNU C++,Accepted,46 ms,7400 KB,2018-03-09 07:23:00
