139544,Oct/02/2010 16:06,akutrjplus,32C - Flea,GNU C++,Accepted,30 ms,1300 KB,2010-10-02 16:06:00
140546,Oct/05/2010 11:20,Timus,32C - Flea,GNU C++,Accepted,30 ms,1300 KB,2010-10-05 11:20:00
9540499,Jan/24/2015 19:47,vjudge1,32C - Flea,GNU C++0x,Accepted,62 ms,0 KB,2015-01-24 19:47:00
19375363,Jul/24/2016 06:42,5120141477,32C - Flea,GNU C++11,Accepted,60 ms,0 KB,2016-07-24 06:42:00
141228,Oct/13/2010 08:32,Mario88,32C - Flea,MS C++,Accepted,30 ms,1300 KB,2010-10-13 08:32:00
9490803,Jan/21/2015 11:54,fan_hd,32C - Flea,GNU C++,Accepted,60 ms,0 KB,2015-01-21 11:54:00
23687890,Jan/11/2017 00:06,nologic,32C - Flea,GNU C++14,Accepted,30 ms,1900 KB,2017-01-11 00:06:00
68741525,Jan/14/2020 04:32,luogu_bot2,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2020-01-14 04:32:00
68872163,Jan/15/2020 18:38,luogu_bot4,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2020-01-15 18:38:00
140585,Oct/05/2010 15:41,KTR,32C - Flea,Haskell,Accepted,30 ms,2000 KB,2010-10-05 15:41:00
58839376,Aug/15/2019 03:47,luogu_bot4,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-08-15 03:47:00
140698,Oct/06/2010 13:17,Gramz,32C - Flea,GNU C++,Accepted,30 ms,1300 KB,2010-10-06 13:17:00
22929325,Dec/13/2016 18:05,john_marston,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2016-12-13 18:05:00
45578436,Nov/12/2018 03:04,Emon_Dip,32C - Flea,GNU C++17,Accepted,62 ms,0 KB,2018-11-12 03:04:00
60713887,Sep/17/2019 12:43,zhangxujia,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-09-17 12:43:00
65107711,Nov/15/2019 23:09,hpfdf#,32C - Flea,GNU C++14,Accepted,30 ms,0 KB,2019-11-15 23:09:00
77969990,Apr/25/2020 05:51,lili_,32C - Flea,GNU C++11,Accepted,62 ms,300 KB,2020-04-25 05:51:00
78643473,May/01/2020 13:21,_confused,32C - Flea,GNU C++14,Accepted,62 ms,0 KB,2020-05-01 13:21:00
29134119,Aug/02/2017 18:19,spsmoj3,32C - Flea,GNU C++,Accepted,30 ms,1900 KB,2017-08-02 18:19:00
59192723,Aug/21/2019 01:41,Memito08,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-08-21 01:41:00
64143032,Nov/03/2019 12:04,luogu_bot3,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-11-03 12:04:00
19186426,Jul/17/2016 11:05,czosnek,32C - Flea,GNU C++11,Accepted,30 ms,0 KB,2016-07-17 11:05:00
29130976,Aug/02/2017 16:10,ojtrans1,32C - Flea,GNU C++,Accepted,30 ms,1900 KB,2017-08-02 16:10:00
34080207,Jan/11/2018 05:44,spsmoj2,32C - Flea,GNU C++,Accepted,30 ms,1800 KB,2018-01-11 05:44:00
59340725,Aug/23/2019 10:24,Kyle_Lowry,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-08-23 10:24:00
59398208,Aug/24/2019 14:08,luogu_bot1,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-08-24 14:08:00
64541814,Nov/08/2019 22:00,luogu_bot3,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-11-08 22:00:00
7354551,Aug/05/2014 20:53,kawazaki,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2014-08-05 20:53:00
70200563,Feb/04/2020 06:49,wenjunrui,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2020-02-04 06:49:00
3937658,Jun/23/2013 09:58,vjudge1,32C - Flea,GNU C++,Accepted,15 ms,0 KB,2013-06-23 09:58:00
