59269290,Aug/22/2019 15:04,luogu_bot1,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2019-08-22 15:04:00
28425224,Jul/11/2017 14:38,kvirkvelius,16C - Monitor,GNU C++11,Accepted,15 ms,2100 KB,2017-07-11 14:38:00
43097689,Sep/20/2018 05:02,_LOGIN_,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2018-09-20 05:02:00
66210638,Dec/03/2019 09:32,roman_kruger,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2019-12-03 09:32:00
78229921,Apr/26/2020 22:26,Tasfia_13,16C - Monitor,GNU C++17,Accepted,31 ms,300 KB,2020-04-26 22:26:00
14371440,Nov/20/2015 20:07,best_coder,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2015-11-20 20:07:00
46621784,Dec/04/2018 21:30,innocent_coder,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2018-12-04 21:30:00
71267520,Feb/17/2020 12:11,luogu_bot5,16C - Monitor,GNU C++11,Accepted,46 ms,0 KB,2020-02-17 12:11:00
77385302,Apr/20/2020 19:50,_AME_01_,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2020-04-20 19:50:00
77678590,Apr/22/2020 20:19,Subhashis_CSE,16C - Monitor,GNU C++14,Accepted,31 ms,800 KB,2020-04-22 20:19:00
20564336,Sep/13/2016 13:14,Jin_Haonan,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2016-09-13 13:14:00
28406892,Jul/10/2017 15:23,KillerBeer,16C - Monitor,GNU C++14,Accepted,15 ms,2000 KB,2017-07-10 15:23:00
29190667,Aug/04/2017 12:59,amanxstriker,16C - Monitor,GNU C++11,Accepted,15 ms,2100 KB,2017-08-04 12:59:00
70663,Jun/03/2010 17:43,RosyIsh,16C - Monitor,GNU C++,Accepted,30 ms,1300 KB,2010-06-03 17:43:00
78028602,Apr/25/2020 16:39,luogu_bot4,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2020-04-25 16:39:00
28801279,Jul/23/2017 15:44,spsmoj3,16C - Monitor,GNU C++,Accepted,15 ms,2100 KB,2017-07-23 15:44:00
33594391,Dec/24/2017 16:35,Yazdan_ra,16C - Monitor,GNU C++14,Accepted,15 ms,1900 KB,2017-12-24 16:35:00
67512723,Dec/24/2019 12:46,Bihari_kid,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2019-12-24 12:46:00
73605176,Mar/18/2020 22:54,Abdalllah,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2020-03-18 22:54:00
40610915,Jul/21/2018 17:18,Vasyl_Protsiv,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2018-07-21 17:18:00
69715585,Jan/29/2020 11:53,luogu_bot5,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2020-01-29 11:53:00
28810831,Jul/24/2017 04:37,ojtrans3,16C - Monitor,GNU C++,Accepted,31 ms,2100 KB,2017-07-24 04:37:00
52569865,Apr/10/2019 16:49,alisulimanq,16C - Monitor,GNU C++17,Accepted,30 ms,0 KB,2019-04-10 16:49:00
7539649,Aug/21/2014 08:21,Hola._.,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2014-08-21 08:21:00
9563845,Jan/26/2015 20:51,soul_reaper,16C - Monitor,GNU C++,Accepted,46 ms,0 KB,2015-01-26 20:51:00
25175123,Mar/03/2017 17:28,saeed_odak,16C - Monitor,GNU C++11,Accepted,15 ms,2000 KB,2017-03-03 17:28:00
45272421,Nov/04/2018 12:09,vjudge2,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2018-11-04 12:09:00
52565383,Apr/10/2019 15:14,alisulimanq,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2019-04-10 15:14:00
339699,Mar/18/2011 10:46,dreamoon_love_AA,16C - Monitor,GNU C++,Accepted,30 ms,1300 KB,2011-03-18 10:46:00
