47316150,Dec/21/2018 06:44,luogu_bot3,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2018-12-21 06:44:00
60133412,Sep/05/2019 20:33,nor,571A - Lengthening Sticks,GNU C++17,Accepted,31 ms,0 KB,2019-09-05 20:33:00
12671698,Aug/23/2015 13:28,jorgeduarte,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-08-23 13:28:00
12694053,Aug/25/2015 12:56,zgtsy,572C - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-25 12:56:00
12798324,Sep/01/2015 10:24,tjwpmk3,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-09-01 10:24:00
13114755,Sep/20/2015 16:17,majq,571A - Lengthening Sticks,GNU C++11,Accepted,30 ms,0 KB,2015-09-20 16:17:00
42597402,Sep/07/2018 04:37,xhkxhk,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2018-09-07 04:37:00
20828098,Sep/23/2016 02:59,Ajatar,571A - Lengthening Sticks,GNU C++,Accepted,46 ms,0 KB,2016-09-23 02:59:00
12668952,Aug/23/2015 09:20,eddycael,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-23 09:20:00
13770372,Oct/21/2015 14:40,thythy,571A - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-10-21 14:40:00
54438270,May/21/2019 10:10,RobeZH,571A - Lengthening Sticks,GNU C++14,Accepted,31 ms,0 KB,2019-05-21 10:10:00
12669637,Aug/23/2015 10:19,linkct,571A - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-08-23 10:19:00
