48084625,Jan/08/2019 13:24,myway_82,872A - Search for Pretty Integers,Python 3,Accepted,109 ms,0 KB,2019-01-08 13:24:00
31334667,Oct/15/2017 11:11,DASmirnov,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:11:00
31335723,Oct/15/2017 11:13,leo.parfentiev8559,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:13:00
31336853,Oct/15/2017 11:15,linjiahao,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:15:00
51556889,Mar/20/2019 08:32,vjudge5,870A - Search for Pretty Integers,Python 2,Accepted,171 ms,0 KB,2019-03-20 08:32:00
31373460,Oct/15/2017 20:09,handrake,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 20:09:00
31379247,Oct/16/2017 03:14,RccHD#,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-16 03:14:00
31336181,Oct/15/2017 11:13,rsFalse,872A - Search for Pretty Integers,Perl,Accepted,31 ms,2300 KB,2017-10-15 11:13:00
31381354,Oct/16/2017 07:12,codelegend,872A - Search for Pretty Integers,Python 2,Accepted,46 ms,4500 KB,2017-10-16 07:12:00
31336261,Oct/15/2017 11:14,yumtam,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:14:00
31343043,Oct/15/2017 11:32,NoAnguish,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:32:00
