50772225,Mar/04/2019 08:50,Jsxft,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-03-04 08:50:00
58193023,Aug/02/2019 23:58,G1fl3x,867A - Between the Offices,PyPy 2,Accepted,124 ms,0 KB,2019-08-02 23:58:00
71489047,Feb/20/2020 14:20,luogu_bot3,867A - Between the Offices,Python 3,Accepted,124 ms,300 KB,2020-02-20 14:20:00
31015229,Oct/05/2017 10:33,avalya7,867A - Between the Offices,Python 3,Accepted,61 ms,0 KB,2017-10-05 10:33:00
31541583,Oct/20/2017 20:35,Wajdy,867A - Between the Offices,Python 3,Accepted,62 ms,5400 KB,2017-10-20 20:35:00
31847092,Oct/28/2017 21:01,MrMaxim,867A - Between the Offices,Python 3,Accepted,46 ms,0 KB,2017-10-28 21:01:00
47963333,Jan/05/2019 13:44,Azizullo_Sadriddinov,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-01-05 13:44:00
52370734,Apr/06/2019 09:02,mohamed.sakr,867A - Between the Offices,Python 3,Accepted,93 ms,0 KB,2019-04-06 09:02:00
68160270,Jan/04/2020 13:34,gmv9212,867A - Between the Offices,PyPy 3,Accepted,155 ms,0 KB,2020-01-04 13:34:00
31632695,Oct/23/2017 17:40,pema4,867A - Between the Offices,Python 3,Accepted,62 ms,5400 KB,2017-10-23 17:40:00
66204952,Dec/03/2019 04:39,preetham1239,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2019-12-03 04:39:00
75683307,Apr/06/2020 20:54,br4dp1tt,867A - Between the Offices,PyPy 3,Accepted,140 ms,0 KB,2020-04-06 20:54:00
75777277,Apr/07/2020 21:43,dhruva_2000,867A - Between the Offices,Python 3,Accepted,108 ms,0 KB,2020-04-07 21:43:00
78107557,Apr/26/2020 13:42,monna4335,867A - Between the Offices,Python 3,Accepted,108 ms,0 KB,2020-04-26 13:42:00
45342396,Nov/06/2018 01:14,Anus1373,867A - Between the Offices,GNU C++14,Accepted,30 ms,0 KB,2018-11-06 01:14:00
52323030,Apr/05/2019 00:09,zhenyabolkonsky,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2019-04-05 00:09:00
53075500,Apr/21/2019 00:01,vjudge4,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-04-21 00:01:00
56677491,Jul/07/2019 19:15,aurorazeltser,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-07-07 19:15:00
57768921,Jul/26/2019 01:44,py_ultron,867A - Between the Offices,GNU C++11,Accepted,31 ms,0 KB,2019-07-26 01:44:00
57872988,Jul/28/2019 06:14,lopare,867A - Between the Offices,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 06:14:00
69604439,Jan/27/2020 12:10,Exist_T,867A - Between the Offices,GNU C++11,Accepted,31 ms,0 KB,2020-01-27 12:10:00
71110608,Feb/15/2020 12:36,krishnamkrishna1,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2020-02-15 12:36:00
30888763,Oct/01/2017 01:08,alex700,867A - Between the Offices,Python 3,Accepted,62 ms,0 KB,2017-10-01 01:08:00
30977923,Oct/03/2017 23:12,elistark,867A - Between the Offices,Python 2,Accepted,62 ms,0 KB,2017-10-03 23:12:00
50673845,Mar/02/2019 11:19,thelegendofepubgg,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-03-02 11:19:00
58518955,Aug/10/2019 05:53,_kirito_1729,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-08-10 05:53:00
65532974,Nov/22/2019 16:08,platon151201,867A - Between the Offices,PyPy 3,Accepted,140 ms,0 KB,2019-11-22 16:08:00
71226275,Feb/16/2020 16:49,Hamed5001,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2020-02-16 16:49:00
76632918,Apr/13/2020 22:46,netotz,867A - Between the Offices,Python 3,Accepted,108 ms,0 KB,2020-04-13 22:46:00
76946656,Apr/16/2020 11:28,vimal_28,867A - Between the Offices,PyPy 3,Accepted,140 ms,0 KB,2020-04-16 11:28:00
76967458,Apr/16/2020 15:06,AKM001,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2020-04-16 15:06:00
78042313,Apr/25/2020 18:42,urvashi27,867A - Between the Offices,Python 3,Accepted,155 ms,800 KB,2020-04-25 18:42:00
30970110,Oct/03/2017 17:29,psil123,867A - Between the Offices,Python 2,Accepted,46 ms,0 KB,2017-10-03 17:29:00
45436326,Nov/08/2018 11:11,ibrahimElmourchidi,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2018-11-08 11:11:00
55420772,Jun/11/2019 09:19,atri2107,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-06-11 09:19:00
69533004,Jan/25/2020 20:47,4el0ve4ek,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2020-01-25 20:47:00
73826734,Mar/20/2020 22:13,iorveth,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2020-03-20 22:13:00
75281485,Apr/02/2020 21:54,rasaviharhouse,867A - Between the Offices,PyPy 3,Accepted,155 ms,0 KB,2020-04-02 21:54:00
75670137,Apr/06/2020 18:19,thecommondude,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2020-04-06 18:19:00
76794585,Apr/15/2020 15:40,preethi001,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2020-04-15 15:40:00
76794628,Apr/15/2020 15:41,preethi001,867A - Between the Offices,PyPy 3,Accepted,156 ms,0 KB,2020-04-15 15:41:00
76940224,Apr/16/2020 10:17,Akshima_Ghai,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2020-04-16 10:17:00
30914020,Oct/01/2017 19:32,toxic_trickster,867A - Between the Offices,Python 3,Accepted,62 ms,0 KB,2017-10-01 19:32:00
30919276,Oct/01/2017 22:36,ipeisbouri64,867A - Between the Offices,Python 3,Accepted,62 ms,0 KB,2017-10-01 22:36:00
46510873,Dec/02/2018 16:14,ibrahimElmourchidi,867A - Between the Offices,JavaScript,Accepted,46 ms,0 KB,2018-12-02 16:14:00
