33597624,Dec/24/2017 19:45,mahade31,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-24 19:45:00
33574230,Dec/23/2017 20:32,ASUS,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-23 20:32:00
35664353,Feb/25/2018 02:51,Al-King-Za,907A - Masha and Bears,MS C++,Accepted,15 ms,2000 KB,2018-02-25 02:51:00
33573214,Dec/23/2017 20:05,trungpro531998,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-23 20:05:00
33581024,Dec/24/2017 02:47,ACstar,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-24 02:47:00
33761823,Dec/29/2017 17:14,IGK,907A - Masha and Bears,GNU C,Accepted,30 ms,1800 KB,2017-12-29 17:14:00
34823176,Feb/02/2018 04:17,New-ErA,907A - Masha and Bears,GNU C++11,Accepted,15 ms,2000 KB,2018-02-02 04:17:00
35830056,Mar/02/2018 12:01,tieuchanlong,907A - Masha and Bears,GNU C++14,Accepted,15 ms,2000 KB,2018-03-02 12:01:00
33566431,Dec/23/2017 18:46,subhasis10,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-23 18:46:00
33629469,Dec/25/2017 23:03,wallcrawler,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-25 23:03:00
42881283,Sep/15/2018 10:02,vjudge2,907A - Masha and Bears,GNU C++14,Accepted,31 ms,0 KB,2018-09-15 10:02:00
57941378,Jul/29/2019 15:41,lepojevic10,907A - Masha and Bears,GNU C++17,Accepted,31 ms,0 KB,2019-07-29 15:41:00
33585994,Dec/24/2017 10:05,511324,907A - Masha and Bears,MS C++,Accepted,15 ms,2000 KB,2017-12-24 10:05:00
34985207,Feb/07/2018 03:56,Kobelco,907A - Masha and Bears,GNU C++11,Accepted,15 ms,2000 KB,2018-02-07 03:56:00
43519633,Sep/28/2018 10:30,smallcute,907A - Masha and Bears,GNU C++11,Accepted,31 ms,0 KB,2018-09-28 10:30:00
50577748,Feb/27/2019 22:02,shaswata56,907A - Masha and Bears,GNU C++11,Accepted,31 ms,0 KB,2019-02-27 22:02:00
33547693,Dec/23/2017 17:29,Cinzaderius,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-23 17:29:00
33582659,Dec/24/2017 06:16,Ram_Negative,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-24 06:16:00
33970190,Jan/06/2018 21:31,Yazdan_ra,907A - Masha and Bears,GNU C++14,Accepted,30 ms,1900 KB,2018-01-06 21:31:00
33543856,Dec/23/2017 17:20,skarlord,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-23 17:20:00
33575360,Dec/23/2017 21:20,husseinmohamed067,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-23 21:20:00
33588589,Dec/24/2017 12:00,Sherlock1997,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-24 12:00:00
33668494,Dec/27/2017 15:23,gograph#,907A - Masha and Bears,GNU C++17 Diagnostics,Accepted,1684 ms,97700 KB,2017-12-27 15:23:00
33742521,Dec/28/2017 20:44,I.Smirn0ff#,907A - Masha and Bears,Python 3,Accepted,124 ms,5400 KB,2017-12-28 20:44:00
38946156,Jun/04/2018 16:34,vjudge2,907A - Masha and Bears,GNU C++,Accepted,31 ms,3500 KB,2018-06-04 16:34:00
39058154,Jun/09/2018 05:27,vjudge2,907A - Masha and Bears,GNU C++,Accepted,30 ms,0 KB,2018-06-09 05:27:00
33701728,Dec/28/2017 09:01,025-26644-Arman-7,907A - Masha and Bears,GNU C++11,Accepted,30 ms,2000 KB,2017-12-28 09:01:00
