31288322,Oct/14/2017 06:26,alvihasan,8A - Train and Peter,GNU C11,Accepted,60 ms,200 KB,2017-10-14 06:26:00
32694253,Nov/26/2017 22:51,sadiaanjum,8A - Train and Peter,GNU C,Accepted,30 ms,2000 KB,2017-11-26 22:51:00
22906976,Dec/12/2016 18:16,clarinet758,8A - Train and Peter,Python 2,Accepted,310 ms,2000 KB,2016-12-12 18:16:00
38329,Apr/21/2010 15:28,cielavenir,8A - Train and Peter,GNU C,Accepted,30 ms,1500 KB,2010-04-21 15:28:00
76062626,Apr/10/2020 09:51,vjudge1,8A - Train and Peter,GNU C++17 (64),Accepted,92 ms,300 KB,2020-04-10 09:51:00
2748296,Dec/10/2012 20:21,sambaek,8A - Train and Peter,Ruby,Accepted,125 ms,200 KB,2012-12-10 20:21:00
2862081,Dec/31/2012 22:48,AnandOza,8A - Train and Peter,Python 2,Accepted,62 ms,400 KB,2012-12-31 22:48:00
21863054,Oct/29/2016 07:09,Joker1010123,8A - Train and Peter,GNU C++,Accepted,62 ms,300 KB,2016-10-29 07:09:00
23044629,Dec/17/2016 13:29,mohamed-yasser,8A - Train and Peter,GNU C++11,Accepted,62 ms,300 KB,2016-12-17 13:29:00
54020103,May/12/2019 12:10,_Edward,8A - Train and Peter,GNU C++17,Accepted,92 ms,300 KB,2019-05-12 12:10:00
56056879,Jun/26/2019 04:03,Rajat_99,8A - Train and Peter,GNU C++17,Accepted,92 ms,300 KB,2019-06-26 04:03:00
2311972,Oct/07/2012 19:09,Danek,8A - Train and Peter,Ruby,Accepted,156 ms,4900 KB,2012-10-07 19:09:00
3142482,Feb/18/2013 12:45,Chen_ChaoRui,8A - Train and Peter,GNU C++,Accepted,31 ms,100 KB,2013-02-18 12:45:00
23008008,Dec/15/2016 16:52,tuanalt,8A - Train and Peter,GNU C++11,Accepted,92 ms,300 KB,2016-12-15 16:52:00
72053292,Feb/28/2020 20:25,aashutj,8A - Train and Peter,GNU C++17,Accepted,92 ms,300 KB,2020-02-28 20:25:00
19374905,Jul/24/2016 06:00,Butane,8A - Train and Peter,Python 2,Accepted,124 ms,500 KB,2016-07-24 06:00:00
35169495,Feb/12/2018 08:47,LJFan,8A - Train and Peter,GNU C++11,Accepted,30 ms,1900 KB,2018-02-12 08:47:00
66546756,Dec/09/2019 16:30,KATAYPEPE,8A - Train and Peter,PyPy 3,Accepted,342 ms,700 KB,2019-12-09 16:30:00
