72782492,Mar/09/2020 14:46,18wh1a0426,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-03-09 14:46:00
72784085,Mar/09/2020 15:15,Ece_18wh1a0432,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-03-09 15:15:00
72961969,Mar/11/2020 17:31,ece_18wh1a0447,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-03-11 17:31:00
74008731,Mar/23/2020 08:14,kpriya518,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2020-03-23 08:14:00
74751225,Mar/29/2020 20:03,saifmaqel,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-03-29 20:03:00
77433978,Apr/21/2020 08:56,BLP,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-04-21 08:56:00
21756630,Oct/24/2016 21:11,fxz5,131A - cAPS lOCK,PyPy 3,Accepted,124 ms,0 KB,2016-10-24 21:11:00
22598828,Nov/29/2016 15:53,xuzhirui2016,131A - cAPS lOCK,Python 3,Accepted,93 ms,0 KB,2016-11-29 15:53:00
25374390,Mar/10/2017 10:38,Dawn_Smith,131A - cAPS lOCK,Python 3,Accepted,62 ms,4500 KB,2017-03-10 10:38:00
37241275,Apr/12/2018 10:00,mr.adisbek,131A - cAPS lOCK,Python 3,Accepted,93 ms,7200 KB,2018-04-12 10:00:00
38474382,May/21/2018 08:09,Fan_Of_The_Secret_Annex,131A - cAPS lOCK,Python 3,Accepted,78 ms,0 KB,2018-05-21 08:09:00
39047139,Jun/08/2018 16:17,saurabh_sat,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2018-06-08 16:17:00
44388274,Oct/16/2018 10:06,Silky_Littleraisin,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2018-10-16 10:06:00
46975724,Dec/13/2018 19:26,lugenlord,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2018-12-13 19:26:00
48163963,Jan/10/2019 00:49,YahiaMostafa,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-01-10 00:49:00
50522935,Feb/26/2019 13:22,jawlashivangi02,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-02-26 13:22:00
